report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2002-06-04,10984,4057,3413,54,3693,5395,3180,2122
2002-06-11,10677,2483,4907,58,4143,3918,3993,1794
2002-06-18,10928,2557,4160,758,4652,3942,2961,2068
2002-07-23,6082,1536,2058,26,2752,2678,1768,1320
2002-07-30,6533,2161,1771,40,2792,2073,1540,2649
2002-08-06,8612,2560,3045,65,4099,2457,1888,3045
2002-08-13,8804,918,3293,60,6190,3003,1636,2448
2002-08-20,8612,764,3040,60,6817,2924,971,2588
2002-08-27,10711,755,4249,36,8201,3310,1719,3116
2002-09-03,11567,897,3847,34,8999,3743,1637,3943
2002-09-10,15215,1131,5079,66,12530,4134,1488,5936
2002-09-17,20095,1845,5332,1189,13320,6132,3741,7442
2002-09-24,6954,3642,1606,8,952,2154,2352,3186
2002-10-01,8929,3741,3428,12,3058,1725,2118,3764
2002-10-08,11061,5000,2380,5,1721,5703,4335,2973
2002-10-15,14981,5631,1974,4,6562,9099,2784,3904
2002-10-22,17254,5444,1765,5,7358,11691,4447,3793
2002-10-29,16330,4145,3031,10,7781,9742,4394,3547
2002-11-05,15978,4875,3868,45,7838,8552,3220,3513
2002-11-12,17102,4698,4510,42,8117,8577,4245,3973
2002-11-19,17984,4972,4128,33,7266,9726,5713,4097
2002-11-26,19361,5069,5039,460,6879,9593,6953,4269
2002-12-03,19995,4708,6036,712,8024,9777,6551,3470
2002-12-10,20645,5275,6649,433,6833,10284,8104,3279
2002-12-17,22997,4950,3553,1343,8841,13161,7863,4940
2002-12-23,8931,2693,1689,0,4414,3287,1824,3955
2002-12-31,8868,1468,1556,0,5337,4496,2063,2816
2003-01-07,9960,2411,1272,0,5270,4595,2279,4093
2003-01-14,11073,1598,1825,197,6654,3883,2624,5168
2003-01-21,13277,2415,3399,292,6946,5082,3624,4504
2003-01-28,14459,2567,4078,28,7276,5806,4588,4547
2003-02-04,17526,2621,6222,259,9993,5521,4653,5524
2003-02-11,18699,3414,6782,156,11425,6376,3704,5385
2003-02-18,17604,3731,6848,310,10270,6384,3293,4062
2003-02-25,19154,3754,7897,387,11730,6645,3283,4225
2003-03-04,22770,3690,9627,46,14200,8060,4834,5037
2003-03-11,25024,3972,9647,58,15379,9447,5615,5872
2003-03-18,31952,3831,12158,2662,19288,10339,6171,6793
2003-03-25,14545,2568,7642,506,7432,1509,4039,4888
2003-04-01,16670,2871,7810,622,9269,2863,3908,5375
2003-04-08,18152,3603,8633,855,9065,3776,4629,4888
2003-04-15,22779,5267,9566,1122,12340,1890,4050,10201
2003-04-22,20182,3975,11066,834,14612,2630,761,5652
2003-04-29,26525,4769,12731,1329,15622,3467,4805,8998
2003-05-06,30676,5639,15238,1582,19006,4637,4449,9219
2003-05-13,36038,6419,18745,1521,22921,5437,5177,10335
2003-05-20,36181,4054,17999,1624,25394,5408,5109,11150
2003-05-27,38480,4145,20730,1555,29131,6052,3649,10143
2003-06-03,38272,5341,21277,1326,27459,4818,4146,10851
2003-06-10,41434,7382,22276,1347,27370,6845,5335,10966
