report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2000-08-29,73012,13536,12330,39,25725,40097,33712,20546
2000-09-05,77486,13034,12652,37,27815,44012,36600,20785
2000-09-12,84086,9717,8543,35,33165,53837,41169,21671
2000-09-19,73646,10333,14570,51,28109,41289,35153,17736
2000-09-26,66421,6334,6185,61,26471,41681,33555,18494
2000-10-03,67596,8336,4943,61,26050,45677,33149,16915
2000-10-10,71703,10749,5346,61,25878,49257,35015,17039
2000-10-17,73195,10224,8504,44,29498,47644,33429,17003
2000-10-24,76773,10198,8365,94,31077,49632,35404,18682
2000-10-31,75650,11095,8922,94,29207,48019,35254,18615
2000-11-07,73922,11615,7837,96,28448,48798,33763,17191
2000-11-14,78068,11197,8462,93,32903,52762,33875,16751
2000-11-21,81781,11397,5489,103,35273,56874,35008,19315
2000-11-28,85904,11221,4280,103,37403,64284,37177,17237
2000-12-05,89752,16995,967,35,35485,75350,37237,13400
2000-12-12,98322,20411,879,154,37199,83304,40558,13985
2000-12-19,77326,22289,475,38,15586,67727,39413,9086
2000-12-26,84237,28255,1875,27,15504,70687,40451,11648
2001-01-02,84654,28678,1604,6,16458,72543,39512,10501
2001-01-09,92722,25570,1738,229,23388,76659,43535,14096
2001-01-16,93621,24015,3280,145,25094,77345,44367,12851
2001-01-23,85880,18885,1643,3,26742,71235,40250,12999
2001-01-30,85158,16910,750,63,26214,71507,41971,12838
2001-02-06,90774,16903,2568,63,29456,74894,44352,13249
2001-02-13,90316,16118,1416,61,32266,74715,41871,14124
2001-02-20,89783,10940,938,66,35298,72179,43479,16600
2001-02-27,94625,12364,2851,0,40411,76447,41850,15327
2001-03-06,96223,17250,186,639,35850,80960,42484,14438
2001-03-13,102063,9179,1352,845,46386,81465,45653,18401
2001-03-20,73043,8415,5802,25,28968,53720,35635,13496
2001-03-27,73047,9243,5359,78,28945,49225,34781,18385
2001-04-03,77853,12823,6048,426,30257,53667,34347,17712
2001-04-10,75092,11040,5295,81,29219,51528,34752,18188
2001-04-17,77532,12851,7858,309,28686,58926,35686,10439
2001-04-24,80964,12647,5344,104,31366,68983,36847,6533
2001-05-01,82811,12005,5961,448,32807,69241,37551,7161
2001-05-08,87560,12030,7676,91,36381,67658,39058,12135
2001-05-15,88743,13881,10473,430,37044,62243,37388,15597
2001-05-22,92969,13720,19173,324,40057,54258,38868,19214
2001-05-29,93121,15862,18793,319,37947,55984,38993,18025
2001-06-05,99312,15748,20561,1800,43561,55503,38203,21448
2001-06-12,114364,16502,21090,1364,54352,55921,42146,35989
2001-06-19,73278,12297,8664,1482,25596,37560,33903,25572
2001-06-26,75413,13806,10631,926,25888,40558,34793,23298
2001-07-03,77138,14741,11495,1100,26321,37968,34976,26575
2001-07-10,83100,17180,10529,765,28465,45139,36690,26667
2001-07-17,84435,17084,8041,1363,28123,52300,37865,22731
2001-07-24,87072,20062,5771,727,24519,61640,41764,18934
2001-07-31,89655,21210,5127,498,26097,65480,41850,18550
2001-08-07,94227,22076,5436,1164,28745,70251,42242,17376
2001-08-14,99325,27479,3126,606,39997,91634,31243,3959
2001-08-21,109131,30729,1759,169,46443,103589,31790,3614
2001-08-28,113131,31666,2161,157,33194,93070,48114,17743
2001-09-04,108326,25446,3625,283,35686,84764,46911,19654
2001-09-10,117970,21845,3996,242,43737,86898,52146,26834
2001-09-18,100031,27680,3243,273,28800,87292,43278,9223
2001-09-25,108418,30766,2918,11,33101,95574,44540,9915
2001-10-02,109676,28463,3511,324,35483,96388,45406,9453
2001-10-09,113099,27660,5219,531,36396,96883,48512,10466
2001-10-16,106649,22095,4479,0,40634,89824,43920,12346
2001-10-23,104525,17751,8361,216,45354,76666,41204,19282
2001-10-30,107845,24443,7757,493,40514,85308,42395,14287
2001-11-06,102865,21939,6587,30,40871,79450,40025,16798
2001-11-13,108807,15570,15086,5,48628,70765,44604,22951
2001-11-20,114006,17899,18185,114,56818,70035,39175,25672
2001-11-27,112644,17930,17015,719,55705,66262,38290,28648
2001-12-04,109051,22650,8804,39,46524,77654,39838,22554
2001-12-11,114593,19857,7951,40,48959,75401,45737,31201
2001-12-18,90033,21445,9574,897,25047,67263,42644,12299
2001-12-21,93493,23412,11990,581,27827,63775,41673,17147
2001-12-28,88738,19106,7924,0,32250,58140,37382,22674
2002-01-08,95885,20385,5612,807,33174,76510,41519,12956
2002-01-15,99564,19669,7573,47,38839,74716,41009,17228
2002-01-22,103166,22270,4981,93,40205,79729,40598,18363
2002-01-29,107634,15039,14184,101,52586,69151,39908,24198
2002-02-05,107814,16358,14035,132,52585,69303,38739,24344
2002-02-12,107689,16274,13020,62,51004,72450,40349,22157
2002-02-19,112662,22094,13447,91,50420,77338,40057,21786
2002-02-26,109561,20441,17308,171,47552,69941,41397,22141
2002-03-05,118935,20406,14118,191,56093,83303,42245,21323
2002-03-12,114001,24796,9335,569,44016,84487,44620,19610
2002-03-19,96111,28092,6836,22,29671,75935,38326,13318
2002-03-26,105052,30732,7439,22,33184,84427,41114,13164
2002-04-02,109996,34364,8206,25,35699,91003,39908,10762
2002-04-09,105254,29472,10031,737,35521,83273,39524,11213
2002-04-16,115039,37941,10314,513,36153,92518,40432,11694
2002-04-23,114239,39180,9557,1368,28512,91562,45179,11752
2002-04-30,124468,41770,10298,1564,34318,103942,46816,8664
2002-05-07,135303,43808,8375,1096,39956,115033,50443,10799
2002-05-14,132612,42844,8244,1390,37941,110842,50437,12136
2002-05-21,136129,40857,9684,1521,42232,111910,51519,13014
2002-05-28,143233,42415,10690,1522,45862,117164,53434,13857
2002-06-04,146821,40092,8476,1704,51768,121423,53257,15218
2002-06-11,146872,39085,10718,751,57890,115423,49146,19980
2002-06-18,109609,39095,9638,1204,24857,86773,44453,11994
2002-06-25,116946,35304,12780,65,35405,88759,46172,15342
2002-07-02,114480,33583,9188,34,31863,91200,49000,14058
2002-07-09,112614,33941,9859,27,30573,89224,48073,13504
2002-07-16,115406,35420,8766,59,34708,91153,45219,15428
2002-07-23,111955,30292,4614,0,34687,91754,46976,15587
2002-07-30,109782,29177,3694,59,41792,93114,38754,12915
2002-08-06,104950,25104,5082,63,43557,83159,36226,16646
2002-08-13,97747,23123,3341,45,39504,80776,35075,13585
2002-08-20,100332,22528,4665,68,42936,80970,34800,14629
2002-08-27,104194,25994,3906,93,39784,85314,38323,14881
2002-09-03,109350,27290,2052,225,39510,88269,42325,18804
2002-09-10,115622,22711,2360,6,45761,91340,47144,21916
2002-09-17,80614,16959,4349,683,25467,61514,37505,14068
2002-09-24,82896,17964,3362,434,28955,66600,35543,12500
2002-10-01,85802,20041,3104,6,28511,69993,37244,12699
2002-10-08,84730,16724,4072,942,30603,65335,36461,14381
2002-10-15,88339,23224,2192,6,27830,72255,37279,13886
2002-10-22,84417,19094,5026,1192,27771,63866,36360,14333
2002-10-29,83640,22948,3623,4,23470,67459,37218,12554
2002-11-05,102158,35721,4684,846,20272,82865,45319,13763
2002-11-12,105714,39308,6031,859,20436,83324,45111,15500
2002-11-19,103629,35945,5740,34,20823,81064,46827,16791
2002-11-26,99487,33446,4670,34,24416,79647,41591,15136
2002-12-03,98385,26199,3323,34,27160,77604,44992,17424
2002-12-10,121589,33001,4937,1426,36663,94378,50499,20848
2002-12-17,100434,37237,6636,884,15367,75985,46946,16929
2002-12-23,98907,36015,7888,41,14866,74408,47985,16570
2002-12-31,98699,35953,6943,541,14561,72690,47644,18525
2003-01-07,98275,35647,7490,41,14990,71660,47597,19084
2003-01-14,110075,36455,7682,10,24937,83917,48673,18466
2003-01-21,113184,35332,6890,632,24410,83678,52810,21984
2003-01-28,105577,32375,6039,1034,23265,78061,48903,20443
2003-02-04,108531,37222,6556,594,21625,82247,49090,19134
2003-02-11,107453,29992,7694,618,23476,77469,53367,21672
2003-02-18,108102,31970,6485,259,24629,78293,51244,23065
2003-02-25,105427,29793,9730,969,26356,74269,48309,20459
2003-03-04,123014,34972,4997,646,35724,94443,51672,22928
2003-03-11,136246,35344,5078,426,48407,105656,52069,25086
2003-03-18,78765,18948,5609,291,22407,55066,37119,17799
2003-03-25,72434,16336,8742,41,24956,47292,31101,16359
