report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
1986-01-15,148186,18589,7706,12038,80962,89990,36597,38452
1986-01-31,144149,15364,9303,10088,82262,85250,36435,39508
1986-02-14,139995,5457,12229,10330,94830,76735,29378,40701
1986-02-28,143752,7991,12222,13205,94126,76200,28430,42125
1986-03-14,142868,12637,11015,11390,85925,78653,32916,41810
1986-03-31,136568,9817,11406,6002,88897,67171,31852,51989
1986-04-15,138825,6805,20416,3121,99640,67997,29259,47291
1986-04-30,132088,8159,10519,3987,88769,72810,31173,44772
1986-05-15,132147,4649,10375,7467,94944,71660,25087,42645
1986-05-30,115038,4982,13683,5535,78662,56902,25859,38918
1986-06-13,115960,11657,10839,5447,69558,66942,29298,32732
1986-06-30,120954,5361,13631,5988,88561,62551,21044,38784
1986-07-15,121925,6735,11983,5771,86078,67675,23341,36496
1986-07-31,125988,18617,9540,6294,69897,71940,31180,38214
1986-08-15,134903,23234,10589,7013,67333,82453,37323,34848
1986-08-29,136959,23229,10291,7561,69541,84510,36628,34597
1986-09-15,149809,24807,10423,12560,69388,95797,43054,31029
1986-09-30,136574,22421,7840,11149,57513,85239,45491,32346
1986-10-15,147411,21274,10239,9744,70584,89512,45809,37916
1986-10-31,146778,12673,9373,8897,79221,90456,45987,38052
1986-11-14,150800,15816,11905,6141,86136,94132,42707,38622
1986-11-28,131679,10148,8849,5360,79143,81278,37028,36192
1986-12-15,134005,13089,11027,6366,76757,80007,37793,36605
1986-12-31,140744,9405,8347,8187,81948,86647,41204,37563
1987-01-15,139318,14063,8147,6306,68344,87902,50605,36963
1987-01-30,130078,13453,9022,7277,62992,78194,46356,35585
1987-02-13,138130,7705,14024,6614,81749,77255,42062,40237
1987-02-27,140016,7349,12273,6910,81851,85616,43906,35217
1987-03-13,145109,10654,10265,7238,79189,87238,48028,40368
1987-03-31,156832,18464,10076,8573,74906,104113,54889,34070
1987-04-15,171395,27260,9006,9615,67566,111648,66954,41126
1987-04-30,175437,24684,12933,9593,64600,104305,76560,48606
1987-05-15,170819,32997,6294,11069,55854,126196,70899,27260
1987-05-29,150964,24267,8705,12531,56420,86818,57746,42910
1987-06-15,149219,20380,11899,14787,57458,83188,56594,39345
1987-06-30,146960,15476,11621,16824,63817,78120,50843,40395
1987-07-15,146076,16101,7483,14324,60840,85807,54811,38462
1987-07-31,150523,23945,6857,12929,60306,102966,53343,27771
1987-08-14,150693,18612,10402,13257,63626,95033,55198,32001
1987-08-31,148815,16503,15979,13017,69761,86279,49534,33540
1987-09-15,146895,16196,12249,12591,70143,93238,47965,28817
1987-09-30,142634,17083,9981,12216,64861,86977,48474,33460
1987-10-15,143498,19848,7101,13894,61354,91228,48402,31275
1987-10-30,133422,15243,9416,14070,65767,80209,38342,29727
1987-11-13,132803,10867,9427,13482,77616,76183,30838,33711
1987-11-30,152206,24270,8453,15330,72663,92561,39943,35862
