date,search_interest
2013-01-01,35
2013-02-01,34
2013-03-01,34
2013-04-01,41
2013-05-01,33
2013-06-01,35
2013-07-01,35
2013-08-01,30
2013-09-01,30
2013-10-01,31
2013-11-01,32
2013-12-01,37
2014-01-01,33
2014-02-01,32
2014-03-01,29
2014-04-01,27
2014-05-01,29
2014-06-01,27
2014-07-01,29
2014-08-01,27
2014-09-01,26
2014-10-01,27
2014-11-01,30
2014-12-01,33
2015-01-01,27
2015-02-01,26
2015-03-01,28
2015-04-01,25
2015-05-01,26
2015-06-01,25
2015-07-01,34
2015-08-01,31
2015-09-01,27
2015-10-01,26
2015-11-01,31
2015-12-01,32
2016-01-01,29
2016-02-01,30
2016-03-01,26
2016-04-01,28
2016-05-01,28
2016-06-01,31
2016-07-01,30
2016-08-01,29
2016-09-01,29
2016-10-01,29
2016-11-01,34
2016-12-01,37
2017-01-01,30
2017-02-01,28
2017-03-01,27
2017-04-01,25
2017-05-01,26
2017-06-01,28
2017-07-01,29
2017-08-01,28
2017-09-01,27
2017-10-01,27
2017-11-01,32
2017-12-01,36
2018-01-01,28
2018-02-01,27
2018-03-01,25
2018-04-01,26
2018-05-01,24
2018-06-01,24
2018-07-01,26
2018-08-01,27
2018-09-01,24
2018-10-01,24
2018-11-01,27
2018-12-01,32
2019-01-01,26
2019-02-01,25
2019-03-01,23
2019-04-01,22
2019-05-01,22
2019-06-01,25
2019-07-01,24
2019-08-01,26
2019-09-01,26
2019-10-01,25
2019-11-01,25
2019-12-01,29
2020-01-01,28
2020-02-01,29
2020-03-01,37
2020-04-01,39
2020-05-01,33
2020-06-01,30
2020-07-01,39
2020-08-01,37
2020-09-01,28
2020-10-01,28
2020-11-01,30
2020-12-01,34
2021-01-01,36
2021-02-01,37
2021-03-01,31
2021-04-01,30
2021-05-01,32
2021-06-01,29
2021-07-01,28
2021-08-01,32
2021-09-01,32
2021-10-01,48
2021-11-01,31
2021-12-01,30
2022-01-01,30
2022-02-01,34
2022-03-01,35
2022-04-01,31
2022-05-01,29
2022-06-01,28
2022-07-01,29
2022-08-01,28
2022-09-01,28
2022-10-01,28
2022-11-01,28
2022-12-01,31
2023-01-01,30
2023-02-01,27
2023-03-01,38
2023-04-01,37
2023-05-01,28
2023-06-01,27
2023-07-01,27
2023-08-01,27
2023-09-01,27
2023-10-01,27
2023-11-01,29
2023-12-01,34
2024-01-01,28
2024-02-01,27
2024-03-01,28
2024-04-01,31
2024-05-01,28
2024-06-01,28
2024-07-01,26
2024-08-01,31
2024-09-01,28
2024-10-01,31
2024-11-01,31
2024-12-01,36
2025-01-01,31
2025-02-01,37
2025-03-01,35
2025-04-01,41
2025-05-01,34
2025-06-01,35
2025-07-01,58
2025-08-01,42
2025-09-01,43
2025-10-01,55
2025-11-01,76
2025-12-01,100
