label,or_minutes,year,total_days,truncated,or_incomplete,degenerate,no_data_after_or,or_complete_days,no_breakout,tie,traded,fire_rate_of_valid,fire_rate_of_all
NAS100_2018_2025,15,2018,144,6,0,0,0,138,0,0,138,1.0,0.9583333333333334
NAS100_2018_2025,15,2019,160,7,0,0,0,153,0,0,153,1.0,0.95625
NAS100_2018_2025,15,2020,190,7,0,0,0,183,0,0,183,1.0,0.9631578947368421
NAS100_2018_2025,15,2021,233,7,0,0,0,226,0,1,225,0.995575221238938,0.9656652360515021
NAS100_2018_2025,15,2022,257,8,0,0,0,249,0,0,249,1.0,0.9688715953307393
NAS100_2018_2025,15,2023,225,7,0,0,0,218,0,0,218,1.0,0.9688888888888889
NAS100_2018_2025,15,2024,216,10,0,0,0,206,0,0,206,1.0,0.9537037037037037
NAS100_2018_2025,15,2025,254,10,0,0,0,244,0,0,244,1.0,0.9606299212598425
NAS100_2018_2025,30,2018,144,6,0,0,0,138,1,0,137,0.9927536231884058,0.9513888888888888
NAS100_2018_2025,30,2019,160,7,0,0,0,153,1,0,152,0.9934640522875817,0.95
NAS100_2018_2025,30,2020,190,7,0,0,0,183,0,0,183,1.0,0.9631578947368421
NAS100_2018_2025,30,2021,233,7,0,0,0,226,1,1,224,0.9911504424778761,0.9613733905579399
NAS100_2018_2025,30,2022,257,8,0,0,0,249,1,0,248,0.9959839357429718,0.9649805447470817
NAS100_2018_2025,30,2023,225,7,0,0,0,218,2,0,216,0.9908256880733946,0.96
NAS100_2018_2025,30,2024,216,10,0,0,0,206,0,0,206,1.0,0.9537037037037037
NAS100_2018_2025,30,2025,254,10,1,0,0,243,0,0,243,1.0,0.9566929133858267
US30_2018_2025,15,2018,197,8,2,0,0,187,0,0,187,1.0,0.949238578680203
US30_2018_2025,15,2019,202,8,0,0,0,194,0,0,194,1.0,0.9603960396039604
US30_2018_2025,15,2020,166,5,3,0,0,158,0,0,158,1.0,0.9518072289156626
US30_2018_2025,15,2021,136,3,0,0,0,133,0,0,133,1.0,0.9779411764705882
US30_2018_2025,15,2022,155,4,0,0,0,151,0,0,151,1.0,0.9741935483870968
US30_2018_2025,15,2023,232,7,0,0,0,225,2,0,223,0.9911111111111112,0.9612068965517241
US30_2018_2025,15,2024,259,10,0,0,0,249,0,0,249,1.0,0.9613899613899614
US30_2018_2025,15,2025,257,10,1,0,0,246,1,0,245,0.9959349593495935,0.953307392996109
US30_2018_2025,30,2018,197,8,2,0,0,187,0,0,187,1.0,0.949238578680203
US30_2018_2025,30,2019,202,8,0,0,0,194,1,0,193,0.9948453608247423,0.9554455445544554
US30_2018_2025,30,2020,166,5,3,0,0,158,0,0,158,1.0,0.9518072289156626
US30_2018_2025,30,2021,136,3,0,0,0,133,1,0,132,0.9924812030075187,0.9705882352941176
US30_2018_2025,30,2022,155,4,0,0,0,151,1,0,150,0.9933774834437086,0.967741935483871
US30_2018_2025,30,2023,232,7,0,0,0,225,3,0,222,0.9866666666666667,0.9568965517241379
US30_2018_2025,30,2024,259,10,0,0,0,249,4,0,245,0.9839357429718876,0.9459459459459459
US30_2018_2025,30,2025,257,10,1,0,0,246,3,0,243,0.9878048780487805,0.9455252918287937
NAS100_2013_2017,15,2013,61,15,3,0,0,43,0,0,43,1.0,0.7049180327868853
NAS100_2013_2017,15,2014,256,12,1,0,0,243,0,0,243,1.0,0.94921875
NAS100_2013_2017,15,2015,237,7,2,0,0,228,0,0,228,1.0,0.9620253164556962
NAS100_2013_2017,15,2016,235,7,0,0,0,228,0,0,228,1.0,0.9702127659574468
NAS100_2013_2017,15,2017,240,8,0,0,0,232,0,0,232,1.0,0.9666666666666667
NAS100_2013_2017,30,2013,61,15,2,0,0,44,1,0,43,0.9772727272727273,0.7049180327868853
NAS100_2013_2017,30,2014,256,12,1,0,0,243,2,0,241,0.9917695473251029,0.94140625
NAS100_2013_2017,30,2015,237,7,2,0,0,228,0,0,228,1.0,0.9620253164556962
NAS100_2013_2017,30,2016,235,7,0,0,0,228,2,0,226,0.9912280701754386,0.9617021276595744
NAS100_2013_2017,30,2017,240,8,0,0,0,232,0,0,232,1.0,0.9666666666666667
US30_2013_2017,15,2013,61,9,7,0,0,45,2,0,43,0.9555555555555556,0.7049180327868853
US30_2013_2017,15,2014,253,12,1,0,0,240,1,0,239,0.9958333333333333,0.9446640316205533
US30_2013_2017,15,2015,255,8,1,0,0,246,0,0,246,1.0,0.9647058823529412
US30_2013_2017,15,2016,256,7,0,0,0,249,0,0,249,1.0,0.97265625
US30_2013_2017,15,2017,257,8,0,0,0,249,1,0,248,0.9959839357429718,0.9649805447470817
US30_2013_2017,30,2013,61,9,7,0,0,45,2,0,43,0.9555555555555556,0.7049180327868853
US30_2013_2017,30,2014,253,12,1,0,0,240,6,0,234,0.975,0.924901185770751
US30_2013_2017,30,2015,255,8,1,0,0,246,2,0,244,0.991869918699187,0.9568627450980393
US30_2013_2017,30,2016,256,7,0,0,0,249,0,0,249,1.0,0.97265625
US30_2013_2017,30,2017,257,8,0,0,0,249,3,0,246,0.9879518072289156,0.9571984435797666
