instrument,or_minutes,target,n_trades_stop,n_trades_target,n_true_ties_in_stop_run,n_true_ties_in_target_run,net_pf_stop_first,net_pf_target_first,d_pf,window
NAS100,15,1R,1616,1616,0,0,0.9531426434342652,0.9531426434342652,0.0,in_regime
NAS100,15,2R,1616,1616,0,0,1.0135375287081567,1.0135375287081567,0.0,in_regime
NAS100,15,close,1616,1616,0,0,1.0191252376355147,1.0191252376355147,0.0,in_regime
NAS100,30,1R,1609,1609,0,0,1.013973401378088,1.013973401378088,0.0,in_regime
NAS100,30,2R,1609,1609,0,0,1.038563724867746,1.038563724867746,0.0,in_regime
NAS100,30,close,1609,1609,0,0,1.039220399930984,1.039220399930984,0.0,in_regime
US30,15,1R,1540,1540,0,0,0.9072105233830887,0.9072105233830887,0.0,in_regime
US30,15,2R,1540,1540,0,0,0.955805612254412,0.955805612254412,0.0,in_regime
US30,15,close,1540,1540,0,0,0.9646568172718346,0.9646568172718346,0.0,in_regime
US30,30,1R,1530,1530,0,0,0.9243215457717998,0.9243215457717998,0.0,in_regime
US30,30,2R,1530,1530,0,0,0.9518205596085187,0.9518205596085187,0.0,in_regime
US30,30,close,1530,1530,0,0,0.9541919655041746,0.9541919655041746,0.0,in_regime
NAS100,15,1R,974,974,0,0,0.6067436665720993,0.6067436665720993,0.0,out_regime
NAS100,15,2R,974,974,0,0,0.7502166436942701,0.7502166436942701,0.0,out_regime
NAS100,15,close,974,974,0,0,0.7978369430226199,0.7978369430226199,0.0,out_regime
NAS100,30,1R,970,970,0,0,0.6663134486170269,0.6663134486170269,0.0,out_regime
NAS100,30,2R,970,970,0,0,0.7304397271757316,0.7304397271757316,0.0,out_regime
NAS100,30,close,970,970,0,0,0.7525191781282947,0.7525191781282947,0.0,out_regime
US30,15,1R,1025,1025,0,0,0.6487936295739,0.6487936295739,0.0,out_regime
US30,15,2R,1025,1025,0,0,0.7207904871160542,0.7207904871160542,0.0,out_regime
US30,15,close,1025,1025,0,0,0.7530720014849606,0.7530720014849606,0.0,out_regime
US30,30,1R,1016,1016,0,0,0.666865643133412,0.666865643133412,0.0,out_regime
US30,30,2R,1016,1016,0,0,0.7330201718967263,0.7330201718967263,0.0,out_regime
US30,30,close,1016,1016,0,0,0.7505050363726532,0.7505050363726532,0.0,out_regime
