timeframe,family,variant,n_members,n_trades,cagr,ann_vol,mean_member_corr,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,n_obs,is_pf,oos_pf,is_sharpe,oos_sharpe,oos_trades,cost_R_mean,ftmo_pass_rate,dsr,oos_holds
H4,trend,0,5,997,-0.04124892973223482,0.04036344421391471,0.1440667178652278,0.9133443194291293,0.8310060727663866,-0.9526141889814227,0.5447792140675054,3.4837231407849423,0.18757617407199015,1125,0.7419422985628847,0.9594203118981636,-1.5202396452568097,-0.21616308424212202,444,0.04441349824551205,0.0,0.007159949412749597,False
H4,trend,1,5,762,-0.03667719571869932,0.034110057095299594,0.11531754888451469,0.8824940585642294,0.8190589613337799,-1.0040735422020108,0.1174540346230157,4.051428558621908,0.17582863232236207,1125,0.7022166372583748,0.9839119241065921,-1.7730321630165307,-0.08164160808043136,344,0.038138246551205665,0.0,0.004852822138395903,False
H4,trend,2,5,851,-0.0405459262315645,0.0435590846266334,0.15997800749521765,0.8803742492438514,0.828480711772922,-0.8638853746745144,1.486342515006065,11.131862416683388,0.21052772140100254,1137,0.7496309251527884,0.9330606790855283,-1.2592146893095895,-0.3388033193940883,395,0.03285206868892471,0.0,0.01317062166721555,False
H4,macross,0,5,462,-0.02730681043438321,0.0312179552283346,0.10895039534042956,0.8643541089740863,0.8121867181610192,-0.8110401171374739,0.13215998182948147,9.639680341777368,0.14403463450121617,1131,0.7859071357018066,0.8505833368118497,-0.9409201002576159,-0.6317544123102519,193,0.03758975030371788,0.0,0.01441211285030097,False
H4,macross,1,5,312,-0.009943433433237336,0.02539363188551195,0.06513027531707508,0.9579089017681819,0.9031627841036721,-0.3542810897519829,0.9960035915345026,9.51553427396038,0.09174869880307109,1135,0.9283758892933508,0.8732948458171219,-0.2556979816384953,-0.47718525401318396,140,0.03772066949815723,0.0,0.11091647965437473,False
H4,macross,2,5,557,-0.013224866700047522,0.04095501592047291,0.08583483010646786,1.005503149577692,0.9349290331850537,-0.28258596042841616,1.5482462318225596,10.332097267477694,0.10770988605047162,1131,0.9471747031528442,0.9184101125926829,-0.22305411029552538,-0.3709638378459863,237,0.05049765258703587,0.0,0.14301861208489536,False
H8,trend,0,5,551,-0.02385850327605077,0.029302230008471417,0.1121211350934787,0.8841178830452218,0.832120383228032,-0.7532316568505553,0.1581864425448639,6.374077064033468,0.11485032328163734,1121,0.7596853840635732,0.9246701135496526,-1.136725973821253,-0.31713905382159924,253,0.029657664707361597,0.0,0.019828831217756585,False
H8,trend,1,5,430,-0.011399696199174025,0.025137318573681438,0.09894243412979793,0.9469887011205917,0.8988291443619482,-0.41233888581014205,0.09268692560836471,10.056723998405118,0.08971917062570833,1122,0.7817136467459259,1.0539582316870708,-0.9820166731116419,0.19610507026237234,196,0.026482517496498503,0.0,0.08875626061471309,False
H8,trend,2,5,464,-0.017615804029431525,0.03047338906841129,0.0931170431235234,0.9042723716342456,0.865411439107443,-0.5284568203061522,1.418904092672051,13.490354847633817,0.1437648064818681,1125,0.6448960413760823,1.1715341349177133,-1.5985564772037077,0.5766779070806101,216,0.023954542788926742,0.0,0.05950583387125151,False
H8,macross,0,5,258,-0.0014432562131811988,0.022221558355627613,0.07802900492073299,1.0283322409261915,0.9838493523449718,-0.04955216936976845,1.8146969753351252,13.91667412256084,0.05984566024841757,1133,0.8839781033637841,1.1031555294815467,-0.3690214544703064,0.3043878616038617,121,0.025879365303864137,0.0,0.278556894062558,False
H8,macross,1,5,185,-0.006164611918557217,0.019019203006112838,0.05078302223651965,0.9306860294775584,0.8986631847559472,-0.2939945342753026,1.231803931027964,13.027284660363243,0.06852380989728175,1139,0.6976964961337095,1.1879246755487558,-0.9614234583881569,0.484828328853627,82,0.023160196621092494,0.0,0.1363413538451686,False
H8,macross,2,5,322,-0.00997860825521757,0.0298227159957992,0.07557874828412076,0.9586830670203605,0.9115804112167287,-0.29911212071337845,2.564812934728875,17.926395198542707,0.10084015541292354,1138,0.8510100995377802,0.9851636086672607,-0.510875324502158,-0.049361614876682273,148,0.03449977322681946,0.0,0.13711328727032113,False
D1,trend,0,5,198,-0.009518971369821716,0.015341274498325288,0.07000299650362618,0.8324876332202742,0.8045690280258129,-0.5734015583629446,-0.5866842668730512,14.84439499423437,0.07530393173259586,1120,0.6696424560719869,0.9837695935878764,-1.057843950458528,-0.04291049577146899,89,0.015660751247147324,0.0,0.044264356893551876,False
D1,trend,1,5,153,-0.00030578068903985844,0.013233311028912323,0.03353146481775053,1.024118769055777,0.9941338049869272,-0.014930719959029464,0.501586256438888,10.754844793465715,0.054815553339791066,1120,0.6268434641183264,1.5757813317075309,-1.1546374151340144,1.1544113290775966,72,0.014238215624645532,0.0,0.30421768805884786,False
D1,trend,2,5,169,-0.005307974250651437,0.015573137675164331,0.02113618002939774,0.9067621474746003,0.8819585294043547,-0.3107504300660258,2.302032997142056,23.953818616436887,0.08093173527064719,1120,0.6312764772186783,1.1631473748931058,-1.113002385624428,0.3836486516968854,84,0.014247336798797689,0.0,0.13350187251424545,False
D1,macross,0,5,93,0.0011645703602896074,0.01202145343936192,0.034227394329356585,1.0818652954064827,1.0507041153860588,0.09732572651968549,1.7485090461757573,28.407476826244647,0.030010103931672534,1103,0.7251338744210968,1.72268672081821,-0.6476908781911928,1.0052744345934546,35,0.014811461246925214,0.0,0.3916156921719399,False
D1,macross,1,5,50,0.0007166267874514354,0.009551984745000549,0.056243239121399925,1.0806678505254805,1.0527898896297652,0.07761424499418883,2.417251599800968,38.891895468128354,0.020212629132595666,1069,1.0308274605163539,1.0794283062663028,0.044395953184352674,0.1199329926076224,22,0.014636728357182391,0.0,0.3775854151020457,True
D1,macross,2,5,119,-0.003570520525822518,0.017744122895462153,0.06992401408791714,0.9428898391993116,0.9137377237847739,-0.18113723816732352,4.258277529544379,45.21067715360875,0.059161891653497826,1104,0.6296045418174218,1.493557033865527,-0.9328369099404877,0.7764277042893407,44,0.01953089226502549,0.0,0.20159335401750994,False
