label,N,k_atr,R,H,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share,n_pos_years,n_years
N30_katr0.75_R1.5,30,0.75,1.5,48,False,517,PASS,1.104743801528051,1.0400554667300144,-0.0030799818192731743,0.21373539822503132,0.4332688588007737,-4.002027260338917,5,8
N30_katr0.75_R2.0,30,0.75,2.0,48,False,471,PASS,1.1926233670738509,1.1290187358925678,0.25637984512068746,0.17423357015632232,0.3885350318471338,0.6310914750458037,6,8
N30_katr0.75_R3.0,30,0.75,3.0,48,False,407,PASS,1.1003221145059208,1.0455670809903905,-0.04623022631539472,0.23392861951819013,0.31203931203931207,-2.517756106761856,3,8
N30_katr1.0_R1.5,30,1.0,1.5,48,False,478,PASS,1.0617332496846383,1.0111832277832298,-0.10521047967013925,0.2148757584438826,0.4246861924686193,-1.0784206797795541,3,8
N30_katr1.0_R2.0,30,1.0,2.0,48,False,430,PASS,1.1266525379849637,1.077947345351792,0.01588836012663645,0.2165219507839335,0.38372093023255816,-27.959120060110457,6,8
N30_katr1.0_R3.0,30,1.0,3.0,48,False,379,PASS,1.0418046508916368,0.9981149576390986,-0.23402694485186912,0.33776460135238995,0.31398416886543534,-0.8243230765262266,4,8
N30_katr1.5_R1.5,30,1.5,1.5,48,False,401,PASS,1.1561336186299733,1.1148082315172498,0.12369312221080671,0.18004810537102983,0.456359102244389,2.3584035244303583,4,8
N30_katr1.5_R2.0,30,1.5,2.0,48,False,361,PASS,1.1253171350333948,1.0864169578484504,0.0175331005530048,0.17382682300522434,0.41274238227146814,-44.99337249470463,4,8
N30_katr1.5_R3.0,30,1.5,3.0,48,False,329,PASS,1.0275216288083722,0.992641990988541,-0.5160616751620486,0.33056288213042134,0.3677811550151976,-0.274382119638536,2,8
N50_katr0.75_R1.5,50,0.75,1.5,48,False,417,PASS,1.1347689324874664,1.0656372954786764,0.06898198774853587,0.16592037848235597,0.43884892086330934,3.3583817448667763,3,8
N50_katr0.75_R2.0,50,0.75,2.0,48,False,385,PASS,1.1510107619309096,1.0864057899650614,0.13010186255093956,0.17783140114854962,0.37922077922077924,1.310881453116331,5,8
N50_katr0.75_R3.0,50,0.75,3.0,48,False,336,PASS,1.119608790857875,1.0635381120790568,0.012208851632416617,0.16260174603456784,0.30654761904761907,-7.1688513051300795,4,8
N50_katr1.0_R1.5,50,1.0,1.5,48,False,386,PASS,1.1176672131112144,1.061981601871558,0.06547181228123043,0.173049394377213,0.43523316062176165,3.1534253929257465,4,8
"N50_katr1.0_R2.0 [BASELINE, repro-only]",50,1.0,2.0,48,True,347,PASS,1.155703993612964,1.1036066977423737,0.10170749286355107,0.1520506005469178,0.38328530259365995,1.4997023414973678,5,8
N50_katr1.0_R3.0,50,1.0,3.0,48,False,305,PASS,1.1640116779744953,1.1149294494719058,0.11010947247273645,0.23820740616259042,0.3180327868852459,1.5824859108796379,5,8
N50_katr1.5_R1.5,50,1.5,1.5,48,False,318,PASS,1.1318262174401623,1.0898181300909815,0.02759769217143941,0.1329342695681042,0.44654088050314467,11.167081069099565,3,8
N50_katr1.5_R2.0,50,1.5,2.0,48,False,282,PASS,1.1449026340549098,1.1054387533754262,0.10573500165424896,0.13246669956397558,0.40070921985815605,1.9942246098439096,4,8
N50_katr1.5_R3.0,50,1.5,3.0,48,False,261,PASS,1.1154113125473626,1.077956305433502,-0.1386299470640725,0.15846169360731546,0.3563218390804598,-0.9026085375679468,3,8
N70_katr0.75_R1.5,70,0.75,1.5,48,False,356,PASS,1.1154442326105525,1.045781449198827,0.0042774549768021895,0.1475682457852368,0.4353932584269663,-24.88323425025484,3,8
N70_katr0.75_R2.0,70,0.75,2.0,48,False,324,PASS,1.2034383839766223,1.1347893582397923,0.2590870952386317,0.16208378178721866,0.39197530864197533,0.8097547750359249,5,8
N70_katr0.75_R3.0,70,0.75,3.0,48,False,287,PASS,1.1480524681766429,1.0902219972505935,0.10370194050580417,0.15029857960108273,0.313588850174216,1.7655808355490858,5,8
N70_katr1.0_R1.5,70,1.0,1.5,48,False,327,PASS,1.1360139556359892,1.0781043996056194,0.09732534212426257,0.1370748679584999,0.44036697247706424,2.5866438404421914,3,8
N70_katr1.0_R2.0,70,1.0,2.0,48,False,295,PASS,1.2389109233472628,1.1826694104666444,0.3664349649952865,0.09232274317924538,0.39661016949152544,0.5290730272437062,6,8
N70_katr1.0_R3.0,70,1.0,3.0,48,False,261,PASS,1.1851170516052578,1.1347549461439448,0.10420115686725222,0.1538880231418538,0.32567049808429116,2.3906046377157546,4,8
N70_katr1.5_R1.5,70,1.5,1.5,48,False,272,PASS,1.182501575133004,1.1380005855529907,0.2259410916639139,0.09584101857423051,0.4522058823529412,0.9349556515520384,5,8
N70_katr1.5_R2.0,70,1.5,2.0,48,False,240,PASS,1.1943068351788364,1.1528270796182538,0.20194430391009963,0.09965814636193587,0.4083333333333333,0.8695336724591964,5,8
N70_katr1.5_R3.0,70,1.5,3.0,48,False,221,PASS,1.140800957242938,1.1011945759119648,-0.20404568721028365,0.15638909547695506,0.37104072398190047,-0.5214462160188104,2,8
EXT_N90_katr1.0_R2.0_H48,90,1.0,2.0,48,False,267,PASS,1.1525099826177712,1.098896983605822,0.14935584870683316,0.12630852596971365,0.3857677902621723,0.7591958456290211,6,8
EXT_N110_katr1.0_R2.0_H48,110,1.0,2.0,48,False,250,PASS,1.0853955076725157,1.0337278078801857,-0.031000588095393744,0.15456505872153262,0.372,-1.3264636025137597,3,8
EXT_N70_katr0.5_R2.0_H48,70,0.5,2.0,48,False,369,PASS,1.0614620016929113,0.982539459271241,-0.2342867818171488,0.21827373579196485,0.35772357723577236,-0.808279635531688,2,8
EXT_N70_katr1.0_R1.75_H48,70,1.0,1.75,48,False,309,PASS,1.265136529583946,1.204589806583385,0.39938344650320984,0.10631425587310941,0.4336569579288026,0.6310595609445531,4,8
