opt_type,entry_date,exp_date,S0,S_exit,K_short,K_long,width,width_pct,contracts,gross_credit,net_credit,cost_short,cost_long,total_cost,max_loss,payoff,realized_pnl,realized_pnl_sized,ret_on_credit,ret_on_max_loss,win,loss_amount,hit_full_max_loss,expired_worthless_short,group,width_name
put,1994-02-07,1994-03-16,26.54735374450684,26.58250999450684,25.217008089712838,24.95153455226777,0.2654735374450681,0.01,81.81152021439419,2.3272915000441152,2.100918881069158,0.14227745323803012,0.08409516573692696,0.22637261897495708,24.44643486343765,0.0,2.100918881069158,171.87936750739186,1.0,0.08593968375369593,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
call,1994-02-07,1994-03-16,26.54735374450684,26.58250999450684,28.259798666380522,28.52527220382559,0.2654735374450681,0.01,80.81379634091206,2.0227745591934188,1.7991041812388802,0.1371198709671874,0.08655050698735123,0.22367037795453862,24.748249563267926,0.0,1.7991041812388802,145.39243889872222,1.0,0.0726962194493611,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
put,1994-03-17,1994-04-22,26.58250999450684,25.38315963745117,25.38449935287977,25.118674252934703,0.26582509994506864,0.01,81.83082427915532,2.264118380535418,2.064298748293174,0.1282112958778149,0.0716083363644291,0.19981963224224403,24.51821124621369,0.13397154286032276,1.9303272054328513,157.96026634904862,0.935100700433455,0.07873034398995762,True,0.0,False,False,FILTERED (IV rank top-tercile),1pct
call,1994-03-17,1994-04-22,26.58250999450684,25.38315963745117,28.13039936753547,28.39622446748054,0.26582509994506864,0.01,80.9599518276113,1.998621775067111,1.8005605140989434,0.12401340267242308,0.07404785829574455,0.19806126096816762,24.78194948040792,0.0,1.8005605140989434,145.7732924841495,1.0,0.0726561288296721,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
put,1994-04-25,1994-06-01,25.64839553833008,26.037397384643555,24.33433850586393,24.077854550480627,0.2564839553833025,0.01,85.23124870510583,2.2615038421306632,2.0371011142907793,0.14047016194657577,0.08393256589330836,0.22440272783988413,23.61129442403947,0.0,2.0371011142907793,173.62467170956563,1.0,0.08627655382657617,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
call,1994-04-25,1994-06-01,25.64839553833008,26.037397384643555,27.33746742956734,27.593951384950643,0.2564839553833025,0.01,84.16291745183442,1.9589560542446982,1.7373885505262137,0.13527070253730109,0.08629680118118349,0.22156750371848458,23.911006987804033,0.0,1.7373885505262137,146.22368915969997,1.0,0.07266061824215016,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
put,1994-06-21,1994-07-28,25.68445587158203,25.889162063598636,24.32641221511135,24.06956765639553,0.25684455871581946,0.01,85.41890047954045,2.2832486319391165,2.0501423509376475,0.14509374839997355,0.08801253260149536,0.2331062810014689,23.634313520644298,0.0,2.0501423509376475,175.120905443634,1.0,0.0867443155963414,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
call,1994-06-21,1994-07-28,25.68445587158203,25.889162063598636,27.426866563845177,27.683711122560997,0.25684455871581946,0.01,84.30576150211614,1.9680055784069506,1.7380844901728747,0.1395606138471249,0.090360474386951,0.2299210882340759,23.946371381409072,0.0,1.7380844901728747,146.5305364990415,1.0,0.07258237427664085,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
put,1994-09-13,1994-10-20,26.77024269104004,26.78978538513184,25.447769339288243,25.180066912377843,0.26770242691040025,0.01,82.13788951552743,2.3380481517149665,2.113532915484239,0.14148322001180103,0.08303201621892645,0.22451523623072747,24.656709775555786,0.0,2.113532915484239,173.601133099475,1.0,0.08571836772721221,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
call,1994-09-13,1994-10-20,26.77024269104004,26.78978538513184,28.474220877195357,28.741923304105757,0.26770242691040025,0.01,81.15383228293578,2.0364838087286508,1.8145499481493619,0.13642297789875288,0.08551088268053605,0.22193386057928893,24.955692742890662,0.0,1.8145499481493619,147.25768216112314,1.0,0.07271086268147327,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
put,1994-10-21,1994-11-25,26.682344436645508,26.055574417114254,25.188621013249172,24.921797568882717,0.2668234443664552,0.01,82.80675216710614,2.4048451901584,2.147300777811023,0.15883277105066887,0.09871164129670804,0.2575444123473769,24.5350436588345,0.0,2.147300777811023,177.81100333643164,1.0,0.08751974553906408,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
call,1994-10-21,1994-11-25,26.682344436645508,26.055574417114254,28.578915523757352,28.845738968123808,0.2668234443664552,0.01,81.65511820706904,2.05482330125204,1.8012674842597955,0.152463199761773,0.10109261723047144,0.25355581699224444,24.881076952385726,0.0,1.8012674842597955,147.08270934978347,1.0,0.07239507709842442,True,0.0,False,True,FILTERED (IV rank top-tercile),1pct
