name,first,last,n_days,years,total_return,sharpe,max_dd,recovery_days,top_year_share
A|MomoRot crypto-sectors §17 (N12/K5),2020-02-01,2026-08-31,2404,6.6,41.009566829197624,1.1358255870810101,0.5704438536263522,,0.772617666662149
C|Turtle Sys1 BTCUSDT,2018-01-01,2026-08-31,3165,8.7,1.644459541591119,1.0428554284114575,0.1443091611065217,,0.4255398534904726
C|Turtle Sys2 ETHUSDT,2018-01-01,2026-08-31,3165,8.7,1.035380482704277,0.8711524351136926,0.13123640333436437,113.0,0.31214488512376565
C|MACD-slow-n3 BTCUSDT,2018-01-01,2026-08-31,3165,8.7,0.03363469774156136,0.8365827843344644,0.011987420578351893,733.0,0.5247844653331801
C|Turtle Sys2 XAUUSD,2017-01-02,2025-12-31,3286,9.0,0.9071850815827918,0.8213421693846085,0.19442863958021994,812.0,0.5586758677031517
C|Turtle Sys2 BTCUSDT,2018-01-01,2026-08-31,3165,8.7,0.9232950874214043,0.8027987150146705,0.11599088999683138,29.0,0.2205608391272686
C|Turtle Sys1 ETHUSDT,2018-01-01,2026-08-31,3165,8.7,0.9375443826127348,0.7624382562743331,0.1782455908968229,628.0,0.4469077663786027
C|Turtle Sys1 XAUUSD,2017-01-02,2025-12-31,3286,9.0,0.8350485951387685,0.7553196415083896,0.2210425619762092,1137.0,0.5212240900591772
C|Ichimoku ETHUSDT,2018-01-01,2026-08-31,3165,8.7,0.03261162682701402,0.6899107465612394,0.015037865626631786,,0.34873661949175916
A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),2000-01-03,2026-08-28,9735,26.7,9.339118147580646,0.6293335595956558,0.37504412738711035,801.0,0.14028762070891837
"A|MomoRot US-sector §12 (N12/K5, headline)",2000-01-03,2026-08-28,9735,26.7,6.87635027695543,0.6070824179380302,0.3902938862524964,836.0,0.1382714926610453
C|Bollinger NAS100,2013-09-30,2025-12-31,4476,12.3,0.010527759136332415,0.5933224009238856,0.0026167438219966144,559.0,0.22675381964465455
C|MACD BTCUSDT,2018-01-01,2026-08-31,3165,8.7,0.031225920789209827,0.5859657624135001,0.006474467811017237,,0.5300896340118023
C|MACD-slow-n3 ETHUSDT,2018-01-01,2026-08-31,3165,8.7,0.03097554804563374,0.5851463840570484,0.013970359749488348,193.0,0.5625995528732592
D|Credit-spread FILTERED 1pct (SPY),1993-01-29,2026-06-16,12192,33.4,0.38386830637822356,0.5666571936953436,0.03733350093236276,1218.0,0.08721110957638152
A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),2011-10-04,2026-08-28,5443,14.9,5.633163268484478,0.5366276404571305,0.48869414622830754,214.0,0.37733153462967955
A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),2018-03-12,2025-12-09,2830,7.7,0.4680566579998646,0.5334384418250271,0.14663188928455761,395.0,0.6720934145356902
C|MACD ETHUSDT,2018-01-01,2026-08-31,3165,8.7,0.03223319645251954,0.45754329539339805,0.013654776639026367,,0.38153807082510083
C|Ichimoku XAUUSD,2017-01-02,2025-12-31,3286,9.0,0.004750373709510036,0.4512097497363975,0.002111143074598032,1092.0,0.8817661886468081
D|On-chain active-address surge H20 (BTCUSDT),2018-01-03,2026-08-31,3163,8.7,1.207619900980529,0.4304122884062788,0.6562039585771713,218.0,1.212857676758794
A|VRP §21-A fixed 10% sizing (thr 1.2),2011-10-04,2026-08-28,5443,14.9,0.32067331416240874,0.42439570113337355,0.15322569165389732,,0.38734454793045
A|VRP §21-A fixed 20% sizing (thr 1.2),2011-10-04,2026-08-28,5443,14.9,0.6860478789162194,0.42439570113337355,0.2902155141059396,,0.4081581002995117
A|VRP naked SVXY §20 (thr 1.2),2011-10-04,2026-08-28,5443,14.9,0.9806010694331857,0.42439570113337344,0.9306851931239734,,1.4240855957841028
C|Turtle Sys2 SPX500,2017-01-03,2025-12-31,3285,9.0,0.3745009703265818,0.3979065453493627,0.26120489698248284,,0.40808929669565297
A|MomoRot country-ETFs §17 (N12/K5),2009-02-02,2026-08-28,6417,17.6,1.180724599541517,0.38449216078243054,0.24793761453768903,486.0,0.2998580978942162
C|Bollinger US30,2013-09-30,2025-12-31,4476,12.3,0.005055836928971713,0.31682347228510743,0.00363136576862666,340.0,0.21150780888028364
C|Bollinger EURUSD,2013-01-01,2025-12-30,4747,13.0,0.002342757243435578,0.31163494527249136,0.0014024000542848247,354.0,0.4756078517990788
C|Ichimoku EURUSD,2013-01-01,2025-12-30,4747,13.0,0.0018791813891783082,0.27050866079901487,0.0017211616324313006,,0.48032035358862324
C|Ichimoku BTCUSDT,2018-01-01,2026-08-31,3165,8.7,0.008021583313671643,0.25272515066565004,0.009836753504022022,,1.3038099842889828
C|Pairs NAS100-US30 N2.0,2013-09-30,2025-12-31,4476,12.3,0.14857508838349598,0.24613804509883624,0.14153840968071452,501.0,1.2532453647529234
A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),2018-01-03,2025-12-31,2920,8.0,0.21458852443313337,0.2345180366335335,0.3346512885887676,847.0,1.0214423969632729
C|Bollinger SPX500,2017-01-03,2025-12-31,3285,9.0,0.0025861232915587173,0.20822171137212478,0.004456372333290548,654.0,0.6367393597537377
C|Ichimoku SPX500,2017-01-03,2025-12-31,3285,9.0,0.0020359488821370952,0.17983134653417535,0.0026151365313350494,462.0,0.6801723189568516
C|Turtle Sys2 NAS100,2013-09-30,2025-12-31,4476,12.3,0.15010890619534778,0.16656368882066466,0.25294589855387173,1709.0,1.4544542280306019
C|Turtle Sys1 NAS100,2013-09-30,2025-12-31,4476,12.3,0.0891784688168018,0.12018704052399325,0.2403257339082382,1322.0,1.5413616296801078
C|Ichimoku NAS100,2013-09-30,2025-12-31,4476,12.3,0.0018137327902090217,0.1153011490405062,0.003981188912181355,483.0,0.7229778802150807
A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),2013-10-30,2017-10-16,1448,4.0,0.012870605581752015,0.08835233571616058,0.27559647277928934,131.0,17.688314559813566
A|VRP naked SVXY §20 (thr 1.5),2011-10-04,2026-08-28,5443,14.9,-0.6985737031771118,0.08659285500789067,0.9184339210839708,,
C|Pairs NAS100-US30 N1.5,2013-09-30,2025-12-31,4476,12.3,0.006734450034579842,0.03682159048683755,0.15767437618712077,1117.0,24.799510906753046
C|Turtle Sys1 SPX500,2017-01-03,2025-12-31,3285,9.0,-0.018279161538405808,0.034255328892272535,0.29633767669397226,,
C|Turtle Sys2 US30,2013-09-30,2025-12-31,4476,12.3,-0.07188609668490198,-0.019091131272579984,0.2837300593251799,351.0,
C|Ichimoku US30,2013-09-30,2025-12-31,4476,12.3,-0.0004395247191447682,-0.028801746957117957,0.0037854563629990956,,
C|MACD SPX500,2017-01-03,2025-12-31,3285,9.0,-0.0008163413689695753,-0.04873304827087781,0.006308554668994493,,
C|Turtle Sys1 US30,2013-09-30,2025-12-31,4476,12.3,-0.11465321606115153,-0.0570819639095562,0.2976500318203179,,
C|MACD US30,2013-09-30,2025-12-31,4476,12.3,-0.00216876948605782,-0.10559773718072195,0.006577878280163096,,
C|Turtle Sys2 EURUSD,2013-01-01,2025-12-30,4747,13.0,-0.1687359507844146,-0.11915326032545887,0.4274979622488271,,
C|Pairs GLD-SLV N1.5,2006-04-28,2026-08-27,7427,20.3,-0.2900060039789627,-0.1428018910689021,0.44200156642282207,,
C|Bollinger XAUUSD,2017-01-02,2025-12-31,3286,9.0,-0.0016446416380693218,-0.16281560163028727,0.004786046339735672,,
C|MACD XAUUSD,2017-01-02,2025-12-31,3286,9.0,-0.0028666494135074494,-0.21673060465775443,0.005115927884143612,,
C|Pairs GLD-SLV N2.0,2006-04-28,2026-08-27,7427,20.3,-0.37698591309991625,-0.2293551532493421,0.5211022463775414,,
C|Turtle Sys1 EURUSD,2013-01-01,2025-12-30,4747,13.0,-0.3599728692819637,-0.3042481765290743,0.48758896716186817,,
C|MACD EURUSD,2013-01-01,2025-12-30,4747,13.0,-0.0033488926861376944,-0.3282259538293648,0.003990943826316373,,
C|Bollinger BTCUSDT,2018-01-01,2026-08-31,3165,8.7,-0.019493706237679986,-0.4722452384041825,0.027985700019250048,,
C|MACD NAS100,2013-09-30,2025-12-31,4476,12.3,-0.0125292422992338,-0.4991886964696079,0.013683828593085368,,
C|Bollinger ETHUSDT,2018-01-01,2026-08-31,3165,8.7,-0.03333486703080257,-0.6130540586849289,0.03798908383234312,,
A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),2011-10-04,2026-08-28,5443,14.9,-0.9893974661933869,-0.6614412797629916,0.9897730118188829,,
B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),2013-01-02,2017-12-29,1823,5.0,-0.8131894696659625,-1.4629246580472295,0.8385154144864844,,
B|ICT-SMC EURUSD in-regime 2018-2025,2018-01-02,2025-12-30,2920,8.0,-0.9384279336529475,-1.5378097305458178,0.9479576914138896,,
"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",2017-01-06,2018-01-03,363,1.0,-0.4602680678085397,-2.009882362110168,0.542644767887738,,
A|ORB §10 same cell 2013-2017 (out-of-regime),2013-10-21,2017-12-29,1531,4.2,-0.7691697120795576,-2.087413067818593,0.7904257315706652,,
B|ICT-SMC XAUUSD in-regime 2018-2025,2018-01-02,2025-12-31,2921,8.0,-0.9984230997192942,-2.949248963796071,0.9984538243312938,,
B|ICT-SMC SPX500 in-regime 2018-2025,2018-01-05,2025-12-31,2918,8.0,-0.9998629681608885,-3.439034699272549,0.9998622168381667,,
