,A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),"A|MomoRot US-sector §12 (N12/K5, headline)",A|MomoRot country-ETFs §17 (N12/K5),A|MomoRot crypto-sectors §17 (N12/K5),A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),A|ORB §10 same cell 2013-2017 (out-of-regime),A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),A|VRP naked SVXY §20 (thr 1.2),A|VRP naked SVXY §20 (thr 1.5),A|VRP §21-A fixed 10% sizing (thr 1.2),A|VRP §21-A fixed 20% sizing (thr 1.2),A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),B|ICT-SMC BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),B|ICT-SMC EURUSD in-regime 2018-2025,B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),B|ICT-SMC SPX500 in-regime 2018-2025,"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",B|ICT-SMC XAUUSD in-regime 2018-2025,"B|ICT-SMC XAUUSD out-of-regime 2017 (1yr, not a full regime test)",C|Bollinger BTCUSDT,C|Bollinger ETHUSDT,C|Bollinger EURUSD,C|Bollinger NAS100,C|Bollinger SPX500,C|Bollinger US30,C|Bollinger XAUUSD,C|Ichimoku BTCUSDT,C|Ichimoku ETHUSDT,C|Ichimoku EURUSD,C|Ichimoku NAS100,C|Ichimoku SPX500,C|Ichimoku US30,C|Ichimoku XAUUSD,C|MACD BTCUSDT,C|MACD ETHUSDT,C|MACD EURUSD,C|MACD NAS100,C|MACD SPX500,C|MACD US30,C|MACD XAUUSD,C|MACD-slow-n3 BTCUSDT,C|MACD-slow-n3 ETHUSDT,C|Pairs GLD-SLV N1.5,C|Pairs GLD-SLV N2.0,C|Pairs NAS100-US30 N1.5,C|Pairs NAS100-US30 N2.0,C|Turtle Sys1 BTCUSDT,C|Turtle Sys1 ETHUSDT,C|Turtle Sys1 EURUSD,C|Turtle Sys1 NAS100,C|Turtle Sys1 SPX500,C|Turtle Sys1 US30,C|Turtle Sys1 XAUUSD,C|Turtle Sys2 BTCUSDT,C|Turtle Sys2 ETHUSDT,C|Turtle Sys2 EURUSD,C|Turtle Sys2 NAS100,C|Turtle Sys2 SPX500,C|Turtle Sys2 US30,C|Turtle Sys2 XAUUSD,D|Credit-spread FILTERED 1pct (SPY),D|On-chain active-address surge H20 (BTCUSDT)
A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),1.0,0.916276516426981,0.7150658102002752,0.17583069612105137,-0.0034415996748539007,-0.030527327840592866,-0.013858386811260804,-0.08025211449409955,0.3847332859145525,0.27071664651642907,0.38473328591455275,0.38473328591455275,0.4105436933637903,-0.2967814865285984,0.0019351595518825979,0.0621343588440621,-0.02670140357018842,0.11958013891527983,0.33471974480309347,0.04537209923683663,-0.05792120893154799,0.028391375938979908,0.013134839937035512,-0.007550822808429116,0.026895084585638412,0.05624914240973399,0.0608779353897941,-0.039562095264608,0.005632306944074976,0.039987578698412074,0.027244232751775514,0.2499004836771817,0.24197796422778217,0.14602187248679274,0.03417689601116814,-0.045542845710896215,-0.036317815324905904,-0.013271758826998764,-0.187989380767847,-0.18990700642319192,-0.16946030939606097,-0.004454149276306798,0.08214077694996695,0.0976803332941852,-0.12803084815522653,-0.14493369172116516,-0.02817634229579006,-0.0295864925748721,0.03568235418261577,0.01920489761345269,0.026528422609692702,0.10903188030723843,0.11857724980350186,0.03532388326750729,0.018349661606373024,0.028692261353850765,0.04208166784656096,0.02916182918895589,0.2977696592063025,0.2846103424979098,0.146694878758181,0.05084403765113604,0.240331147236539,0.09565653254776285
"A|MomoRot US-sector §12 (N12/K5, headline)",0.916276516426981,1.0,0.7885219140987492,0.20360716826378014,-0.0092061335367289,-0.035045156177771424,-0.041608180562812624,-0.08337224862845288,0.4626190861496786,0.3161913404197387,0.4626190861496782,0.4626190861496782,0.48257467095100476,-0.3592776071674167,0.009804710731984209,0.05527751904558514,-0.035753956028307395,0.14667871557621667,0.3512956296277294,0.02953759418095976,-0.08774104863237778,0.04487053596094564,0.033003019602634055,0.013713634128464637,0.05546920938114713,0.0826509665238451,0.07302009187278413,-0.018651762456133678,0.009383031112902293,0.04213244657275957,0.0008352312015564241,0.2458347100083986,0.2599757424940081,0.1783243382189521,0.008773366600864828,-0.044579948923796534,-0.04356435862444009,-0.015133032287313641,-0.20261021550221403,-0.22647240581986147,-0.19665371973483267,-0.019165770805495624,0.10317242496493169,0.11256434681766114,-0.03647699148343537,-0.056974161017776984,-0.0076823779612631305,-0.007010253175406865,0.026157108868315047,0.008052856940270511,0.009078054134159595,0.09572292185097384,0.12069426406074416,0.04483920375169282,0.0012077052696312875,0.02668437159185916,0.02754289593906178,0.01618104194183738,0.3039544244098754,0.31375840658583215,0.17332253270133086,0.02133824778934344,0.27598808337488867,0.11966779885014599
A|MomoRot country-ETFs §17 (N12/K5),0.7150658102002752,0.7885219140987492,1.0,0.18227029558001015,0.00025967009324237317,-0.007200925821201904,-0.06614872994644763,-0.04888438246192461,0.4406834583252084,0.3370172542748565,0.44068345832521105,0.44068345832521105,0.4960169882669691,-0.32935628259887584,0.00870656400542355,0.10179767904082336,-0.021716886047740237,0.13150707891871027,0.22307672438577375,0.03738044558746898,0.04540684939540882,0.037571648771391415,0.019850292795533842,0.0011550158921531815,0.02664048322388938,0.03712144049009427,0.0368879476372252,-0.0030962243641401593,-0.012386610085810169,0.033326054267898246,0.030623012445995988,0.24730210455000132,0.29689647190988105,0.15053755809635974,0.012773769220703736,-0.02699835426765206,-0.03095334166125213,-0.004481971930251508,-0.17127032865531744,-0.16814502863060893,-0.13131399913007033,0.006999730907386421,0.10944026028409354,0.11806896612758605,-0.023620870192775104,-0.05040022159671191,-0.004869567777905456,-0.005644470922411506,0.023846904881175995,0.009768480901051755,0.03403697950006681,0.11553763865966153,0.14837226899986836,0.08121952104301923,-0.007139665446791221,0.011272324137673075,0.02486571931592574,0.026273139854036745,0.30420654749594933,0.321264031679184,0.19239574269562942,-0.0022874857327140766,0.21677116539482563,0.09739960753293982
A|MomoRot crypto-sectors §17 (N12/K5),0.17583069612105137,0.20360716826378014,0.18227029558001015,1.0,-0.03300377011482959,,-0.07954130018183622,,0.21189388702355633,0.17644549631258047,0.21189388702355652,0.21189388702355652,0.18617239631013854,-0.20814979188975472,0.057720541459428405,0.02270678193280133,,0.05522194086579184,,0.04650681478847115,,-0.013678919912870215,-0.0623512939868409,-0.03328361327055706,-0.014401165027806511,-0.01145724318260534,-0.010675523514861018,0.03058784384495103,0.030280173347194517,0.30782633739677673,0.018322000831327,0.10270427560716465,0.14203576762924103,0.060444952541237454,-0.009131014711444832,-0.15552636041181253,-0.11099917766222092,0.014956882864325087,-0.034593802090480935,-0.06449304255181211,-0.03602403794306172,-0.03421906340269376,0.24966252510093767,0.3479380252975327,-0.06815430934452611,-0.06613173523249653,-0.012390649789376323,-0.011948725608251734,0.16713455064206323,0.19160870578774067,0.06126744906675994,0.09451350835115656,0.07948765880368286,0.01996165421031584,-0.012575249951847651,0.22831351683397763,0.31116397626503417,0.08065591473293192,0.1716625416380271,0.17027039360670473,0.06835561552530589,-0.010330407878623708,0.043830117728780316,0.33951465575838824
A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),-0.0034415996748539007,-0.0092061335367289,0.00025967009324237317,-0.03300377011482959,1.0,,0.1730341152628297,,-0.009806078927558791,-0.007688306786607814,-0.009806078927558833,-0.009806078927558833,-0.021157466681961678,0.0024718394656016106,0.010809408127614112,-0.009317429950663552,,0.06988095422693044,,-0.0008745532774783782,,-0.001551269799170778,-0.016679182352266016,0.022389779134522496,-0.004401132686379844,-0.029121383744501166,0.01438019127866663,-0.008784516704325236,-0.006810961949555643,-0.013247164269248905,-0.012519789113575113,0.016618390046116125,-0.0025931822959816358,-0.006632851626777394,-0.0026473242564201112,0.02347749428892791,0.03620569263546893,0.00041417141847045833,0.030010267856381678,0.010976579459370186,0.009604709052874852,0.0021205505547850383,0.004443833961179349,0.010643052693968775,-0.011965916429186927,0.0038280418968885056,0.01938070647737981,0.009154079473542007,-0.012421807045128077,-0.00024272626693956243,-0.023435476660428792,0.0255855092552273,0.01757296858338497,-0.0213387172450453,-0.0021507659002902605,0.01331650634853626,0.013810214553931093,-0.02618518692820867,-0.0055781129598411645,0.007022136272058494,-0.031935652340923465,-0.013486557852535528,-0.040999485240399806,-0.030745969918253912
A|ORB §10 same cell 2013-2017 (out-of-regime),-0.030527327840592866,-0.035045156177771424,-0.007200925821201904,,,1.0,,0.19075787913701434,-0.037932475382438435,-0.009255371010913439,-0.03793247538243839,-0.03793247538243839,-0.04757618795991924,0.02302792786975344,,,0.00883645627233166,,0.12846704398326106,,-0.0012278199781700452,,,-0.01683871398899983,0.033607413228776015,0.011349209634441623,0.02280507576481002,0.06702071152825631,,,0.017860527668776587,-0.04464945295440194,-0.03263105821167575,-0.004299259336963831,-0.08288923328099954,,,0.052982239866262326,-0.009125202749989732,-0.034936567733435106,0.02759491862833195,0.052741159888071834,,,-0.008650703038810952,-0.002974321173467026,0.05284886135133819,0.0566571371570511,,,0.015900104773290482,-0.028615922957660304,-0.03503790103257864,-0.019449075058124,0.026817738261938902,,,-0.007308057761242755,-0.018007255319983366,0.004981405294780422,-0.0029116938380257446,-0.12462891378894513,-0.04079350095125272,
A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),-0.013858386811260804,-0.041608180562812624,-0.06614872994644763,-0.07954130018183622,0.1730341152628297,,1.0,,-0.061501190667824134,-0.06985257146079649,-0.061501190667824064,-0.061501190667824064,-0.07126349482176571,0.05676982405163399,0.012196772362336671,0.03932335121159445,,0.004136321383388716,,0.006079173457800635,,0.014834089325728834,0.0004332418383588999,-0.008285670924205518,0.07758923870221002,0.05999608741528427,0.03714485667844563,-0.10924798436126806,-0.029615937251688353,-0.058353802076348285,0.009165252452836429,-0.07159809690337136,-0.05005712831770891,-0.04712483291154265,0.11484410826837936,-0.010488792853198403,-0.01570298316488948,0.003674140755748095,-0.06858787818692534,-0.04983917116933883,0.01608070315188373,0.10208258459909253,-0.050035168735966966,-0.0386528821444992,-0.02623018399523072,-0.016422363894451987,0.05455544480045863,0.03025749775757083,-0.0457505872335288,-0.004829418853463366,0.007072622537913985,-0.13445967576719073,-0.10720162981182249,-0.06856514222330587,0.10016539965011469,0.003880968850604978,-0.008067345033742792,0.01090263561449916,-0.1353852953926512,-0.10218780490882436,-0.07903178066563386,0.09697832269446593,0.021285759759382097,-0.003609749785385728
A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),-0.08025211449409955,-0.08337224862845288,-0.04888438246192461,,,0.19075787913701434,,1.0,-0.024728472157463866,-0.043142161622823326,-0.024728472157463915,-0.024728472157463915,-0.02321772552833811,0.03695160188234033,,,0.03567440758268531,,0.01050929921981979,,0.02897386361932218,,,-0.04947903137818786,0.06263499562697177,0.003536419806975458,0.06130373842655875,0.007621324081426261,,,0.0692491852555676,-0.02002179600503065,-0.004658946060208071,-0.06741405964077715,-0.012222352890235304,,,0.01420545715037536,0.05999050514603784,-0.009786691153963792,0.05038402499651315,0.07747181459376429,,,0.009602698514928006,0.010066462064597713,0.030253668927304724,0.035698045995128866,,,0.06564454647131449,-0.1128114686286243,-0.004592726662176975,-0.09246729401197727,-0.01008846658649087,,,-0.017157057814821065,-0.1294356391144663,-0.008806100407330195,-0.09899750474575719,0.01379395224940122,-0.005072159536268101,
A|VRP naked SVXY §20 (thr 1.2),0.3847332859145525,0.4626190861496786,0.4406834583252084,0.21189388702355633,-0.009806078927558791,-0.037932475382438435,-0.061501190667824134,-0.024728472157463866,1.0,0.8131834625500908,1.0,1.0,0.7760283576145212,0.01278321668237265,-0.003187766447852365,0.019230914983062102,-0.054509955872759,0.06802117494227299,0.22616567489456685,0.010282604489922685,-0.04174603425550777,0.025509845527122762,-0.029005438266075954,0.018714027512919732,0.01649618566983328,0.05677356655572437,0.061305455721318104,0.007802783690560547,-0.01859090733988159,0.015232366948278243,0.0012767555258536814,0.22999761175743755,0.1636664940364721,0.11384966007286408,-0.018058250497493062,-0.015354106998783312,-0.0018029051599158811,-0.009950057682516566,-0.1449870774325866,-0.17438080021422836,-0.17543083981303098,-0.030962251736597973,0.04475063299949542,0.07589669251109529,0.020903052283691652,0.013559256216713635,0.007548913877923693,0.00618863602094887,0.02087731325895826,0.03229786199664782,0.0010240481154797539,0.13106515525789936,0.13098116786462852,0.051596577485509824,-0.00016398097967542408,0.010686937304320746,0.01203082610816366,0.01991506941066527,0.30320469191984617,0.27057611832556944,0.14764380210076183,0.008394546369252548,0.2635345635943907,0.0709552602532403
A|VRP naked SVXY §20 (thr 1.5),0.27071664651642907,0.3161913404197387,0.3370172542748565,0.17644549631258047,-0.007688306786607814,-0.009255371010913439,-0.06985257146079649,-0.043142161622823326,0.8131834625500908,1.0,0.8131834625500921,0.8131834625500921,0.5899154992696913,0.19385007097175144,-0.005140140974228406,0.012259411233779332,-0.049630163477919,0.05148821543655599,0.2074619391309345,0.007050409522561627,-0.035265048198681814,-0.043125059046349515,-0.04943126082389735,0.011009997944730973,-0.009093568282742662,-0.010600921043120935,0.007677757911546388,0.00699197191664552,-0.008979535079501473,0.01823611461434303,0.00912424772950085,0.1909041647395268,0.12748568589469167,0.060799655889452395,-0.014553357412360756,0.020337143589957415,0.0227397033237254,-0.006038465436960885,-0.10841059122420116,-0.08837457517396768,-0.10197921395935926,-0.03983566504566907,0.03773438628291001,0.054107274137533135,-0.0007375585299206846,-0.0005601455653379549,-0.0071419682766706355,-0.01459536360110627,0.022176153065130193,0.03581573725499456,-0.003669759254356432,0.1571629097256515,0.17183886294409673,0.07813371438404136,0.011025089891149512,0.00950569389326529,0.012554640148685875,0.009148214733555041,0.2876455891375994,0.23070966231412818,0.13035842015534418,0.02085924492067053,0.14404981058852032,0.05632878446210778
