,A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),"A|MomoRot US-sector §12 (N12/K5, headline)",A|MomoRot country-ETFs §17 (N12/K5),A|MomoRot crypto-sectors §17 (N12/K5),A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),A|ORB §10 same cell 2013-2017 (out-of-regime),A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),A|VRP naked SVXY §20 (thr 1.2),A|VRP naked SVXY §20 (thr 1.5),A|VRP §21-A fixed 10% sizing (thr 1.2),A|VRP §21-A fixed 20% sizing (thr 1.2),A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),B|ICT-SMC BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),B|ICT-SMC EURUSD in-regime 2018-2025,B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),B|ICT-SMC SPX500 in-regime 2018-2025,"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",B|ICT-SMC XAUUSD in-regime 2018-2025,"B|ICT-SMC XAUUSD out-of-regime 2017 (1yr, not a full regime test)",C|Bollinger BTCUSDT,C|Bollinger ETHUSDT,C|Bollinger EURUSD,C|Bollinger NAS100,C|Bollinger SPX500,C|Bollinger US30,C|Bollinger XAUUSD,C|Ichimoku BTCUSDT,C|Ichimoku ETHUSDT,C|Ichimoku EURUSD,C|Ichimoku NAS100,C|Ichimoku SPX500,C|Ichimoku US30,C|Ichimoku XAUUSD,C|MACD BTCUSDT,C|MACD ETHUSDT,C|MACD EURUSD,C|MACD NAS100,C|MACD SPX500,C|MACD US30,C|MACD XAUUSD,C|MACD-slow-n3 BTCUSDT,C|MACD-slow-n3 ETHUSDT,C|Pairs GLD-SLV N1.5,C|Pairs GLD-SLV N2.0,C|Pairs NAS100-US30 N1.5,C|Pairs NAS100-US30 N2.0,C|Turtle Sys1 BTCUSDT,C|Turtle Sys1 ETHUSDT,C|Turtle Sys1 EURUSD,C|Turtle Sys1 NAS100,C|Turtle Sys1 SPX500,C|Turtle Sys1 US30,C|Turtle Sys1 XAUUSD,C|Turtle Sys2 BTCUSDT,C|Turtle Sys2 ETHUSDT,C|Turtle Sys2 EURUSD,C|Turtle Sys2 NAS100,C|Turtle Sys2 SPX500,C|Turtle Sys2 US30,C|Turtle Sys2 XAUUSD,D|Credit-spread FILTERED 1pct (SPY),D|On-chain active-address surge H20 (BTCUSDT)
A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),1.0,0.9162765164269823,0.7150658102002756,0.17583069612105154,-0.0034415996748540186,-0.030527327840592967,-0.013858386811260604,-0.08025211449409966,0.38473328591455225,0.27071664651642896,0.3847332859145512,0.38473328591455264,0.41054369336379004,-0.2967814865285986,0.001935159551882638,0.062134358844062126,-0.026701403570188312,0.11958013891527958,0.3347197448030941,0.04537209923683655,-0.057921208931547695,0.02839137593897912,0.013134839937037278,-0.0075508228084253054,0.02689508458564202,0.056249142409724645,0.060877935389779425,-0.039562095264610554,0.005632306944076484,0.039987578698410395,0.027244232751774903,0.2499004836771711,0.241977964227781,0.14602187248679765,0.03417689601116991,-0.045542845710897555,-0.03631781532490965,-0.013271758827001011,-0.1879893807678394,-0.18990700642318487,-0.16946030939604254,-0.004454149276308882,0.08214077694996233,0.09768033329418191,-0.12803084815522722,-0.14493369172116555,-0.02817634229578977,-0.029586492574871837,0.035682354182615464,0.019204897613452586,0.02652842260969288,0.10903188030723782,0.11857724980350107,0.03532388326750667,0.018349661606372983,0.028692261353850477,0.042081667846560644,0.029161829188956004,0.29776965920630216,0.2846103424979091,0.14669487875818024,0.050844037651135945,0.2403311472365381,0.09565653254776278
"A|MomoRot US-sector §12 (N12/K5, headline)",0.9162765164269823,1.0,0.7885219140987478,0.2036071682637797,-0.009206133536729206,-0.03504515617777152,-0.04160818056281246,-0.08337224862845308,0.462619086149678,0.3161913404197384,0.4626190861496752,0.4626190861496762,0.48257467095100426,-0.35927760716741675,0.009804710731984289,0.05527751904558486,-0.03575395602830727,0.1466787155762164,0.35129562962772976,0.029537594180959678,-0.0877410486323771,0.0448705359609461,0.033003019602636,0.013713634128466169,0.055469209381148625,0.08265096652383279,0.07302009187276451,-0.01865176245613424,0.009383031112902777,0.042132446572758164,0.0008352312015557501,0.24583471000838905,0.25997574249400984,0.17832433821895577,0.008773366600865095,-0.044579948923797144,-0.04356435862444444,-0.015133032287315355,-0.2026102155022046,-0.22647240581985617,-0.19665371973481183,-0.019165770805496342,0.10317242496492711,0.11256434681765837,-0.0364769914834356,-0.056974161017777095,-0.007682377961262745,-0.007010253175406624,0.026157108868315012,0.00805285694027035,0.009078054134159666,0.09572292185097316,0.1206942640607437,0.04483920375169227,0.001207705269631136,0.026684371591858977,0.027542895939061594,0.016181041941837355,0.3039544244098749,0.31375840658583143,0.17332253270132966,0.02133824778934328,0.27598808337488645,0.11966779885014599
A|MomoRot country-ETFs §17 (N12/K5),0.7150658102002756,0.7885219140987478,1.0,0.1822702955800101,0.0002596700932423765,-0.007200925821202359,-0.06614872994644769,-0.0488843824619247,0.4406834583252084,0.3370172542748568,0.440683458325209,0.44068345832521016,0.49601698826696944,-0.32935628259887567,0.008706564005423429,0.10179767904082311,-0.02171688604773991,0.13150707891871008,0.22307672438577356,0.03738044558746873,0.045406849395409114,0.037571648771393025,0.019850292795534945,0.0011550158921548408,0.026640483223892265,0.03712144049008951,0.03688794763720696,-0.003096224364137691,-0.012386610085810308,0.033326054267896116,0.030623012445998826,0.24730210454998885,0.2968964719098785,0.1505375580963637,0.012773769220701843,-0.026998354267653814,-0.030953341661253634,-0.0044819719302563515,-0.17127032865531064,-0.16814502863060896,-0.13131399913005345,0.006999730907387181,0.10944026028408987,0.11806896612758429,-0.023620870192775194,-0.050400221596712036,-0.004869567777905224,-0.0056444709224114315,0.02384690488117591,0.00976848090105188,0.03403697950006702,0.11553763865966139,0.1483722689998682,0.08121952104301888,-0.007139665446791431,0.01127232413767292,0.024865719315925624,0.02627313985403681,0.3042065474959498,0.32126403167918394,0.19239574269562923,-0.002287485732714105,0.21677116539482447,0.09739960753293969
A|MomoRot crypto-sectors §17 (N12/K5),0.17583069612105154,0.2036071682637797,0.1822702955800101,1.0,-0.03300377011482957,,-0.07954130018183622,,0.21189388702355655,0.1764454963125803,0.21189388702355652,0.21189388702355702,0.1861723963101387,-0.20814979188975466,0.05772054145942839,0.022706781932801318,,0.05522194086579184,,0.04650681478847112,,-0.01367891991286734,-0.06235129398683922,-0.033283613270557656,-0.014401165027808431,-0.01145724318260782,-0.010675523514865814,0.030587843844954547,0.030280173347190253,0.3078263373967774,0.018322000831329083,0.10270427560715314,0.14203576762922449,0.06044495254123476,-0.009131014711448204,-0.15552636041181334,-0.1109991776622198,0.014956882864327515,-0.034593802090477195,-0.0644930425518026,-0.03602403794305334,-0.034219063402695676,0.24966252510093376,0.34793802529753115,-0.06815430934452654,-0.06613173523249681,-0.012390649789376124,-0.011948725608251649,0.1671345506420631,0.19160870578774017,0.06126744906676013,0.09451350835115652,0.07948765880368298,0.019961654210315705,-0.012575249951847759,0.22831351683397721,0.31116397626503395,0.08065591473293204,0.17166254163802727,0.1702703936067049,0.06835561552530577,-0.010330407878623958,0.04383011772877978,0.33951465575838774
A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),-0.0034415996748540186,-0.009206133536729206,0.0002596700932423765,-0.03300377011482957,1.0,,0.1730341152628297,,-0.009806078927558809,-0.007688306786607815,-0.009806078927558585,-0.009806078927558758,-0.02115746668196172,0.0024718394656015876,0.01080940812761411,-0.0093174299506635,,0.06988095422693046,,-0.0008745532774783556,,-0.0015512697991680593,-0.01667918235226314,0.02238977913452012,-0.004401132686381577,-0.029121383744506322,0.014380191278664451,-0.00878451670432481,-0.006810961949556509,-0.013247164269249947,-0.012519789113577488,0.01661839004610942,-0.0025931822959813083,-0.006632851626778826,-0.0026473242564183665,0.02347749428892398,0.03620569263546604,0.00041417141847176697,0.030010267856383804,0.010976579459368155,0.009604709052875523,0.0021205505547868477,0.004443833961176533,0.010643052693967063,-0.011965916429186927,0.003828041896888375,0.019380706477379873,0.009154079473542007,-0.01242180704512803,-0.00024272626693952565,-0.023435476660428813,0.025585509255227193,0.017572968583385102,-0.021338717245045543,-0.0021507659002903464,0.013316506348536412,0.013810214553931147,-0.026185186928208638,-0.005578112959841233,0.007022136272058509,-0.031935652340923486,-0.013486557852535597,-0.040999485240398856,-0.030745969918253936
A|ORB §10 same cell 2013-2017 (out-of-regime),-0.030527327840592967,-0.03504515617777152,-0.007200925821202359,,,1.0,,0.19075787913701434,-0.03793247538243845,-0.009255371010913454,-0.03793247538243818,-0.03793247538243836,-0.047576187959919275,0.023027927869753696,,,0.008836456272331714,,0.12846704398326092,,-0.0012278199781701451,,,-0.01683871398899967,0.03360741322877905,0.011349209634434632,0.022805075764802063,0.0670207115282645,,,0.017860527668775304,-0.04464945295439979,-0.03263105821163167,-0.004299259336965803,-0.08288923328100131,,,0.05298223986625848,-0.009125202749995566,-0.034936567733459295,0.027594918628335643,0.05274115988805033,,,-0.008650703038811184,-0.002974321173467207,0.0528488613513372,0.056657137157050286,,,0.015900104773290354,-0.028615922957660165,-0.03503790103257916,-0.019449075058124262,0.026817738261939256,,,-0.007308057761242757,-0.018007255319983206,0.004981405294779943,-0.0029116938380260686,-0.12462891378894435,-0.04079350095125038,
A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),-0.013858386811260604,-0.04160818056281246,-0.06614872994644769,-0.07954130018183622,0.1730341152628297,,1.0,,-0.061501190667824106,-0.06985257146079646,-0.0615011906678235,-0.061501190667823814,-0.07126349482176565,0.05676982405163397,0.012196772362336681,0.03932335121159443,,0.004136321383388745,,0.006079173457800591,,0.014834089325728142,0.00043324183835874506,-0.008285670924207757,0.07758923870221175,0.05999608741528101,0.03714485667844968,-0.10924798436127957,-0.029615937251689463,-0.058353802076347,0.009165252452838904,-0.07159809690337252,-0.05005712831770829,-0.04712483291154201,0.114844108268389,-0.01048879285319868,-0.01570298316488939,0.0036741407557489524,-0.06858787818692573,-0.04983917116933581,0.016080703151881155,0.1020825845991039,-0.050035168735969034,-0.038652882144498954,-0.026230183995230732,-0.01642236389445203,0.05455544480045841,0.03025749775757057,-0.045750587233528796,-0.004829418853463472,0.007072622537914007,-0.13445967576719078,-0.1072016298118227,-0.0685651422233058,0.10016539965011494,0.0038809688506050073,-0.008067345033742788,0.010902635614499107,-0.13538529539265112,-0.10218780490882455,-0.07903178066563378,0.09697832269446614,0.021285759759382163,-0.003609749785385725
A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),-0.08025211449409966,-0.08337224862845308,-0.0488843824619247,,,0.19075787913701434,,1.0,-0.024728472157463856,-0.04314216162282333,-0.024728472157463703,-0.024728472157463998,-0.023217725528338073,0.03695160188234059,,,0.03567440758268531,,0.010509299219819822,,0.028973863619321822,,,-0.04947903137819487,0.06263499562695513,0.003536419806977054,0.06130373842654974,0.007621324081429689,,,0.06924918525557723,-0.020021796005030866,-0.004658946060210423,-0.0674140596407834,-0.012222352890237443,,,0.01420545715037819,0.05999050514602274,-0.009786691153964225,0.05038402499651655,0.0774718145937785,,,0.009602698514928149,0.010066462064597848,0.030253668927304526,0.03569804599512854,,,0.06564454647131451,-0.1128114686286242,-0.00459272666217718,-0.09246729401197772,-0.010088466586490876,,,-0.01715705781482099,-0.12943563911446637,-0.008806100407330405,-0.09899750474575768,0.013793952249401262,-0.005072159536267912,
A|VRP naked SVXY §20 (thr 1.2),0.38473328591455225,0.462619086149678,0.4406834583252084,0.21189388702355655,-0.009806078927558809,-0.03793247538243845,-0.061501190667824106,-0.024728472157463856,1.0,0.8131834625500902,1.0,1.0,0.7760283576145203,0.0127832166823734,-0.003187766447852373,0.019230914983062064,-0.05450995587275907,0.06802117494227285,0.22616567489456685,0.01028260448992276,-0.04174603425550768,0.025509845527121065,-0.029005438266076863,0.018714027512916565,0.016496185669827846,0.056773566555718566,0.061305455721305156,0.007802783690560474,-0.018590907339883382,0.01523236694827716,0.00127675552585162,0.22999761175743305,0.16366649403646708,0.11384966007286453,-0.018058250497494703,-0.01535410699877865,-0.0018029051599148136,-0.00995005768251753,-0.14498707743258085,-0.1743808002142257,-0.17543083981301713,-0.03096225173659741,0.04475063299949428,0.07589669251109406,0.020903052283691794,0.013559256216713724,0.007548913877923891,0.006188636020949041,0.020877313258958186,0.032297861996647616,0.0010240481154799833,0.13106515525789925,0.1309811678646287,0.05159657748550948,-0.00016398097967544356,0.010686937304320724,0.01203082610816368,0.0199150694106653,0.30320469191984606,0.27057611832556927,0.1476438021007619,0.008394546369252557,0.26353456359438765,0.0709552602532402
A|VRP naked SVXY §20 (thr 1.5),0.27071664651642896,0.3161913404197384,0.3370172542748568,0.1764454963125803,-0.007688306786607815,-0.009255371010913454,-0.06985257146079646,-0.04314216162282333,0.8131834625500902,1.0,0.8131834625500914,0.8131834625500922,0.5899154992696912,0.19385007097175216,-0.0051401409742284085,0.012259411233779334,-0.049630163477918994,0.051488215436555955,0.2074619391309345,0.007050409522561671,-0.035265048198681766,-0.04312505904635343,-0.04943126082390055,0.011009997944727791,-0.009093568282745833,-0.010600921043123362,0.0076777579115393894,0.006991971916647947,-0.008979535079502906,0.018236114614342918,0.00912424772950142,0.19090416473952462,0.12748568589468284,0.060799655889451375,-0.014553357412362786,0.020337143589961915,0.022739703323727864,-0.006038465436964217,-0.10841059122419888,-0.08837457517396645,-0.10197921395935429,-0.03983566504566932,0.03773438628290962,0.05410727413753299,-0.0007375585299205728,-0.0005601455653378361,-0.007141968276670521,-0.014595363601106094,0.0221761530651302,0.03581573725499444,-0.0036697592543561697,0.15716290972565156,0.17183886294409717,0.0781337143840412,0.011025089891149364,0.009505693893265273,0.012554640148685833,0.009148214733555224,0.2876455891375996,0.23070966231412798,0.13035842015534388,0.0208592449206704,0.1440498105885182,0.05632878446210767
