,A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),"A|MomoRot US-sector §12 (N12/K5, headline)",A|MomoRot country-ETFs §17 (N12/K5),A|MomoRot crypto-sectors §17 (N12/K5),A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),A|ORB §10 same cell 2013-2017 (out-of-regime),A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),A|VRP naked SVXY §20 (thr 1.2),A|VRP naked SVXY §20 (thr 1.5),A|VRP §21-A fixed 10% sizing (thr 1.2),A|VRP §21-A fixed 20% sizing (thr 1.2),A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),B|ICT-SMC BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),B|ICT-SMC EURUSD in-regime 2018-2025,B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),B|ICT-SMC SPX500 in-regime 2018-2025,"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",B|ICT-SMC XAUUSD in-regime 2018-2025,"B|ICT-SMC XAUUSD out-of-regime 2017 (1yr, not a full regime test)",C|Bollinger BTCUSDT,C|Bollinger ETHUSDT,C|Bollinger EURUSD,C|Bollinger NAS100,C|Bollinger SPX500,C|Bollinger US30,C|Bollinger XAUUSD,C|Ichimoku BTCUSDT,C|Ichimoku ETHUSDT,C|Ichimoku EURUSD,C|Ichimoku NAS100,C|Ichimoku SPX500,C|Ichimoku US30,C|Ichimoku XAUUSD,C|MACD BTCUSDT,C|MACD ETHUSDT,C|MACD EURUSD,C|MACD NAS100,C|MACD SPX500,C|MACD US30,C|MACD XAUUSD,C|MACD-slow-n3 BTCUSDT,C|MACD-slow-n3 ETHUSDT,C|Pairs GLD-SLV N1.5,C|Pairs GLD-SLV N2.0,C|Pairs NAS100-US30 N1.5,C|Pairs NAS100-US30 N2.0,C|Turtle Sys1 BTCUSDT,C|Turtle Sys1 ETHUSDT,C|Turtle Sys1 EURUSD,C|Turtle Sys1 NAS100,C|Turtle Sys1 SPX500,C|Turtle Sys1 US30,C|Turtle Sys1 XAUUSD,C|Turtle Sys2 BTCUSDT,C|Turtle Sys2 ETHUSDT,C|Turtle Sys2 EURUSD,C|Turtle Sys2 NAS100,C|Turtle Sys2 SPX500,C|Turtle Sys2 US30,C|Turtle Sys2 XAUUSD,D|Credit-spread FILTERED 1pct (SPY),D|On-chain active-address surge H20 (BTCUSDT)
A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),9735,9735,6417,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,7427,7427,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,9662,3160
"A|MomoRot US-sector §12 (N12/K5, headline)",9735,9735,6417,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,7427,7427,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,9662,3160
A|MomoRot country-ETFs §17 (N12/K5),6417,6417,6417,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,6416,6416,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,6344,3160
A|MomoRot crypto-sectors §17 (N12/K5),2401,2401,2401,2404,2161,0,2139,0,2401,2401,2401,2401,2401,2401,2160,2160,0,2161,0,2161,0,2404,2404,2160,2161,2161,2161,2161,2404,2404,2160,2161,2161,2161,2161,2404,2404,2160,2161,2161,2161,2161,2404,2404,2400,2400,2161,2161,2404,2404,2160,2161,2161,2161,2161,2404,2404,2160,2161,2161,2161,2161,2328,2404
A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),2920,2920,2920,2161,2920,0,2830,0,2920,2920,2920,2920,2920,2920,2919,2919,0,2918,1,2920,0,2920,2920,2919,2920,2920,2920,2920,2920,2920,2919,2920,2920,2920,2920,2920,2920,2919,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2919,2920,2920,2920,2920,2920,2920,2919,2920,2920,2920,2920,2920,2920
A|ORB §10 same cell 2013-2017 (out-of-regime),1531,1531,1531,0,0,1531,0,1448,1531,1531,1531,1531,1531,1531,0,0,1531,0,358,0,361,0,0,1531,1531,361,1531,362,0,0,1531,1531,361,1531,362,0,0,1531,1531,361,1531,362,0,0,1531,1531,1531,1531,0,0,1531,1531,361,1531,362,0,0,1531,1531,361,1531,362,1531,0
A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),2830,2830,2830,2139,2830,0,2830,0,2830,2830,2830,2830,2830,2830,2830,2830,0,2830,0,2830,0,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),1448,1448,1448,0,0,1448,0,1448,1448,1448,1448,1448,1448,1448,0,0,1448,0,284,0,287,0,0,1448,1448,287,1448,288,0,0,1448,1448,287,1448,288,0,0,1448,1448,287,1448,288,0,0,1448,1448,1448,1448,0,0,1448,1448,287,1448,288,0,0,1448,1448,287,1448,288,1448,0
A|VRP naked SVXY §20 (thr 1.2),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
A|VRP naked SVXY §20 (thr 1.5),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
A|VRP §21-A fixed 10% sizing (thr 1.2),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
A|VRP §21-A fixed 20% sizing (thr 1.2),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
