multiplier,split,period,n,phase1_rate,funded_rate
6.0,halves,2017-2021 (H1),52,0.36538461538461536,0.28846153846153844
6.0,halves,2021-2025 (H2),54,0.2962962962962963,0.2222222222222222
6.0,thirds,2017-2020 (T1),39,0.358974358974359,0.3076923076923077
6.0,thirds,2020-2023 (T2),40,0.3,0.175
6.0,thirds,2023-2025 (T3),27,0.3333333333333333,0.2962962962962963
14.0,halves,2017-2021 (H1),52,0.4807692307692308,0.4230769230769231
14.0,halves,2021-2025 (H2),54,0.4074074074074074,0.24074074074074073
14.0,thirds,2017-2020 (T1),39,0.46153846153846156,0.4358974358974359
14.0,thirds,2020-2023 (T2),40,0.45,0.275
14.0,thirds,2023-2025 (T3),27,0.4074074074074074,0.25925925925925924
