timeframe,pivot_N,R,n_trades,guard,n_cands,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,win_rate,risk_med,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges,dsr,oos_holds,dsr_survives,ftmo_clears,SURVIVOR
M5,3,1.5,8381,PASS,11804,0.957573813835919,0.36621877257642177,-13.11049392913415,-1.0266648479112508,1.508645863200913,1.0,-0.025377911978003178,0.5960440854751476,-0.6214219974531507,0.36869108698246034,1.1289607142857676,3151,4982,248,1600,6293,2088,0.33108326313089276,0.4912057366133413,-15.914450895902895,-11.758490639821646,0.010526315789473684,95,0.0,False,False,False,False
M5,3,2.0,7736,PASS,11804,0.967080550976978,0.42328457084249116,-11.961551680705304,-0.8066680754325214,0.9655212582064046,1.0,-0.021519092664826007,0.5868447683816858,-0.6083638610465117,0.3213547052740434,1.1474000000002889,2360,5021,355,1600,5827,1909,0.392450525701456,0.5312402470771677,-14.43144971348149,-10.323564705755206,0.0,95,0.0,False,False,False,False
M5,5,1.5,7270,PASS,10534,0.9645248235098081,0.3555672312088469,-12.15316382561065,-1.277722354896243,2.960239279190514,1.0,-0.0211738609200651,0.6198172734318314,-0.6409911343518964,0.36492434662998624,1.102132142857272,2755,4313,202,1600,5482,1788,0.3235696532482429,0.4711099093508589,-14.820106756661115,-11.536560112130296,0.010526315789473684,95,0.0,False,False,False,False
M5,5,2.0,6699,PASS,10534,0.9584469618016985,0.4082767255375658,-11.289962365491105,-1.070000394870983,2.1138916192553205,1.0,-0.027270012247327495,0.6079425977127334,-0.635212609960061,0.31706224809673084,1.1212499999999181,2040,4366,293,1600,5062,1637,0.3810292704199656,0.5046566742704801,-13.754376077230408,-10.294189115425905,0.010526315789473684,95,0.0,False,False,False,False
M15,3,1.5,2813,PASS,3815,1.0355667352421143,0.6069327859061071,-5.033510678942329,-0.3896928586064711,2.3446967749005427,0.9998520832442416,0.020326189074118105,0.3215339202788644,-0.3012077312047463,0.406327763953075,2.1128214285715785,1087,1583,143,1599,2125,688,0.5670323356353044,0.7468688078315365,-6.911663743599085,-3.473359785855585,0.031578947368421054,95,0.0,False,False,False,False
M15,3,2.0,2614,PASS,3815,1.0277977653714432,0.6436401847132895,-4.24368192091551,-0.04653438576310774,2.2394593219548717,0.9997687538088676,0.017444299959960923,0.3166502238040032,-0.2992059238440423,0.34927314460596787,2.1204982142855897,798,1615,201,1599,1975,639,0.5890910887797008,0.8421142129561267,-6.039711506731558,-1.9330092400671701,0.06315789473684211,95,0.0,False,False,False,False
M15,5,1.5,2486,PASS,3468,1.0337785257483334,0.5940714813227893,-4.969605717849065,-0.31758838923593474,3.048993228011592,0.9997007027056735,0.019280746784034315,0.3338963732030417,-0.31461562641900737,0.40667739340305714,2.073985714285868,960,1399,127,1599,1870,616,0.5569431175710051,0.7216426572020944,-7.120719018311925,-4.01293360285975,0.042105263157894736,95,0.0,False,False,False,False
M15,5,2.0,2297,PASS,3468,1.0155814230666325,0.6277696645135772,-4.278541466811,0.013256122501791,3.1470622800336745,0.9995376413162306,0.00980236614253906,0.3262578791210026,-0.3164555129784636,0.3461036134087941,2.110453571428252,699,1424,174,1599,1731,566,0.5904086927794157,0.7588504174244847,-5.988545817734312,-3.2976657823949975,0.08421052631578947,95,0.0,False,False,False,False
M30,3,1.5,1494,PASS,1990,1.065794372088948,0.742129189141283,-2.2531268791141783,0.20492033120512057,2.280244340995589,0.9492257087112619,0.03696593967791011,0.21495674137003817,-0.17799080169212805,0.4210174029451138,3.1088357142856466,578,826,90,1599,1123,371,0.7071009238202653,0.8580183261650906,-3.470929332915847,-1.5783006846924301,0.010526315789473684,95,0.0,False,False,False,False
M30,3,2.0,1370,PASS,1990,1.0583351220705288,0.7652685197461275,-1.9689890438176758,0.43000841844621435,2.3020057502081865,0.9420536931726988,0.03581903287914778,0.21257499115497347,-0.17675595827582566,0.36423357664233574,3.1084214285714324,413,825,132,1599,1030,340,0.7197135181695768,0.9178453345247949,-3.039710514409671,-0.8488011688728504,0.05263157894736842,95,0.0,False,False,False,False
M30,5,1.5,1392,PASS,1882,1.0697326363224817,0.7290932201313036,-2.263763221978769,-0.04959628929570729,3.6570587013235594,0.9515929540356427,0.038948453939274395,0.22611088278250108,-0.18716242884322665,0.4224137931034483,2.9791982142857023,536,766,90,1599,1038,354,0.6826766931334328,0.880873801259834,-3.845768566534601,-1.3246386799705576,0.031578947368421054,95,0.0,False,False,False,False
M30,5,2.0,1285,PASS,1882,1.0490137014315917,0.7459181264326356,-2.092237633589025,0.17978740924492365,3.6761520137286965,0.9588536753224962,0.030162507795244247,0.2238651005048864,-0.19370259270964213,0.36342412451361866,3.0047892857139686,386,776,123,1599,958,327,0.6906202285687829,0.9294142081367579,-3.562063597054159,-0.7216038425117735,0.05263157894736842,95,0.0,False,False,False,False
