label,k_atr,R,H,n_trades,gross_pf,net_pf,sharpe,max_dd,win_rate
k_atr1.0_R3.0 [extension],1.0,3.0,48,188,1.51615494035038,1.4395706906245862,0.47976695508987405,0.11165622556512192,0.35106382978723405
k_atr1.5_R4.0 [extension],1.5,4.0,48,185,1.6124485707926555,1.5543506849139543,0.4249058303733429,0.11200363493938789,0.4
k_atr1.0_R4.0 [extension],1.0,4.0,48,188,1.770666646198534,1.6852671319961525,0.8297374530913326,0.10038582725713949,0.34574468085106386
k_atr1.5_R5.0 [extension],1.5,5.0,48,185,1.6935504993103552,1.6333661887069757,0.515467218018798,0.11200363493938813,0.4
k_atr1.0_R5.0 [extension],1.0,5.0,48,187,1.6363983061007736,1.5577008474333207,0.5124264291193896,0.11635056443529265,0.32085561497326204
k_atr1.0_R6.0 [extension],1.0,6.0,48,187,1.6866170452848686,1.6064556688409164,0.5023883243573491,0.12820122634188488,0.3155080213903743
k_atr0.75_R4.0 [extension],0.75,4.0,48,188,1.4488857858580704,1.359327516478625,0.32874567640483765,0.11985524924720801,0.2765957446808511
k_atr0.75_R3.0 [extension],0.75,3.0,48,188,1.3170749121333145,1.230897276286476,0.31322505746176255,0.14501789875843776,0.30851063829787234
k_atr1.25_R4.0 [extension],1.25,4.0,48,187,1.5518808015197,1.4877792291996816,0.4161582216088062,0.10991508033007692,0.36363636363636365
k_atr1.0_R4.0_H72 [H-extension],1.0,4.0,72,184,1.818054203460218,1.7322773029773337,0.8248036134394758,0.1098111551953041,0.33152173913043476
k_atr1.0_R4.0_H96 [H-extension],1.0,4.0,96,184,1.8293913033435667,1.7435334308537418,0.9068005018309603,0.10981115519530424,0.32065217391304346
k_atr1.0_R4.0_H144 [H-extension],1.0,4.0,144,182,1.8470016891494818,1.7619585614898903,0.9620175453667056,0.1098111551953043,0.31868131868131866
k_atr1.0_R4.0_H192 [H-extension],1.0,4.0,192,181,1.7975165006897442,1.7155169849064804,0.9628469012106977,0.10981115519530422,0.30939226519337015
k_atr1.0_R4.0_H240 [H-extension],1.0,4.0,240,181,1.7975165006897442,1.7155169849064804,0.9628469012106977,0.10981115519530422,0.30939226519337015
k_atr1.0_R4.0_H300 [H-extension],1.0,4.0,300,181,1.7975165006897442,1.7155169849064804,0.9628469012106977,0.10981115519530422,0.30939226519337015
k_atr1.0_R4.0_H400 [H-extension],1.0,4.0,400,181,1.7975165006897442,1.7155169849064804,0.9628469012106977,0.10981115519530422,0.30939226519337015
