year,start_equity,end_equity,year_return_pct
1999,1.0,1.0121261177775676,1.2126117777567558
2000,1.0121261177775676,1.2365759387989441,22.176072435935623
2001,1.2365759387989441,1.0996716695027222,-11.071238328411404
2002,1.0996716695027222,1.0567741618464386,-3.9009377840644177
2003,1.0567741618464386,1.304685215401548,23.459227383261272
2004,1.304685215401548,1.3707184305168612,5.061237326506363
2005,1.3707184305168612,1.515340073310583,10.550791437099804
2006,1.515340073310583,1.885936835868193,24.456342776441087
2007,1.885936835868193,2.55183482015306,35.308604806921885
2008,2.55183482015306,3.0162748367527925,18.200238233753517
2009,3.0162748367527925,3.343129132744245,10.836356555072136
2010,3.343129132744245,3.7727663152430138,12.85134870474165
2011,3.7727663152430138,4.430617552764858,17.436840306380596
2012,4.430617552764858,3.8032579324891698,-14.15964282189497
2013,3.8032579324891698,4.406432892266341,15.859428166167099
2014,4.406432892266341,4.636761502039982,5.22709900286662
2015,4.636761502039982,4.249144261184796,-8.359654484809075
2016,4.249144261184796,4.115284020518168,-3.1502870328366517
2017,4.115284020518168,4.463725483851781,8.467008877062622
2018,4.463725483851781,4.042394308636439,-9.439002840554888
2019,4.042394308636439,3.7301906356075896,-7.723236507676567
2020,3.7301906356075896,5.004022563468645,34.149244698148465
2021,5.004022563468645,5.648221037434649,12.873612494653974
2022,5.648221037434649,5.171869309937692,-8.433659453832387
2023,5.171869309937692,5.296370174185309,2.40727011427746
2024,5.296370174185309,5.337224332177321,0.7713614541358327
2025,5.337224332177321,6.721394865045727,25.934276821070632
2026,6.721394865045727,5.970446831019677,-11.172502867393153
