year,trading_days,partial_year,strat_return_pct,spy_return_pct,excess_pct,beat_spy,pct_year_risk_off,filter_state,strat_within_year_sharpe,cum_strat_growth,cum_spy_growth,cum_strat_vs_spy
2000,252,False,-7.423456974751364,-9.741512361670047,2.3180553869186826,True,30.952380952380953,risk-on majority,-0.2783979407849083,0.9257654302524864,0.9025848763832995,0.023180553869186826
2001,248,False,-10.985688145419893,-11.758554960215506,0.7728668147956141,True,100.0,risk-off majority,-0.38428841140749737,0.8240637271268435,0.7964539376311761,0.02760978949566739
2002,252,False,-9.887851160650607,-21.584599123509484,11.696747962858877,True,89.68253968253968,risk-off majority,-0.5103014116820573,0.7425815323196313,0.6245425479900805,0.11803898432955084
2003,252,False,29.38832812327279,28.181568943592072,1.2067591796807164,True,26.58730158730159,risk-on majority,2.053515170266795,0.9608138296205515,0.8005484367339716,0.16026539288657993
2004,252,False,14.392552503436873,10.697940473812606,3.694612029624267,True,13.88888888888889,risk-on majority,1.0378435113796032,1.0990994645089718,0.8861906319598092,0.2129088325491626
2005,252,False,19.272428695850063,4.828257467402186,14.444171228447878,True,5.952380952380952,risk-on majority,1.321326016302421,1.3109226251029333,0.9289781973228273,0.38194442778010607
2006,251,False,22.14789925401619,15.845208894979157,6.302690359037033,True,7.569721115537849,risk-on majority,1.2935917449858672,1.6012644474088353,1.076176733277441,0.5250877141313943
2007,251,False,15.939645921703494,5.1462513099936436,10.79339461170985,True,10.756972111553784,risk-on majority,0.8496188552129866,1.8565003305959258,1.1315594925115782,0.7249408380843476
2008,253,False,16.995044815267967,-36.79497712017664,53.79002193544461,True,98.02371541501977,risk-off majority,1.6476857844519899,2.1720133937763015,0.7152024361407561,1.4568109576355455
2009,252,False,9.656885670219806,26.351733301095436,-16.694847630875632,False,40.07936507936508,risk-on majority,0.8688907196062884,2.3817622439551402,0.9036706746755055,1.4780915692796346
2010,252,False,16.349214673445324,15.05614351427833,1.293071159166992,True,23.809523809523807,risk-on majority,0.9425854837288983,2.7711616662304346,1.039728628351097,1.7314330378793377
2011,252,False,1.3948395472690889,1.8950092012914421,-0.5001696540223532,False,36.507936507936506,risk-on majority,0.16698012324710823,2.809814925069778,1.0594315815268116,1.7503833435429663
2012,250,False,5.099581913771889,15.990312316068888,-10.890730402296999,False,1.2,risk-on majority,0.6598656067127947,2.9531037387990993,1.2288380001880168,1.7242657386110825
2013,252,False,33.02589779742016,32.30774938965118,0.7181484077689815,True,0.0,risk-on majority,2.4070541442029763,3.928392761426683,1.6258479016935625,2.3025448597331204
2014,252,False,11.329399451789701,13.463796230040948,-2.1343967782512463,False,1.984126984126984,risk-on majority,0.9687818667111886,4.373456069403904,1.8447487501879802,2.5287073192159237
2015,252,False,-6.428699564289575,1.2342837421801534,-7.662983306469728,False,21.428571428571427,risk-on majority,-0.46061602482805036,4.092299718125739,1.867518184095622,2.224781534030117
2016,252,False,-3.718004362461891,11.997932519048305,-15.715936881510196,False,19.047619047619047,risk-on majority,-0.3841284788741039,3.940147836080808,2.091581755604371,1.848566080476437
2017,251,False,19.112188070546576,21.705377320875343,-2.5931892503287646,False,0.0,risk-on majority,1.9657240757788403,4.693196300770143,2.5455674676328885,2.147628833137255
2018,251,False,-11.401578609509254,-4.568991210404693,-6.832587399104561,False,16.334661354581673,risk-on majority,-0.6335848929025872,4.158097835239255,2.4292607137818205,1.7288371214574347
2019,252,False,3.4847712385581486,31.22385230297644,-27.739081064418293,False,10.714285714285714,risk-on majority,0.45180205295990666,4.3029980326727815,3.1877694911072876,1.115228541565494
2020,253,False,19.476510529520084,18.33162792386167,1.144882605658415,True,23.3201581027668,risk-on majority,1.328978363825047,5.141071897591338,3.7721395332874543,1.368932364303884
2021,252,False,15.230431156189205,28.72878959387879,-13.498358437689584,False,0.0,risk-on majority,0.9484017975183169,5.924079313644177,4.8558295629931285,1.0682497506510487
2022,251,False,-18.91111668481139,-18.175360053974266,-0.7357566308371255,False,81.27490039840637,risk-off majority,-1.4521670362571448,4.803769762140153,3.9732650563118024,0.8305047058283503
2023,250,False,7.047413150675208,26.175767301142262,-19.128354150467054,False,6.4,risk-on majority,0.6358078174076173,5.142311264085377,5.013297671709579,0.1290135923757978
2024,252,False,17.235857588069557,24.886476304115448,-7.650618716045887,False,0.0,risk-on majority,1.3855077485363858,6.028632710298392,6.260930808834355,-0.2322980985359635
2025,250,False,18.170440058473105,17.719055511914572,0.4513845465585309,True,16.8,risk-on majority,1.7153701563302997,7.124061803268663,7.370308614414276,-0.2462468111456131
2026,165,True,10.559825201706484,13.678703150406712,-3.118877948700227,False,7.2727272727272725,risk-on majority,1.0209435553722597,7.876350276955373,8.37847125104886,-0.5021209740934864
