label,N,k_atr,R,H,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share
N24_k1.5_R1.0,24,1.5,1.0,48,425,PASS,1.1588110451633864,1.1011848427803834,0.3378143538249182,0.10516922693835457,0.5411764705882353,0.5239342317032674
N24_k1.5_R2.0,24,1.5,2.0,48,366,PASS,1.17271158020582,1.1276464723412774,0.19971814788499184,0.17850683761576544,0.39617486338797814,0.9989640802611275
N24_k1.5_R3.0,24,1.5,3.0,48,350,PASS,1.3348723636515627,1.2877387686555934,0.43821806927563045,0.21703639359525517,0.3628571428571429,0.510722324038527
N24_k2.5_R1.0,24,2.5,1.0,48,290,PASS,1.020039591955,0.98738654878512,-0.06053884817403876,0.16094241516021343,0.506896551724138,-3.7637990648434507
N24_k2.5_R2.0,24,2.5,2.0,48,265,PASS,1.1468634001556834,1.1151718924697465,-0.03212672846454756,0.21620690706534687,0.44528301886792454,-5.600336447906653
N24_k2.5_R3.0,24,2.5,3.0,48,256,PASS,1.125237456780992,1.0946915157873511,-0.2941260321719006,0.2727998712212834,0.4296875,-0.4994529418471334
N24_k4.0_R1.0,24,4.0,1.0,48,229,PASS,1.044496405283219,1.0193858831476599,-0.09497115110197527,0.13503304856982118,0.519650655021834,-1.9075471201967227
N24_k4.0_R2.0,24,4.0,2.0,48,217,PASS,1.080250470941171,1.0555248020392343,-0.17084571692897202,0.21432229291906982,0.5069124423963134,-1.7182354404172102
N24_k4.0_R3.0,24,4.0,3.0,48,217,PASS,1.0481333834943525,1.0244470514513895,-0.28445425622858495,0.26550476157520003,0.4930875576036866,-1.204805654255211
N48_k1.5_R1.0,48,1.5,1.0,96,315,PASS,1.1818607876023166,1.1268494184919622,0.3687715321568332,0.18899912688339568,0.5428571428571428,0.5662901015236506
N48_k1.5_R2.0,48,1.5,2.0,96,263,PASS,1.236484353961235,1.1931651580408316,0.375001100928828,0.17268701355708596,0.38783269961977185,0.4363106170964287
N48_k1.5_R3.0,48,1.5,3.0,96,249,PASS,1.5503809727315288,1.5021715875927364,0.8007282851646346,0.09191458110832056,0.357429718875502,0.29059991272002095
N48_k2.5_R1.0,48,2.5,1.0,96,221,PASS,1.1972423158552306,1.1632937491422812,0.42372055224066213,0.10126586426988254,0.5475113122171946,0.5125641632740227
N48_k2.5_R2.0,48,2.5,2.0,96,187,PASS,1.2478916934639157,1.2201357337691272,0.20340031235801734,0.1698847807780486,0.41711229946524064,0.7370467376194935
N48_k2.5_R3.0,48,2.5,3.0,96,178,PASS,1.0559585509025615,1.0335454497702958,-0.31723373831973867,0.24451528384297813,0.33146067415730335,-0.47912201855526965
N48_k4.0_R1.0,48,4.0,1.0,96,154,PASS,1.006455192634382,0.9874616665777168,-0.09650097594090613,0.15497286687373035,0.512987012987013,-1.833708570400581
N48_k4.0_R2.0,48,4.0,2.0,96,134,PASS,0.9897755050649918,0.9734702329831904,-0.3652833194089464,0.1785074907425896,0.417910447761194,-0.5766595984139198
N48_k4.0_R3.0,48,4.0,3.0,96,130,PASS,1.0397664151013668,1.022853570174926,-0.6828100334771812,0.27418320567505844,0.4153846153846154,-0.3428030045705551
N72_k1.5_R1.0,72,1.5,1.0,144,289,PASS,1.0153003735296058,0.9651659683251465,-0.17619245519895776,0.22972386834448422,0.5051903114186851,-1.569558439781679
N72_k1.5_R2.0,72,1.5,2.0,144,239,PASS,1.2841690196879842,1.2369907758125562,0.501861511535209,0.1447017225351453,0.39748953974895396,0.5205006703693038
N72_k1.5_R3.0,72,1.5,3.0,144,229,PASS,1.3293884265408364,1.2855138595183366,0.5291868366897432,0.1574828538046138,0.31877729257641924,0.40597479226306377
N72_k2.5_R1.0,72,2.5,1.0,144,188,PASS,1.0863287149971994,1.0535530252627041,0.08603046208621971,0.17529217055023538,0.5212765957446809,2.0337062895007074
N72_k2.5_R2.0,72,2.5,2.0,144,161,PASS,1.2577988366511494,1.2288154026561273,0.2905926033543356,0.27026572007165384,0.39751552795031053,0.7429956483481858
N72_k2.5_R3.0,72,2.5,3.0,144,147,PASS,1.1969761167656445,1.1708051371366752,0.10827490423131503,0.32354853673505396,0.3401360544217687,2.0929789009494417
N72_k4.0_R1.0,72,4.0,1.0,144,138,PASS,1.3847607536017252,1.3573951016910382,0.5496312746451002,0.06942157191332615,0.5869565217391305,0.41223170189344016
N72_k4.0_R2.0,72,4.0,2.0,144,118,PASS,1.2709181929916635,1.2493811182037957,0.2227372569233782,0.14041317633895367,0.4491525423728814,0.8462486530828192
N72_k4.0_R3.0,72,4.0,3.0,144,114,PASS,1.2042364563907129,1.1845807357805969,-0.17745353071431164,0.17004857852660027,0.40350877192982454,-1.0653011820050755
N96_k1.5_R1.0,96,1.5,1.0,192,227,PASS,1.1959995477158598,1.139727734201157,0.3418949394239387,0.1171240285049296,0.5462555066079295,0.5829497624827886
N96_k1.5_R2.0,96,1.5,2.0,192,192,PASS,1.3725988492567216,1.3234481764094939,0.583085568886889,0.11937600076424768,0.4114583333333333,0.5060809234581746
N96_k1.5_R3.0,96,1.5,3.0,192,169,PASS,1.5584180497375726,1.5093508176028947,0.7989824430609684,0.0901831678021585,0.34911242603550297,0.31887069156991793
N96_k2.5_R1.0,96,2.5,1.0,192,159,PASS,1.0378366723609433,1.0069615537951877,-0.002764543911965163,0.16172585301346062,0.5157232704402516,-8.306689261943966
N96_k2.5_R2.0,96,2.5,2.0,192,130,PASS,1.4252760906518809,1.3937312548178844,0.584815625744774,0.14607564813955579,0.4307692307692308,0.4930844296907124
N96_k2.5_R3.0,96,2.5,3.0,192,121,PASS,1.5167639932086117,1.485736319056943,0.4955144434363746,0.13509514337545556,0.371900826446281,0.50793933641781
N96_k4.0_R1.0,96,4.0,1.0,192,109,PASS,1.2624468453657067,1.2386450374184466,0.36777649042147026,0.07042866875976776,0.5688073394495413,0.6910485649103781
N96_k4.0_R2.0,96,4.0,2.0,192,92,PASS,1.2009936392100473,1.182005102478827,0.11314419268801187,0.11378633100611968,0.42391304347826086,1.5687359268722094
N96_k4.0_R3.0,96,4.0,3.0,192,89,PASS,1.1435355015471655,1.1266777377888797,-0.1378739033053669,0.11615969881912629,0.38202247191011235,-1.7807376441209144
