label,N,k_atr,R,H,is_repeat,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share
N96_k1.25_R3.5,96,1.25,3.5,192,False,184,PASS,1.5604062108361914,1.5052448004892418,0.7994350377620069,0.1283453260720282,0.31521739130434784,0.2890292149825049
N96_k1.25_R4.0,96,1.25,4.0,192,False,173,PASS,1.6869868152675445,1.62965389476045,0.872797078973828,0.17406033025639778,0.3063583815028902,0.3471218262993193
N96_k1.25_R4.5,96,1.25,4.5,192,False,170,PASS,1.8277723858163277,1.7673282270196968,0.9481535279349097,0.16208862353542397,0.3,0.41585397313527106
N96_k1.25_R5.0,96,1.25,5.0,192,False,170,PASS,1.9697298924897089,1.9048214418848382,1.0101309671960097,0.19038009253649987,0.3,0.4151932218236303
N96_k1.5_R3.5,96,1.5,3.5,192,False,161,PASS,1.7833723326360513,1.7301971755909942,0.9475315047736741,0.08772631236215636,0.34782608695652173,0.29485832360100794
N96_k1.5_R4.0 [repro],96,1.5,4.0,192,True,158,PASS,1.8505174802015585,1.7967034764689396,0.8934689487555657,0.0969657796190407,0.3291139240506329,0.30338229917683557
N96_k1.5_R4.5,96,1.5,4.5,192,False,147,PASS,1.8019453704541275,1.7508892518073622,0.8363621668164263,0.13778264956925582,0.30612244897959184,0.38518871831586216
N96_k1.5_R5.0,96,1.5,5.0,192,False,145,PASS,1.789527435902135,1.7396136236837294,0.7149243327935859,0.1472282347012513,0.2896551724137931,0.3769225868684001
N96_k1.75_R3.5,96,1.75,3.5,192,False,143,PASS,1.8570928387751648,1.8096676050133225,0.9696789599084974,0.11468819177548614,0.36363636363636365,0.27610752042806563
N96_k1.75_R4.0,96,1.75,4.0,192,False,140,PASS,1.8099054553024392,1.764988745836247,0.7863465942732831,0.15411002127521273,0.3357142857142857,0.38008559394710933
N96_k1.75_R4.5,96,1.75,4.5,192,False,136,PASS,1.6219695412103217,1.581918175992977,0.5602186748745426,0.17497635994521227,0.3014705882352941,0.393019215699155
N96_k1.75_R5.0,96,1.75,5.0,192,False,132,PASS,1.4074557765197968,1.3725616929714672,0.19112635138140247,0.2591225081839514,0.26515151515151514,1.0529080330276577
N96_k2.0_R3.5,96,2.0,3.5,192,False,143,PASS,1.340026905652361,1.3089860430744453,0.35496191548987,0.19222389599472167,0.3006993006993007,0.7807152856477256
N96_k2.0_R4.0,96,2.0,4.0,192,False,140,PASS,1.129439771519317,1.103518069377241,0.014587446284498467,0.25973898799447953,0.2571428571428571,-1091.937595887146
N96_k2.0_R4.5,96,2.0,4.5,192,False,136,PASS,1.080410561627077,1.0558433068559716,-0.17912670909330525,0.3266984728028169,0.2426470588235294,-1.110283185925869
N96_k2.0_R5.0,96,2.0,5.0,192,False,136,PASS,1.1583503350840954,1.132412500315103,-0.12377495274404944,0.334527515175067,0.2426470588235294,-2.0666990226576134
