variant,period,strategy_end,n_trades,bh_end,beats_bh
1R,FULL,168000.42794432276,465,331603.89707604144,False
1R,OUT-OF-REGIME,113065.5250108821,89,113176.59424759158,False
1R,RECENT,143056.60853338995,198,239439.83307028824,False
2R,FULL,156651.57939612475,465,331603.89707604144,False
2R,OUT-OF-REGIME,116592.49284581834,89,113176.59424759158,True
2R,RECENT,128196.05307336734,198,239439.83307028824,False
3R,FULL,156039.24821689655,465,331603.89707604144,False
3R,OUT-OF-REGIME,119733.43878903385,89,113176.59424759158,True
3R,RECENT,134856.0582021183,198,239439.83307028824,False
breakeven,FULL,160081.93877596312,465,331603.89707604144,False
breakeven,OUT-OF-REGIME,103839.49196956886,89,113176.59424759158,False
breakeven,RECENT,141662.41544091556,198,239439.83307028824,False
trailing,FULL,153903.68952850497,465,331603.89707604144,False
trailing,OUT-OF-REGIME,113461.77922932472,89,113176.59424759158,True
trailing,RECENT,131277.77730412068,198,239439.83307028824,False
