instrument,window,or_minutes,target,stop_mode,n_cands,n_trades,guard,or_entry_min,or_entry_legal_min,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,net_R_total,gross_R_total,win_rate,risk_med,risk_med_bps,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years
NAS100,in_regime,15,1R,or_range,1616,1616,PASS,585,585,834,782,1.1286027540971975,0.9531426434342652,-0.33216845194381667,-0.15003973500905657,-1.635176153214943,0.4820668343382453,0.05678872786566403,0.07919137284818437,-0.022402644982520335,-36.202674291752864,91.77058423091307,0.5247524752475248,64.92475000000013,45.791077694176415,773,688,155,2018,948,668,0.9278422421196317,0.989431949886889,-0.5771702303537412,-0.08254138873522653,8.71804787526295,,8,3
NAS100,in_regime,15,1R,moderate,1616,1616,PASS,585,585,834,782,1.094401899207367,0.8343625751765931,-1.271901589117256,-0.1597101707292904,-1.7252682809434314,0.7853545189761837,0.04477152522619034,0.13392711571516955,-0.08915559048897921,-144.0754342301904,72.35078476552358,0.5210396039603961,34.76133250000021,25.000000000000014,836,763,17,2018,948,668,0.8300721389439311,0.840447925657283,-1.4604374026014715,-1.3674885335224842,0.16169930841550828,,8,1
NAS100,in_regime,15,2R,or_range,1616,1616,PASS,585,585,834,782,1.1640594977742065,1.0135375287081567,0.08752088766353841,0.618302578406814,-1.0455255388485374,0.3099374006918061,0.08699409357529629,0.07919137284818437,0.007802720727111926,12.609196695012873,140.5824552176788,0.4146039603960396,64.92475000000013,45.791077694176415,376,816,424,2018,948,668,1.0178856117176622,1.0075587146610296,0.12835651430594344,0.05507182814312968,19.37593286365276,1.5366508535247323,8,4
NAS100,in_regime,15,2R,moderate,1616,1616,PASS,585,585,834,782,1.1186073358483606,0.9136833201510769,-0.615181423784447,0.6305063067640031,-1.2773681877882785,0.7234564002276341,0.07331703927992207,0.13392711571516955,-0.06061007643524747,-97.94588351935991,118.48033547635407,0.37066831683168316,34.76133250000021,25.000000000000014,526,990,100,2018,948,668,0.907762216320162,0.9222338576964855,-0.7380558467097534,-0.6149497577094188,40.040844496916144,,8,1
NAS100,in_regime,15,close,or_range,1616,1616,PASS,585,585,834,782,1.1639977320131996,1.0191252376355147,0.109910815651539,1.666821332759248,3.7669013691284214,0.37037135956552164,0.09070437495228865,0.07919137284818437,0.0115130021041043,18.60501140023255,146.57826992289847,0.3873762376237624,64.92475000000013,45.791077694176415,0,850,766,2018,948,668,1.0430305294219446,0.9868312021566102,0.27163459324297445,-0.08653752912195414,33.526440748365594,1.8020112983078604,8,4
NAS100,in_regime,15,close,moderate,1616,1616,PASS,585,585,834,782,1.2558543876115604,1.0588998483644316,0.2905622646247411,2.7781866791086194,9.728681360176296,0.37629225760041946,0.18140095853491292,0.13392711571516955,0.04747384281974336,76.71772999670527,293.14394899241927,0.27351485148514854,34.76133250000021,25.000000000000014,0,1134,482,2018,948,668,1.1056662863985753,0.9889717447712242,0.5526762645304427,-0.0669668620542178,66.63217686075537,0.8685368670790566,8,5
NAS100,in_regime,30,1R,or_range,1609,1609,PASS,600,600,855,754,1.163655938971412,1.013973401378088,0.09217410760945995,-0.15798147792735012,-1.4405713161843077,0.30574402904279935,0.06320760957750533,0.05744399395119999,0.005763615626305345,9.2736575427253,101.70104381020607,0.5282784338098198,83.50400000000081,60.064713524859016,634,553,422,2018,944,665,0.9938389709085014,1.0430917924261143,-0.045852552137796154,0.3147349332264085,17.855820716818858,1.9254345585389687,8,4
NAS100,in_regime,30,1R,moderate,1609,1609,PASS,600,600,855,754,1.0858094141681132,0.8418358289178272,-1.2033149273615489,-0.1503740171929251,-1.7071458836140356,0.7705693349716282,0.040504156866076904,0.12458010657122465,-0.08407594970514777,-135.27820307558275,65.17118839751774,0.5183343691733996,34.809862500000236,25.00000000000001,818,755,36,2018,944,665,0.814229114449148,0.8821912139299144,-1.606441759766132,-0.9839281066408015,-1.6410742915786882,,8,0
NAS100,in_regime,30,2R,or_range,1609,1609,PASS,600,600,855,754,1.1735872626821535,1.038563724867746,0.23439174354996253,0.5834624372544931,-0.6487079187797438,0.33465128858876825,0.07539211177872138,0.05744399395119999,0.017948117827521367,28.87852158448188,121.30590785196269,0.4605344934742076,83.50400000000081,60.064713524859016,204,617,788,2018,944,665,0.9860283655343379,1.1139340382595266,-0.09767070484301187,0.7479442455463452,21.3347164553933,0.7387745384742166,8,4
NAS100,in_regime,30,2R,moderate,1609,1609,PASS,600,600,855,754,1.1459356825811864,0.9464028504476804,-0.37196222632632175,0.6193500617302715,-1.2662642391007268,0.6084426211301365,0.08810498139766816,0.12458010657122465,-0.0364751251735565,-58.688476404252405,141.76091506884808,0.3772529521441889,34.809862500000236,25.00000000000001,518,960,131,2018,944,665,0.9114798110469636,0.9981514319557526,-0.7022483097510537,-0.013945258623042732,40.108159459517914,,8,1
NAS100,in_regime,30,close,or_range,1609,1609,PASS,600,600,855,754,1.1720504188687675,1.039220399930984,0.22033058816887385,1.568416966004618,5.550520584163239,0.40445340043542066,0.07603198450025281,0.05744399395119999,0.018587990549052802,29.90807679342596,122.33546306090676,0.45059042883778744,83.50400000000081,60.064713524859016,0,628,981,2018,944,665,0.9868576380194677,1.1129186442592698,-0.0864975256225975,0.6711042344890243,23.546178012962862,0.7872849255936951,8,5
NAS100,in_regime,30,close,moderate,1609,1609,PASS,600,600,855,754,1.23861447985103,1.0509249273620267,0.2532257411838929,2.7957536429682635,10.10545208119546,0.57051629892225,0.1641298326760094,0.12458010657122465,0.039549726104784744,63.63550930259865,264.0849007756991,0.2858918582970789,34.809862500000236,25.00000000000001,0,1091,518,2018,944,665,1.0541823368187,1.0460397340303123,0.29355802537861775,0.2687084645586178,76.14051060769081,1.1965098015579405,8,5
US30,in_regime,15,1R,or_range,1540,1540,PASS,585,585,766,774,1.125769302158612,0.9072105233830887,-0.6687066099378074,-0.16089153559739938,-1.6078208513044223,0.609937070747866,0.05476304160158801,0.09944229483216047,-0.04467925323057247,-68.8060499750816,84.33508406644553,0.5201298701298701,109.51274999999623,32.08860688059736,725,641,174,1922,823,717,0.9659720538983311,0.8436305671470725,-0.26612669252079885,-1.3013644717750628,12.736426955148367,,8,2
US30,in_regime,15,1R,moderate,1540,1540,PASS,585,585,766,774,1.1227890292422817,0.8787049296280434,-0.9010198882023889,-0.1678640044804553,-1.6816323035623217,0.6883408528094275,0.055927073002176336,0.11795151383483321,-0.06202444083265688,-95.51763888229159,86.12769242335156,0.5240259740259741,84.31373125000027,25.0,775,688,77,1922,823,717,0.9083797604951881,0.8466379336913055,-0.7449798874074317,-1.3022499341690805,15.422801804463628,,8,1
US30,in_regime,15,2R,or_range,1540,1540,PASS,585,585,766,774,1.1393313106162208,0.955805612254412,-0.29286225831224166,0.6311166072448888,-1.0024002526572469,0.5664873911998993,0.0735545053952637,0.09944229483216047,-0.025887789436896763,-39.86719573282102,113.2739383087061,0.4090909090909091,109.51274999999623,32.08860688059736,358,771,411,1922,823,717,0.9916942139762326,0.9151847391640376,-0.06048622410463052,-0.639714357351837,26.09309976643708,,8,4
US30,in_regime,15,2R,moderate,1540,1540,PASS,585,585,766,774,1.1343178118345427,0.9355437429119288,-0.4420422059961133,0.6313318766368692,-1.1492131109698631,0.6263533819443491,0.07660143632714975,0.11795151383483321,-0.04135007750768347,-63.67911936183254,117.9662119438106,0.39025974025974025,84.31373125000027,25.0,426,858,256,1922,823,717,0.9484298408000239,0.9211553274524481,-0.39099114292273446,-0.6109063286822952,17.00804414216026,,8,2
