instrument,or_minutes,target,n_cands,n_trades,guard,or_entry_min,or_entry_legal_min,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,net_R_total,gross_R_total,win_rate,risk_med,risk_med_bps,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,dsr,dsr_cumulative_pool,oos_holds,gross_edge,not_concentrated,beats_bh,SURVIVOR
NAS100,15,1R,1616,1616,PASS,585,585,834,782,1.1286027540971975,0.9531426434342652,-0.33216845194381667,-0.15003973500905657,-1.635176153214943,0.4820668343382453,0.05678872786566403,0.07919137284818437,-0.022402644982520335,-36.202674291752864,91.77058423091307,0.5247524752475248,64.92475000000013,45.791077694176415,773,688,155,2018,948,668,0.9278422421196317,0.989431949886889,-0.5771702303537412,-0.08254138873522653,8.71804787526295,,8,3,0.028286894846670015,2.8206834931061828e-96,False,True,False,False,False
NAS100,15,2R,1616,1616,PASS,585,585,834,782,1.1640594977742065,1.0135375287081567,0.08752088766353841,0.618302578406814,-1.0455255388485374,0.3099374006918061,0.08699409357529629,0.07919137284818437,0.007802720727111926,12.609196695012873,140.5824552176788,0.4146039603960396,64.92475000000013,45.791077694176415,376,816,424,2018,948,668,1.0178856117176622,1.0075587146610296,0.12835651430594344,0.05507182814312968,19.37593286365276,1.5366508535247323,8,4,0.23662421421431534,7.616556291320932e-86,True,True,False,False,False
NAS100,15,close,1616,1616,PASS,585,585,834,782,1.1639977320131996,1.0191252376355147,0.109910815651539,1.666821332759248,3.7669013691284214,0.37037135956552164,0.09070437495228865,0.07919137284818437,0.0115130021041043,18.60501140023255,146.57826992289847,0.3873762376237624,64.92475000000013,45.791077694176415,0,850,766,2018,948,668,1.0430305294219446,0.9868312021566102,0.27163459324297445,-0.08653752912195414,33.526440748365594,1.8020112983078604,8,4,0.2557837400641322,5.548214261649804e-86,False,True,False,False,False
NAS100,30,1R,1609,1609,PASS,600,600,855,754,1.163655938971412,1.013973401378088,0.09217410760945995,-0.15798147792735012,-1.4405713161843077,0.30574402904279935,0.06320760957750533,0.05744399395119999,0.005763615626305345,9.2736575427253,101.70104381020607,0.5282784338098198,83.50400000000081,60.064713524859016,634,553,422,2018,944,665,0.9938389709085014,1.0430917924261143,-0.045852552137796154,0.3147349332264085,17.855820716818858,1.9254345585389687,8,4,0.2411864414584795,2.2652505590942403e-85,False,True,False,False,False
NAS100,30,2R,1609,1609,PASS,600,600,855,754,1.1735872626821535,1.038563724867746,0.23439174354996253,0.5834624372544931,-0.6487079187797438,0.33465128858876825,0.07539211177872138,0.05744399395119999,0.017948117827521367,28.87852158448188,121.30590785196269,0.4605344934742076,83.50400000000081,60.064713524859016,204,617,788,2018,944,665,0.9860283655343379,1.1139340382595266,-0.09767070484301187,0.7479442455463452,21.3347164553933,0.7387745384742166,8,4,0.3814577974404343,9.593399544057656e-83,False,True,False,False,False
NAS100,30,close,1609,1609,PASS,600,600,855,754,1.1720504188687675,1.039220399930984,0.22033058816887385,1.568416966004618,5.550520584163239,0.40445340043542066,0.07603198450025281,0.05744399395119999,0.018587990549052802,29.90807679342596,122.33546306090676,0.45059042883778744,83.50400000000081,60.064713524859016,0,628,981,2018,944,665,0.9868576380194677,1.1129186442592698,-0.0864975256225975,0.6711042344890243,23.546178012962862,0.7872849255936951,8,5,0.36547803893547537,3.834390524604087e-84,False,True,False,False,False
US30,15,1R,1540,1540,PASS,585,585,766,774,1.125769302158612,0.9072105233830887,-0.6687066099378074,-0.16089153559739938,-1.6078208513044223,0.609937070747866,0.05476304160158801,0.09944229483216047,-0.04467925323057247,-68.8060499750816,84.33508406644553,0.5201298701298701,109.51274999999623,32.08860688059736,725,641,174,1922,823,717,0.9659720538983311,0.8436305671470725,-0.26612669252079885,-1.3013644717750628,12.736426955148367,,8,2,0.0025832373285704976,1.479817312606361e-100,False,True,False,False,False
US30,15,2R,1540,1540,PASS,585,585,766,774,1.1393313106162208,0.955805612254412,-0.29286225831224166,0.6311166072448888,-1.0024002526572469,0.5664873911998993,0.0735545053952637,0.09944229483216047,-0.025887789436896763,-39.86719573282102,113.2739383087061,0.4090909090909091,109.51274999999623,32.08860688059736,358,771,411,1922,823,717,0.9916942139762326,0.9151847391640376,-0.06048622410463052,-0.639714357351837,26.09309976643708,,8,4,0.04101029247262389,1.517824137669718e-89,False,True,False,False,False
US30,15,close,1540,1540,PASS,585,585,766,774,1.1416117714550647,0.9646568172718346,-0.201307834063031,2.039621987666499,6.503292732474756,0.5637636266640642,0.0778404752064112,0.09944229483216047,-0.02160181962574926,-33.26680222365386,119.87433181787324,0.37922077922077924,109.51274999999623,32.08860688059736,0,800,740,1922,823,717,1.027526675598208,0.8918614441170218,0.1691288838297181,-0.71926247714401,20.79742396123004,,8,4,0.06981471719865587,3.6404659416413834e-86,False,True,False,False,False
US30,30,1R,1530,1530,PASS,600,600,789,741,1.1004409749978004,0.9243215457717998,-0.5228628598118906,-0.1310272351514066,-1.4511412194606141,0.5729421294835494,0.04013953403039798,0.07297950673888332,-0.03283997270848535,-50.24515824398258,61.41348706650891,0.5143790849673202,138.81799999999748,40.274882751754475,602,546,382,1922,820,710,1.009808115028573,0.8322330356004015,0.07302744834366759,-1.3599598749291086,12.54645113110032,,8,3,0.008437388437278317,1.2732966922697503e-96,False,True,False,False,False
US30,30,2R,1530,1530,PASS,600,600,789,741,1.1080822723960155,0.9518205596085187,-0.3049888016300345,0.6585712886667147,-0.5898473284126666,0.5306645799486588,0.04911607898126786,0.07297950673888332,-0.023863427757615453,-36.51104446915164,75.14760084133982,0.4372549019607843,138.81799999999748,40.274882751754475,229,615,686,1922,820,710,1.0057373625389772,0.8895705648672699,0.03977524455658334,-0.8058271727435794,18.653215484733078,,8,3,0.03824273545879978,9.59170853738131e-90,False,True,False,False,False
US30,30,close,1530,1530,PASS,600,600,789,741,1.108285194373624,0.9541919655041746,-0.26252632583094304,1.7817848335309456,6.008792427034662,0.5760111593670458,0.04993616908405343,0.07297950673888332,-0.02304333765482988,-35.25630661188971,76.40233869860175,0.42745098039215684,138.81799999999748,40.274882751754475,0,625,905,1922,820,710,1.005808560422243,0.8940610068336661,0.03688051467243819,-0.6899113094558345,21.157579036140216,,8,3,0.05039607447793302,2.7776813483296725e-87,False,True,False,False,False
