instrument,window,real_oos,stub,mode,thr,label,bh_sharpe,bh_max_dd,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,cost_R_mean,net_R_total,win_rate,risk_med_bps,n_obs,is_pf,oos_pf,is_sharpe,oos_sharpe,oos_trades,top_year_share,repro,dsr_batch,dsr_cum,oos_regime_holds,not_conc,beats_bh,thin,is_oos_split_holds,SURVIVOR
EURUSD,out,True,,elevated,1.5,elevated > 1.5,-0.15774826169787384,0.25404181084612565,14,PASS,2.5998766036210514,1.665877329806277,3.0221148881723794,-0.8153155145834385,-0.15904317914131294,0.023235174211954614,0.20453776643750834,2.674768515419154,0.6428571428571429,11.764177481004273,21.0,1.665877329806277,,3.690034965414013,,0.0,1.0,,0.5542918593483699,0.39312765317022347,,False,True,True,False,False
XAUUSD,out,False,"2017-only, ONE bull year -- NOT a real regime test",baseline,,baseline (no filter),1.1943842661481587,0.07820753412700172,89,PASS,2.2425473690383595,1.4632211311430066,1.5830739775235434,-0.5548673902463338,1.722275292340873,0.04527800206897861,0.1694121706675287,12.576333145629961,0.6179775280898876,21.333927387026023,270.0,1.418837418872684,1.537156868995923,2.5458093983761674,3.0987824258937104,35.0,1.0,no-ref,0.17616255655724156,0.006872881787579651,,False,True,False,True,False
SPX500,out,False,"2017-only, ONE bull year -- NOT a real regime test",elevated,1.2,elevated > 1.2,2.831066428010802,0.027371066661656483,2,PASS,2.5418060200664785,1.5177804090588152,1.5032160105033205,1.1091530112859005,4.122459961943166,0.004838892425439245,0.17801528871240152,0.25054836994355434,0.5,19.078072588013164,8.0,,1.5177804090588152,,2.3084104777103605,2.0,1.0,,0.4253541872133815,0.3177594079142083,,False,False,True,False,False
XAUUSD,in,True,,baseline,,baseline (no filter),1.1939063464653195,0.2038764411892057,465,PASS,1.7800878218880358,1.33565242629673,1.144378169763336,-0.39888670910886476,1.735754721918279,0.09963256294227875,0.11743386682289883,53.61846647579362,0.6021505376344086,30.639493230710023,1599.0,1.299998253317311,1.447280289373558,1.9409693107229902,2.6904691682274056,123.0,0.35848805700309533,OK,0.00035712873339541483,3.6942554513251564e-13,,True,False,False,True,False
NAS100,in,True,,baseline,,baseline (no filter),0.842374800132381,0.3567068346922749,685,PASS,1.3911710910555353,1.2185686278938022,0.8500550230678902,-0.19912453992443613,0.7449184637369126,0.12162352462937265,0.054696479198642435,55.31606195331538,0.564963503649635,63.175256079809145,2017.0,1.2018431635994384,1.245420620605724,1.3554783102859387,1.6284749322867713,266.0,0.34382258537822363,OK,1.525551271142954e-06,1.5430588979879048e-19,,True,True,False,True,False
NAS100,in,True,,suppressed,0.8,suppressed < 0.8,0.842374800132381,0.3567068346922749,108,PASS,1.7419865346235255,1.4591858652163368,0.6869028864709299,-0.007475718434908147,17.892086697450974,0.0685697745289545,0.07102140481202678,16.280569564898162,0.5925925925925926,46.08858139631048,1731.0,1.679166173580435,1.1857934915763233,3.786076607776686,1.2511809610148408,42.0,0.6602307992975243,,9.884521147698258e-07,1.1295781432722999e-18,False,False,False,False,True,False
US30,in,True,,baseline,,baseline (no filter),0.5467350671711283,0.3698627922971112,602,PASS,1.3955511478000546,1.1771733214130662,0.6807647132325234,-0.2586998333206171,1.0272052675043764,0.13646473573740003,0.07139509559362359,40.700017342884706,0.5697674418604651,41.23512148591902,1918.0,1.2679712951591373,1.0677494698089451,1.7882606869963893,0.48258474615966496,269.0,0.3920514589970599,OK,2.6400646756459546e-07,1.6678659324552968e-20,,True,True,False,True,False
XAUUSD,in,True,,suppressed,0.8,suppressed < 0.8,1.1939063464653195,0.2038764411892057,41,PASS,2.0336771775018025,1.5423816094760034,0.5564295571121135,-0.31748297232314643,38.28562722474341,0.024606037473006315,0.12352912803223894,7.9108780053321635,0.6585365853658537,29.363484066433795,1422.0,1.6659283458033747,1.3063581888111029,3.8719113952074573,1.987702088315873,13.0,0.7197552844987734,,2.2429130626168872e-06,1.451471714545607e-16,,False,False,False,False,False
SPX500,out,False,"2017-only, ONE bull year -- NOT a real regime test",suppressed,0.8,suppressed < 0.8,2.831066428010802,0.027371066661656483,5,PASS,2.252865235147019,1.112818201611062,0.5397787238521458,-1.2437561583259666,2.3179669661671625,0.019748151354085024,0.28896758107027265,0.22352451899745795,0.6,12.086317428155608,9.0,,1.112818201611062,,0.6873838831714343,5.0,1.0,,0.3577342852858119,0.2587011444411854,,False,False,True,False,False
XAUUSD,in,True,,elevated,1.2,elevated > 1.2,1.1939063464653195,0.2038764411892057,110,PASS,1.5609336290855602,1.2396308797055353,0.4427920165409371,-0.43888580908746044,13.43718351871671,0.07669111064865582,0.09517010042703576,9.691211369251938,0.5909090909090909,40.29004156593262,1391.0,1.1399588664253326,1.3834318341031786,0.9572129609732178,2.367623210375353,49.0,0.7650621123345774,,7.156064304832657e-07,2.5263097328615272e-17,,False,False,False,True,False
SPX500,in,True,,baseline,,baseline (no filter),0.642071074203633,0.3503929247450668,747,PASS,1.3826275491369455,1.109019668688184,0.4351387316452985,-0.35891892196076985,0.9370937876446961,0.1875419486583279,0.09731771527884783,33.71692629949697,0.5609103078982597,38.26034170191388,2414.0,1.08781546128049,1.1472576598825461,0.6330648127030902,1.0472503794444856,265.0,0.6211578455659947,no-ref,8.333010442392861e-11,6.503668793032183e-29,,False,False,False,True,False
US30,in,True,,suppressed,0.8,suppressed < 0.8,0.5467350671711283,0.3698627922971112,142,PASS,1.4920282467705885,1.208613673923082,0.4033914579803496,-0.4303179426406689,12.60871476103457,0.0637752286929146,0.08696230602786692,11.027003454099773,0.5774647887323944,32.19083210535795,1721.0,1.3542399500084428,1.022189329164266,2.2736469379609843,0.15897222839526665,59.0,0.5417294369747067,,2.2568926970109023e-08,1.8903722019023643e-21,False,True,False,False,True,False
