instrument,horizon,feature_set,n_features,best_iter,test_ic,n_trades,net_sharpe,net_pf,max_dd,net_ret_total,win_rate,top_year_share,bh_sharpe,bh_ret_total,bh_max_dd
BTCUSDT,4h,positioning,14,51,0.010392667688893189,1010,-5.129540498394822,0.5387544644926104,0.859252085786042,-1.9126713253615324,0.3603960396039604,,0.10320989809981435,-0.06536557833644807,0.5312828072300244
BTCUSDT,4h,price_ctrl,7,28,-0.017119877966014833,669,-4.329850559701442,0.5645193074366098,0.7826073847306555,-1.3750999180948977,0.3721973094170404,,0.10320989809981435,-0.06536557833644807,0.5312828072300244
BTCUSDT,4h,both,21,26,0.005809920097912327,1099,-6.190843714086303,0.5047400222247587,0.9120802491469379,-2.33263984475688,0.3321201091901729,,0.10320989809981435,-0.06536557833644807,0.5312828072300244
BTCUSDT,24h,positioning,14,3,-0.011937679053490252,261,-0.8608976411994346,0.8366208868841885,0.48036894546503167,-0.3702273747563449,0.47509578544061304,,0.12998228535200532,-0.049919776435977004,0.5312828072300246
BTCUSDT,24h,price_ctrl,7,13,-0.03295164138072912,145,-1.1945813822707123,0.7266905034547636,0.523342072251465,-0.4173767236499468,0.4689655172413793,,0.12998228535200532,-0.049919776435977004,0.5312828072300246
BTCUSDT,24h,both,21,1,-0.012073871232414999,68,-0.5269591950828899,0.8151918854866023,0.25033381648290604,-0.09707239020906162,0.4264705882352941,,0.12998228535200532,-0.049919776435977004,0.5312828072300246
ETHUSDT,4h,positioning,14,14,-0.02485738070418801,955,-3.5972393407150367,0.65763207007627,0.9122997594334162,-1.9535111146511464,0.38010471204188484,,0.6729785861416357,0.37918905697959726,0.6764057973423998
ETHUSDT,4h,price_ctrl,7,1,-0.014225516651343124,778,-3.9321193577290385,0.5966644060024234,0.9066671114260363,-2.066039397980721,0.39588688946015427,,0.6729785861416357,0.37918905697959726,0.6764057973423998
ETHUSDT,4h,both,21,21,-0.006098866308718714,1113,-4.241149212413187,0.6347233771947468,0.9435833040749669,-2.6917059365753446,0.4079065588499551,,0.6729785861416357,0.37918905697959726,0.6764057973423998
ETHUSDT,24h,positioning,14,2,-0.00771392234857154,353,-0.3509991442853752,0.9368578145362587,0.6684342043689562,-0.29075442878547364,0.47592067988668557,,0.6625698163272459,0.36518908424256225,0.6764057973423998
ETHUSDT,24h,price_ctrl,7,59,0.04406861479814559,221,-0.2775331126135924,0.9424873739826263,0.7248680014755015,-0.196633360575312,0.4343891402714932,,0.6625698163272459,0.36518908424256225,0.6764057973423998
ETHUSDT,24h,both,21,13,-0.008741721784001897,343,0.5240322603968087,1.1008908939831619,0.5904717349677081,0.4042868217596163,0.49854227405247814,2.0172178115898394,0.6625698163272459,0.36518908424256225,0.6764057973423998
