instrument,horizon,rank,feature,gain_share,kind
BTCUSDT,4h,1,funding_x_oi_signed,0.1343503947709449,positioning
BTCUSDT,4h,2,ctrl_hilo_24h,0.09032425903895461,price_ctrl
BTCUSDT,4h,3,ctrl_vol_24h,0.07715825176721887,price_ctrl
BTCUSDT,4h,4,oi_pctl,0.07439745667290695,positioning
BTCUSDT,4h,5,ctrl_dist_ma168,0.06982516474610127,price_ctrl
BTCUSDT,4h,6,oi_accel,0.06468271019587633,positioning
BTCUSDT,4h,7,ctrl_ret_7d,0.06296612316433213,price_ctrl
BTCUSDT,4h,8,funding_roc_24h,0.054286646464230585,positioning
BTCUSDT,4h,9,funding_pctl,0.04897037588649614,positioning
BTCUSDT,4h,10,funding_x_oi,0.04684851167314497,positioning
BTCUSDT,4h,11,funding_dev_90d,0.04670939762583397,positioning
BTCUSDT,4h,12,ctrl_ret_1h,0.04563391146799479,price_ctrl
BTCUSDT,4h,13,funding_roc_8h,0.035927629053895516,positioning
BTCUSDT,4h,14,oi_roc_24h,0.027926470010992358,positioning
BTCUSDT,4h,15,funding_extremity,0.027232467715392186,positioning
BTCUSDT,4h,16,oi_roc_7d,0.023977560488256708,positioning
BTCUSDT,4h,17,ctrl_ret_24h,0.023548845680930287,price_ctrl
BTCUSDT,4h,18,ctrl_rsi_14,0.018903825599789162,price_ctrl
BTCUSDT,4h,19,funding_rate,0.014881051767525442,positioning
BTCUSDT,4h,20,positioning_skew,0.008797347860963497,positioning
BTCUSDT,4h,21,oi_roc_1h,0.0026515983482193442,positioning
BTCUSDT,24h,1,funding_dev_90d,0.23595408488163366,positioning
BTCUSDT,24h,2,funding_rate,0.1996852296985551,positioning
BTCUSDT,24h,3,funding_extremity,0.1863114018217275,positioning
BTCUSDT,24h,4,funding_x_oi_signed,0.13334243030546816,positioning
BTCUSDT,24h,5,ctrl_dist_ma168,0.08872065935545523,price_ctrl
BTCUSDT,24h,6,ctrl_vol_24h,0.06159427574746725,price_ctrl
BTCUSDT,24h,7,oi_accel,0.04303672335630951,positioning
BTCUSDT,24h,8,ctrl_ret_24h,0.0365366614893662,price_ctrl
BTCUSDT,24h,9,ctrl_ret_7d,0.014818533344017398,price_ctrl
BTCUSDT,24h,10,funding_roc_24h,0.0,positioning
BTCUSDT,24h,11,funding_roc_8h,0.0,positioning
BTCUSDT,24h,12,funding_pctl,0.0,positioning
BTCUSDT,24h,13,oi_pctl,0.0,positioning
BTCUSDT,24h,14,positioning_skew,0.0,positioning
BTCUSDT,24h,15,funding_x_oi,0.0,positioning
BTCUSDT,24h,16,oi_roc_24h,0.0,positioning
BTCUSDT,24h,17,oi_roc_7d,0.0,positioning
BTCUSDT,24h,18,oi_roc_1h,0.0,positioning
BTCUSDT,24h,19,ctrl_ret_1h,0.0,price_ctrl
BTCUSDT,24h,20,ctrl_rsi_14,0.0,price_ctrl
BTCUSDT,24h,21,ctrl_hilo_24h,0.0,price_ctrl
ETHUSDT,4h,1,funding_dev_90d,0.08946037131011764,positioning
ETHUSDT,4h,2,funding_extremity,0.08700986400727871,positioning
ETHUSDT,4h,3,ctrl_vol_24h,0.08248495073971354,price_ctrl
ETHUSDT,4h,4,ctrl_hilo_24h,0.081387715170361,price_ctrl
ETHUSDT,4h,5,ctrl_dist_ma168,0.08119536351987922,price_ctrl
ETHUSDT,4h,6,ctrl_ret_1h,0.0783658686425535,price_ctrl
ETHUSDT,4h,7,funding_roc_8h,0.06641655277790674,positioning
ETHUSDT,4h,8,oi_accel,0.06077063362815824,positioning
ETHUSDT,4h,9,funding_x_oi,0.059302747594629626,positioning
ETHUSDT,4h,10,oi_roc_7d,0.05894563530245904,positioning
ETHUSDT,4h,11,ctrl_ret_7d,0.05691215250409814,price_ctrl
ETHUSDT,4h,12,ctrl_ret_24h,0.043602143454869555,price_ctrl
ETHUSDT,4h,13,oi_pctl,0.03904959394256567,positioning
ETHUSDT,4h,14,funding_x_oi_signed,0.028234210013932788,positioning
ETHUSDT,4h,15,oi_roc_1h,0.02818115202533868,positioning
ETHUSDT,4h,16,ctrl_rsi_14,0.017150495868408257,price_ctrl
ETHUSDT,4h,17,oi_roc_24h,0.014847692070892957,positioning
