instrument,horizon,feature,ic_drop,kind
BTCUSDT,4h,funding_rate,-0.003174790617052293,positioning
BTCUSDT,4h,funding_pctl,-0.006680191178952279,positioning
BTCUSDT,4h,funding_roc_8h,-4.3133514806225313e-05,positioning
BTCUSDT,4h,funding_roc_24h,-0.0011561459881999645,positioning
BTCUSDT,4h,funding_dev_90d,-0.0033056481811814687,positioning
BTCUSDT,4h,oi_pctl,-0.0003409518308949743,positioning
BTCUSDT,4h,oi_roc_1h,-4.320270266568258e-05,positioning
BTCUSDT,4h,oi_roc_24h,0.00547594530271274,positioning
BTCUSDT,4h,oi_roc_7d,0.0009502071210307278,positioning
BTCUSDT,4h,oi_accel,0.01877855250158482,positioning
BTCUSDT,4h,funding_x_oi,0.0016103316126466162,positioning
BTCUSDT,4h,funding_x_oi_signed,0.0032900522758179873,positioning
BTCUSDT,4h,positioning_skew,0.0011051762911222455,positioning
BTCUSDT,4h,funding_extremity,0.006515897048450814,positioning
BTCUSDT,4h,ctrl_ret_1h,0.0006668180076018337,price_ctrl
BTCUSDT,4h,ctrl_ret_24h,0.002261261061307866,price_ctrl
BTCUSDT,4h,ctrl_ret_7d,0.00823524183613814,price_ctrl
BTCUSDT,4h,ctrl_vol_24h,0.0004747745742595738,price_ctrl
BTCUSDT,4h,ctrl_rsi_14,-0.006050895859504593,price_ctrl
BTCUSDT,4h,ctrl_dist_ma168,0.007413495687246341,price_ctrl
BTCUSDT,4h,ctrl_hilo_24h,-0.005805503380235765,price_ctrl
BTCUSDT,24h,funding_rate,0.0,positioning
BTCUSDT,24h,funding_pctl,0.0,positioning
BTCUSDT,24h,funding_roc_8h,0.0,positioning
BTCUSDT,24h,funding_roc_24h,0.0,positioning
BTCUSDT,24h,funding_dev_90d,0.016396270772800398,positioning
BTCUSDT,24h,oi_pctl,0.0,positioning
BTCUSDT,24h,oi_roc_1h,0.0,positioning
BTCUSDT,24h,oi_roc_24h,0.0,positioning
BTCUSDT,24h,oi_roc_7d,0.0,positioning
BTCUSDT,24h,oi_accel,0.0,positioning
BTCUSDT,24h,funding_x_oi,0.0,positioning
BTCUSDT,24h,funding_x_oi_signed,0.02536200896298397,positioning
BTCUSDT,24h,positioning_skew,0.0,positioning
BTCUSDT,24h,funding_extremity,-0.03203211260184404,positioning
BTCUSDT,24h,ctrl_ret_1h,0.0,price_ctrl
BTCUSDT,24h,ctrl_ret_24h,0.0,price_ctrl
BTCUSDT,24h,ctrl_ret_7d,5.7812574949522855e-08,price_ctrl
BTCUSDT,24h,ctrl_vol_24h,0.00035583505404982244,price_ctrl
BTCUSDT,24h,ctrl_rsi_14,0.0,price_ctrl
BTCUSDT,24h,ctrl_dist_ma168,0.002626581518621914,price_ctrl
BTCUSDT,24h,ctrl_hilo_24h,0.0,price_ctrl
ETHUSDT,4h,funding_rate,-0.000263391947361356,positioning
ETHUSDT,4h,funding_pctl,0.0002385793049821741,positioning
ETHUSDT,4h,funding_roc_8h,0.00022862171599173815,positioning
ETHUSDT,4h,funding_roc_24h,-0.0006916369998739395,positioning
ETHUSDT,4h,funding_dev_90d,-0.004788590978805971,positioning
ETHUSDT,4h,oi_pctl,0.002338465827602565,positioning
ETHUSDT,4h,oi_roc_1h,-0.0009473236691313787,positioning
ETHUSDT,4h,oi_roc_24h,7.468085399298021e-05,positioning
ETHUSDT,4h,oi_roc_7d,0.002664020622795793,positioning
ETHUSDT,4h,oi_accel,-0.004511530012970274,positioning
ETHUSDT,4h,funding_x_oi,-0.00591206885999473,positioning
ETHUSDT,4h,funding_x_oi_signed,0.0038165034246188277,positioning
ETHUSDT,4h,positioning_skew,0.000658005315724507,positioning
ETHUSDT,4h,funding_extremity,-0.0019673017279408806,positioning
ETHUSDT,4h,ctrl_ret_1h,0.0060319105051633735,price_ctrl
ETHUSDT,4h,ctrl_ret_24h,0.0009281247113338857,price_ctrl
ETHUSDT,4h,ctrl_ret_7d,0.0002486520389971105,price_ctrl
ETHUSDT,4h,ctrl_vol_24h,-9.156907241124855e-06,price_ctrl
ETHUSDT,4h,ctrl_rsi_14,0.00040140938541528316,price_ctrl
ETHUSDT,4h,ctrl_dist_ma168,0.006794182414522644,price_ctrl
ETHUSDT,4h,ctrl_hilo_24h,0.0028734937362458945,price_ctrl
ETHUSDT,24h,funding_rate,0.002380709863587342,positioning
ETHUSDT,24h,funding_pctl,-0.02627900091836742,positioning
ETHUSDT,24h,funding_roc_8h,-0.0006997452650382117,positioning
ETHUSDT,24h,funding_roc_24h,0.0,positioning
ETHUSDT,24h,funding_dev_90d,0.0005691213470678594,positioning
ETHUSDT,24h,oi_pctl,-0.00374453874821101,positioning
