fold,train_n,test_n,test_from,test_to,test_ic,net_sharpe,n_trades,instrument,horizon
1,17346,7656,2023-03-03,2024-01-16,0.022905068086672982,-4.5495177930913755,840,BTCUSDT,4h
2,23853,7656,2024-01-16,2024-11-30,0.002386972272795721,-4.117474166694652,668,BTCUSDT,4h
3,30361,7656,2024-11-30,2025-10-15,-0.014150920719656037,-7.363026651800372,827,BTCUSDT,4h
4,36869,7657,2025-10-15,2026-08-30,0.035446747772248766,-1.7344631402843638,195,BTCUSDT,4h
1,17302,7653,2023-03-03,2024-01-16,0.044008757803162546,0.2350276345004435,4,BTCUSDT,24h
2,23807,7653,2024-01-16,2024-11-30,0.034220228064071,1.8730593165380858,165,BTCUSDT,24h
3,30312,7653,2024-11-30,2025-10-15,-0.0058163152306366424,-0.039786100197780346,56,BTCUSDT,24h
4,36817,7654,2025-10-15,2026-08-30,-0.012677832645911173,0.17929068909447868,56,BTCUSDT,24h
1,16711,7376,2023-04-19,2024-02-20,-0.00539333638275781,-2.989754178685954,226,ETHUSDT,4h
2,22980,7376,2024-02-20,2024-12-24,0.004867236607210084,-5.387278526969156,832,ETHUSDT,4h
3,29250,7376,2024-12-24,2025-10-27,0.00450072491687421,-4.043454505020632,817,ETHUSDT,4h
4,35520,7377,2025-10-27,2026-08-30,-0.026161135255462344,-1.061270819115194,122,ETHUSDT,4h
1,16667,7373,2023-04-19,2024-02-20,0.00042286387329783714,-0.6023633057409322,130,ETHUSDT,24h
2,22934,7373,2024-02-20,2024-12-23,0.019628198484592383,-0.31539248996677416,121,ETHUSDT,24h
3,29201,7373,2024-12-23,2025-10-26,-0.00028005699054244396,-0.9396674497876231,192,ETHUSDT,24h
4,35468,7374,2025-10-26,2026-08-30,0.02668351614213838,-1.4930263811426105,90,ETHUSDT,24h
