instrument,period,range,approach,starting,ending,return_pct,trades,new_backtest
XAUUSD,FULL,2018-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,168000,68.0,465,no
XAUUSD,FULL,2018-01-01..2025-12-31,buy_and_hold,100000,331604,231.6,,no
XAUUSD,OUT-OF-REGIME,2017-01-01..2017-12-31,strategy_RETEST_OR30_1R,100000,113066,13.1,89,yes
XAUUSD,OUT-OF-REGIME,2017-01-01..2017-12-31,buy_and_hold,100000,113177,13.2,,no
XAUUSD,RECENT,2022-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,143057,43.1,198,no
XAUUSD,RECENT,2022-01-01..2025-12-31,buy_and_hold,100000,239440,139.4,,no
NAS100,FULL,2018-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,169323,69.3,685,no
NAS100,FULL,2018-01-01..2025-12-31,buy_and_hold,100000,387510,287.5,,no
NAS100,OUT-OF-REGIME,2017-01-01..2017-12-31,strategy_RETEST_OR30_1R,100000,94521,-5.5,97,no
NAS100,OUT-OF-REGIME,2017-01-01..2017-12-31,buy_and_hold,100000,130201,30.2,,no
NAS100,RECENT,2022-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,151198,51.2,392,no
NAS100,RECENT,2022-01-01..2025-12-31,buy_and_hold,100000,154094,54.1,,no
US30,FULL,2018-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,146738,46.7,602,no
US30,FULL,2018-01-01..2025-12-31,buy_and_hold,100000,194005,94.0,,no
US30,OUT-OF-REGIME,2017-01-01..2017-12-31,strategy_RETEST_OR30_1R,100000,94799,-5.2,79,no
US30,OUT-OF-REGIME,2017-01-01..2017-12-31,buy_and_hold,100000,124286,24.3,,no
US30,RECENT,2022-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,106558,6.6,327,no
US30,RECENT,2022-01-01..2025-12-31,buy_and_hold,100000,132040,32.0,,no
SPX500,FULL,2018-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,135770,35.8,747,yes
SPX500,FULL,2018-01-01..2025-12-31,buy_and_hold,100000,255640,155.6,,no
SPX500,OUT-OF-REGIME,2017-01-01..2017-12-31,strategy_RETEST_OR30_1R,100000,97516,-2.5,88,yes
SPX500,OUT-OF-REGIME,2017-01-01..2017-12-31,buy_and_hold,100000,118831,18.8,,no
SPX500,RECENT,2022-01-01..2025-12-31,strategy_RETEST_OR30_1R,100000,114600,14.6,367,no
SPX500,RECENT,2022-01-01..2025-12-31,buy_and_hold,100000,143260,43.3,,no
