name,max_first,max_last,max_days,max_roi,w19_first,w19_last,w19_days,w19_roi,w22_first,w22_last,w22_days,w22_roi
A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),2000-01-03,2026-08-28,9735,9.339118147580656,2019-01-01,2026-08-28,2797,1.1243174092388073,2022-01-01,2026-08-28,1701,0.6858705592090295
"A|MomoRot US-sector §12 (N12/K5, headline)",2000-01-03,2026-08-28,9735,6.87635027695542,2019-01-01,2026-08-28,2797,0.8942195660247736,2022-01-01,2026-08-28,1701,0.32954841755997477
A|MomoRot country-ETFs §17 (N12/K5),2009-02-02,2026-08-28,6417,1.1807245995415556,2019-01-01,2026-08-28,2797,0.6786257775233495,2022-01-01,2026-08-28,1701,0.26663074598843983
A|MomoRot crypto-sectors §17 (N12/K5),2020-02-01,2026-08-31,2404,41.0095668291976,2020-02-01,2026-08-31,2404,41.0095668291976,2022-01-01,2026-08-31,1704,-0.14906262232235923
A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),2018-01-03,2025-12-31,2920,0.21458852443313337,2019-01-01,2025-12-31,2557,0.3647659893759694,2022-01-01,2025-12-31,1461,0.5386966553619803
A|ORB §10 same cell 2013-2017 (out-of-regime),2013-10-21,2017-12-29,1531,-0.7691697120795576,,,0,,,,0,
A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),2018-03-12,2025-12-09,2830,0.4680566579998646,2019-01-01,2025-12-09,2535,0.3897128529386402,2022-01-01,2025-12-09,1439,0.38906162858773485
A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),2013-10-30,2017-10-16,1448,0.012870605581752015,,,0,,,,0,
A|VRP naked SVXY §20 (thr 1.2),2011-10-04,2026-08-28,5443,0.9806010694332681,2019-01-01,2026-08-28,2797,2.026925768154904,2022-01-01,2026-08-28,1701,0.678223855511624
A|VRP naked SVXY §20 (thr 1.5),2011-10-04,2026-08-28,5443,-0.6985737031771059,2019-01-01,2026-08-28,2797,0.4394591727544914,2022-01-01,2026-08-28,1701,0.7859193143687448
A|VRP §21-A fixed 10% sizing (thr 1.2),2011-10-04,2026-08-28,5443,0.3206733141623792,2019-01-01,2026-08-28,2797,0.1517270538713773,2022-01-01,2026-08-28,1701,0.07028503566063304
A|VRP §21-A fixed 20% sizing (thr 1.2),2011-10-04,2026-08-28,5443,0.6860478789161735,2019-01-01,2026-08-28,2797,0.31771162674934184,2022-01-01,2026-08-28,1701,0.14148952043598606
A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),2011-10-04,2026-08-28,5443,5.63316326848472,2019-01-01,2026-08-28,2797,0.23644806806683016,2022-01-01,2026-08-28,1701,0.42160468721882505
A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),2011-10-04,2026-08-28,5443,-0.9893974661933869,2019-01-01,2026-08-28,2797,-0.870145395585058,2022-01-01,2026-08-28,1701,-0.6186702096870437
B|ICT-SMC BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),2018-01-01,2025-12-30,2921,-1.0,2019-01-01,2025-12-30,2556,-1.0,2022-01-01,2025-12-30,1460,-1.0
B|ICT-SMC EURUSD in-regime 2018-2025,2018-01-02,2025-12-30,2920,-0.9384279336529475,2019-01-01,2025-12-30,2556,-0.8952636002252828,2022-01-01,2025-12-30,1460,-0.7631608871420769
B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),2013-01-02,2017-12-29,1823,-0.8131894696659625,,,0,,,,0,
B|ICT-SMC SPX500 in-regime 2018-2025,2018-01-05,2025-12-31,2918,-0.9998629681608885,2019-01-01,2025-12-31,2557,-0.999624929110885,2022-01-01,2025-12-31,1461,-0.9812476486824423
"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",2017-01-06,2018-01-03,363,-0.4602680678085399,,,0,,,,0,
B|ICT-SMC XAUUSD in-regime 2018-2025,2018-01-02,2025-12-31,2921,-0.9984230997192942,2019-01-01,2025-12-31,2557,-0.9965828492067422,2022-01-01,2025-12-31,1461,-0.9386312544834949
"B|ICT-SMC XAUUSD out-of-regime 2017 (1yr, not a full regime test)",2017-01-03,2017-12-29,361,-0.7598463577651906,,,0,,,,0,
C|Bollinger BTCUSDT,2018-01-01,2026-08-31,3165,-0.019493706237679986,2019-01-01,2026-08-31,2800,-0.01864001069339971,2022-01-01,2026-08-31,1704,0.0010052274935155037
C|Bollinger ETHUSDT,2018-01-01,2026-08-31,3165,-0.033334867030800686,2019-01-01,2026-08-31,2800,-0.024884212232940905,2022-01-01,2026-08-31,1704,-0.014232389095324094
C|Bollinger EURUSD,2013-01-01,2025-12-30,4747,0.002342757243434468,2019-01-01,2025-12-30,2556,0.0008182551978774821,2022-01-01,2025-12-30,1460,0.0005863014195681693
C|Bollinger NAS100,2013-09-30,2025-12-31,4476,0.010527759136328196,2019-01-01,2025-12-31,2557,0.0039743275003005785,2022-01-01,2025-12-31,1461,0.003477708843319105
C|Bollinger SPX500,2017-01-03,2025-12-31,3285,0.002586123291556275,2019-01-01,2025-12-31,2557,0.0017632847269180019,2022-01-01,2025-12-31,1461,0.001690102607677435
C|Bollinger US30,2013-09-30,2025-12-31,4476,0.005055836928971491,2019-01-01,2025-12-31,2557,0.003334341275255559,2022-01-01,2025-12-31,1461,0.0025697913319921994
C|Bollinger XAUUSD,2017-01-02,2025-12-31,3286,-0.0016446416380664353,2019-01-01,2025-12-31,2557,-0.0014063343124499639,2022-01-01,2025-12-31,1461,-0.0020473053363250227
C|Ichimoku BTCUSDT,2018-01-01,2026-08-31,3165,0.008021583313673641,2019-01-01,2026-08-31,2800,0.006227977162139187,2022-01-01,2026-08-31,1704,-0.006109840077539008
C|Ichimoku ETHUSDT,2018-01-01,2026-08-31,3165,0.032611626827010465,2019-01-01,2026-08-31,2800,0.021506790518145635,2022-01-01,2026-08-31,1704,-0.002378563152693136
C|Ichimoku EURUSD,2013-01-01,2025-12-30,4747,0.0018791813891780862,2019-01-01,2025-12-30,2556,0.0006003095826530025,2022-01-01,2025-12-30,1460,0.0009638760599413043
C|Ichimoku NAS100,2013-09-30,2025-12-31,4476,0.001813732790210576,2019-01-01,2025-12-31,2557,0.0020330072234941987,2022-01-01,2025-12-31,1461,0.001643178000339418
C|Ichimoku SPX500,2017-01-03,2025-12-31,3285,0.0020359488821382055,2019-01-01,2025-12-31,2557,0.002567967597832954,2022-01-01,2025-12-31,1461,-0.00022513974647409007
C|Ichimoku US30,2013-09-30,2025-12-31,4476,-0.00043952471914299185,2019-01-01,2025-12-31,2557,-0.0002590405300983978,2022-01-01,2025-12-31,1461,-0.002585054188112057
C|Ichimoku XAUUSD,2017-01-02,2025-12-31,3286,0.0047503737095111465,2019-01-01,2025-12-31,2557,0.004875914969408424,2022-01-01,2025-12-31,1461,0.0055749404949339
C|MACD BTCUSDT,2018-01-01,2026-08-31,3165,0.03122592078921227,2019-01-01,2026-08-31,2800,0.02680025904018568,2022-01-01,2026-08-31,1704,0.005684371255609388
C|MACD ETHUSDT,2018-01-01,2026-08-31,3165,0.03223319645251266,2019-01-01,2026-08-31,2800,0.01981420801671896,2022-01-01,2026-08-31,1704,0.0041042625722857995
C|MACD EURUSD,2013-01-01,2025-12-30,4747,-0.0033488926861381385,2019-01-01,2025-12-30,2556,-0.001803624034573903,2022-01-01,2025-12-30,1460,-0.0009346315758571588
C|MACD NAS100,2013-09-30,2025-12-31,4476,-0.01252924229923491,2019-01-01,2025-12-31,2557,-0.006814276073977221,2022-01-01,2025-12-31,1461,-0.007603138239681728
C|MACD SPX500,2017-01-03,2025-12-31,3285,-0.0008163413689673549,2019-01-01,2025-12-31,2557,-0.0009392279384478064,2022-01-01,2025-12-31,1461,-0.002403247627367211
C|MACD US30,2013-09-30,2025-12-31,4476,-0.0021687694860568207,2019-01-01,2025-12-31,2557,-0.0015048298505352387,2022-01-01,2025-12-31,1461,-0.0011207456585753395
C|MACD XAUUSD,2017-01-02,2025-12-31,3286,-0.0028666494135086706,2019-01-01,2025-12-31,2557,-0.003745495262065357,2022-01-01,2025-12-31,1461,-0.0029960829040684978
C|MACD-slow-n3 BTCUSDT,2018-01-01,2026-08-31,3165,0.03363469774156047,2019-01-01,2026-08-31,2800,0.03579300343699843,2022-01-01,2026-08-31,1704,0.002354053552557689
C|MACD-slow-n3 ETHUSDT,2018-01-01,2026-08-31,3165,0.030975548045631296,2019-01-01,2026-08-31,2800,0.034657063843901215,2022-01-01,2026-08-31,1704,0.0013756339629968917
C|Pairs GLD-SLV N1.5,2006-04-28,2026-08-27,7427,-0.2900060039789619,2019-01-01,2026-08-27,2796,-0.3225362874593287,2022-01-01,2026-08-27,1700,-0.08385209960246609
C|Pairs GLD-SLV N2.0,2006-04-28,2026-08-27,7427,-0.3769859130999146,2019-01-01,2026-08-27,2796,-0.2351824121400864,2022-01-01,2026-08-27,1700,0.018162258120400843
C|Pairs NAS100-US30 N1.5,2013-09-30,2025-12-31,4476,0.006734450034581618,2019-01-01,2025-12-31,2557,0.032821794652722946,2022-01-01,2025-12-31,1461,0.106455977106938
C|Pairs NAS100-US30 N2.0,2013-09-30,2025-12-31,4476,0.14857508838349776,2019-01-01,2025-12-31,2557,0.1270546735786522,2022-01-01,2025-12-31,1461,0.13181481426830133
C|Turtle Sys1 BTCUSDT,2018-01-01,2026-08-31,3165,1.644459541591222,2019-01-01,2026-08-31,2800,1.671496619363309,2022-01-01,2026-08-31,1704,0.23285361768715407
C|Turtle Sys1 ETHUSDT,2018-01-01,2026-08-31,3165,0.9375443826128298,2019-01-01,2026-08-31,2800,0.7937297886476486,2022-01-01,2026-08-31,1704,0.1456648731273329
C|Turtle Sys1 EURUSD,2013-01-01,2025-12-30,4747,-0.35997286928192274,2019-01-01,2025-12-30,2556,-0.2761588344510074,2022-01-01,2025-12-30,1460,-0.1264980354526548
C|Turtle Sys1 NAS100,2013-09-30,2025-12-31,4476,0.08917846881685132,2019-01-01,2025-12-31,2557,0.30600245598908216,2022-01-01,2025-12-31,1461,0.1466031443446869
