instrument,family,quarter,n_years,mean_ret,std_ret
BTCUSDT,trend,1,9,-0.016472644972119657,0.05409107276099486
BTCUSDT,trend,2,9,-0.01359462868374745,0.044242582621140086
BTCUSDT,trend,3,8,-0.031880830544920205,0.04542592736129565
BTCUSDT,trend,4,8,0.005243367018273838,0.05005384215721886
BTCUSDT,breakout,1,9,0.012907640432727387,0.07901551100431844
BTCUSDT,breakout,2,9,-0.008640240896288849,0.06761390551446896
BTCUSDT,breakout,3,8,-0.048595895523723655,0.05803494396396525
BTCUSDT,breakout,4,8,-0.0021201965604230595,0.04466439267694487
BTCUSDT,meanrev,1,9,-0.045078150437776396,0.03672880551969968
BTCUSDT,meanrev,2,9,-0.023052890683799114,0.05915828352312853
BTCUSDT,meanrev,3,8,-0.02254904291836802,0.05486582290109317
BTCUSDT,meanrev,4,8,-0.03232131791437548,0.03139839388563669
BTCUSDT,momentum,1,9,-0.0066743924588171955,0.05830987223247462
BTCUSDT,momentum,2,9,-0.01648860727884074,0.06765512528322538
BTCUSDT,momentum,3,8,0.0024694081411240397,0.04717399901731702
BTCUSDT,momentum,4,8,-0.009090949858602745,0.044081938809017236
BTCUSDT,macross,1,9,0.02450192028355577,0.034300999477022406
BTCUSDT,macross,2,9,0.025892425521195053,0.037646110345258596
BTCUSDT,macross,3,8,-0.004853719320903586,0.029842145451329755
BTCUSDT,macross,4,8,0.003861560497286358,0.03998790440893446
ETHUSDT,trend,1,9,0.013319453644570968,0.03782903677100238
ETHUSDT,trend,2,9,-0.01185857763344226,0.04978195386779903
ETHUSDT,trend,3,8,-0.015602627363812648,0.03761934888389831
ETHUSDT,trend,4,8,0.013683052136606148,0.04135291145581431
ETHUSDT,breakout,1,9,0.038780961457193876,0.06170884161526058
ETHUSDT,breakout,2,9,-0.023695097349400236,0.07566728252204934
ETHUSDT,breakout,3,8,0.0002836750733793761,0.02328863476803935
ETHUSDT,breakout,4,8,-0.01294364739127085,0.06835389120452506
ETHUSDT,meanrev,1,9,-0.028328448859936302,0.043362321973134325
ETHUSDT,meanrev,2,9,-0.029627999093292265,0.0375625359110326
ETHUSDT,meanrev,3,8,-0.020250210206527966,0.03850166299365966
ETHUSDT,meanrev,4,8,-0.022854915757598897,0.028625689955534616
ETHUSDT,momentum,1,9,-0.010275000794562858,0.05512817412766182
ETHUSDT,momentum,2,9,-0.01967540812538794,0.02738641364148609
ETHUSDT,momentum,3,8,0.021913431324382643,0.05528136760287407
ETHUSDT,momentum,4,8,-0.02699496176194023,0.0413325411549998
ETHUSDT,macross,1,9,0.0067208209352031135,0.026737368918944678
ETHUSDT,macross,2,9,0.008259826045003076,0.027004986423926566
ETHUSDT,macross,3,8,0.007495622865514497,0.021132943271305916
ETHUSDT,macross,4,8,-0.0037481001885631207,0.032076145906098176
