strategy,instrument,total_return,max_dd,recovered,beats_bh,concentrated,oos_holds
"Bollinger(20,2.0)",XAUUSD,-0.16446416380693218,0.47860463397356723,False,False,False,
"Bollinger(20,2.0)",EURUSD,0.2342757243435578,0.14024000542848247,True,True,False,True
"Bollinger(20,2.0)",NAS100,1.0527759136332415,0.26167438219967254,True,False,False,True
"Bollinger(20,2.0)",US30,0.5055836928971713,0.363136576862666,True,False,False,True
"Bollinger(20,2.0)",SPX500,0.25861232915587173,0.4456372333290437,True,False,True,
"Bollinger(20,2.0)",BTCUSDT,-1.9493706237679986,2.7985700019249937,False,False,False,
"Bollinger(20,2.0)",ETHUSDT,-3.3334867030802573,3.7989083832343007,False,False,False,
"MACD(12,26,9)",XAUUSD,-0.28666494135074494,0.5115927884143612,False,False,False,
"MACD(12,26,9)",EURUSD,-0.33488926861376944,0.3990943826316373,False,True,False,False
"MACD(12,26,9)",NAS100,-1.252924229923369,1.3683828593085257,False,False,False,False
"MACD(12,26,9)",US30,-0.216876948605782,0.6577878280162985,False,False,False,False
"MACD(12,26,9)",SPX500,-0.08163413689695753,0.6308554668994493,False,False,False,
"MACD(12,26,9)",BTCUSDT,3.1225920789209827,0.6474467811017237,False,False,False,
"MACD(12,26,9)",ETHUSDT,3.223319645251954,1.3654776639026367,False,False,False,
"Ichimoku(9,26,52)",XAUUSD,0.4750373709510036,0.2111143074598143,True,False,True,
"Ichimoku(9,26,52)",EURUSD,0.18791813891783082,0.17211616324314116,False,True,False,True
"Ichimoku(9,26,52)",NAS100,0.18137327902090217,0.3981188912181466,True,False,True,True
"Ichimoku(9,26,52)",US30,-0.04395247191448792,0.37854563629989846,False,False,False,False
"Ichimoku(9,26,52)",SPX500,0.20359488821370952,0.26151365313350494,True,False,True,
"Ichimoku(9,26,52)",BTCUSDT,0.8021583313671643,0.9836753504022133,False,False,True,
"Ichimoku(9,26,52)",ETHUSDT,3.2611626827014017,1.5037865626631897,False,False,False,
Turtle sys1,XAUUSD,83.50485951387718,22.104256197620764,True,False,False,
Turtle sys2,XAUUSD,90.71850815827919,19.442863958022006,True,False,False,
Turtle sys1,EURUSD,-35.99728692819646,48.75889671618668,False,False,False,False
Turtle sys2,EURUSD,-16.87359507844146,42.74979622488269,False,False,False,False
Turtle sys1,NAS100,8.917846881679893,24.032573390823984,True,False,True,True
Turtle sys2,NAS100,15.010890619535067,25.29458985538715,True,False,True,True
Turtle sys1,US30,-11.465321606115308,29.765003182031936,False,False,False,False
Turtle sys2,US30,-7.188609668489942,28.37300593251789,True,False,False,False
Turtle sys1,SPX500,-1.8279161538410693,29.633767669397226,False,False,False,
Turtle sys2,SPX500,37.450097032657716,26.120489698248395,False,False,False,
Turtle sys1,BTCUSDT,164.4459541591126,14.430916110652149,False,False,False,
Turtle sys2,BTCUSDT,92.32950874214099,11.599088999683072,True,False,False,
Turtle sys1,ETHUSDT,93.75443826127345,17.824559089682303,True,False,False,
Turtle sys2,ETHUSDT,103.53804827042796,13.12364033343638,True,False,False,
Pairs N=1.5,GLD/SLV,-29.00060039789627,44.20015664228221,False,,False,
Pairs N=2.0,GLD/SLV,-37.69859130999163,52.11022463775414,False,,False,
Pairs N=1.5,NAS100/US30,0.6734450034579842,15.767437618712087,True,,True,
Pairs N=2.0,NAS100/US30,14.857508838349599,14.153840968071451,True,,True,
