instrument,target,stop,trigger,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,win_rate,risk_med,rr_med,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe
NAS100,range,sneaky,c3,180,180,PASS,82,98,1.2581933429512557,1.1319779920961701,0.23464504920848214,5.696688279276212,60.490831079641644,0.13109640023879288,0.1452202164341169,0.06555141992960609,0.07966879650451085,0.39444444444444443,51.05850000000282,1.0,31,97,52,1995,105,75,1.0302887560251284,1.3010945102207558,0.1876925911088586,1.6464373846028013
NAS100,range,sneaky,session,233,233,PASS,104,129,1.3035591095226682,1.1709738459327983,0.34260732063287364,4.729170355886546,42.93293477034278,0.15300750502488616,0.1639212549345275,0.06474367795185197,0.09917757698267557,0.41201716738197425,50.955000000001746,1.0,34,120,79,1995,137,96,1.16621538260933,1.1786834996077995,0.9809701373624954,1.0345871123983312
NAS100,range,lod,c3,180,180,PASS,82,98,1.2352175066432867,1.1190042919874077,0.20998979436294285,5.890667582762882,65.84161417607653,0.12957595784790307,0.1252342569020951,0.05764468317577333,0.06758957372632175,0.4,58.147250000001804,1.0,31,87,62,1995,105,75,1.0366973921913212,1.2560582071667357,0.2259070229861837,1.3855548255768109
NAS100,range,lod,session,233,233,PASS,104,129,1.2496817221467864,1.129864541111612,0.26218281662478526,4.8843355685056,47.65616274172907,0.1597388151234662,0.12853691597492786,0.05713507385934945,0.07140184211557843,0.41630901287553645,57.55000000000109,1.0,34,109,90,1995,137,96,1.138453859200027,1.1160144263922918,0.8253704130592765,0.6722605755386076
NAS100,swing,sneaky,c3,145,145,PASS,55,90,1.5286177214198835,1.3805425624575287,0.4492837645814975,11.998328642874933,228.1471515241511,0.13664097052593469,0.30155197894778857,0.06802053981515364,0.23353143913263494,0.38620689655172413,49.44000000000051,1.0,3,79,63,1977,85,60,1.1439735912028888,1.8053644117852947,0.7720804042439102,2.673283342822272
NAS100,swing,sneaky,session,189,189,PASS,69,120,1.5361084374909593,1.3839679459183423,0.5302224527845588,10.381213344522394,182.81424695527733,0.14663188928455845,0.2901643729706548,0.06646072251008577,0.22370365046056906,0.4074074074074074,50.7599999999984,1.0,3,97,89,1978,113,76,1.2619866399228163,1.6023629008911897,1.373154073073071,2.1540136215636396
NAS100,swing,lod,c3,145,145,PASS,55,90,1.5477757487660724,1.4077185130229233,0.46218608269335654,12.770705461700963,256.30705296453743,0.1198392737558383,0.2915601661798744,0.0595087313272431,0.2320514348526313,0.3931034482758621,57.00550000000294,1.0,3,69,73,1977,85,60,1.1690411098557734,1.8456083548533,0.8872559594263483,2.631996468585861
NAS100,swing,lod,session,189,189,PASS,69,120,1.5156098440381502,1.3745186063751604,0.5060756455000059,11.159815506034308,209.99867334171856,0.13251651823093707,0.26376184230760835,0.058726144110183946,0.2050356981974244,0.4126984126984127,57.00550000000294,1.0,3,87,99,1978,113,76,1.242120609558031,1.6159772265221872,1.2695523532453943,2.096349539267568
US30,range,sneaky,c3,205,205,PASS,97,108,1.1702518276371618,1.0321966520608843,0.0652445985344572,4.956770361637598,41.93828116703282,0.2123025046575912,0.10385604479978677,0.08241988620745053,0.021436158592336274,0.3463414634146341,83.65000000000146,1.0,22,120,63,1901,112,93,1.1374874109031743,0.8997248026420899,0.8254044203644586,-0.6380115056402569
US30,range,sneaky,session,249,249,PASS,118,131,1.2684843300320225,1.120376710893591,0.2561194676064331,4.581416278039026,35.39625664483371,0.2155810658169006,0.15514344322359236,0.07931996590495255,0.07582347731863984,0.37751004016064255,81.16500000000087,1.0,28,138,83,1903,137,112,1.2624189406854436,0.944295037797443,1.4697050985252502,-0.35016510988568705
US30,range,lod,c3,205,205,PASS,97,108,1.1962933320267573,1.0652732085841758,0.13067447046375313,4.651536553786015,40.33579815068023,0.1513522278717907,0.10818672834000267,0.0693793868573083,0.038807341482694394,0.3902439024390244,98.58000000000175,1.0,25,107,73,1901,112,93,1.1562907262036497,0.9514149242486961,0.9269958633217692,-0.3051531268456604
US30,range,lod,session,249,249,PASS,118,131,1.2686830924727734,1.1321486786704134,0.2792526749275902,4.459646507061804,36.463021165291174,0.17178038833318635,0.14170587456864486,0.06662041592688665,0.07508545864175818,0.41365461847389556,97.53000000000611,1.0,31,123,95,1903,137,112,1.2781886121423858,0.9534712318835135,1.529991844936219,-0.2953333200141447
US30,swing,sneaky,c3,171,171,PASS,70,101,1.2170635497657711,1.0794576102265694,0.1347755134618816,7.243714380877317,85.01793824357722,0.17754633149120252,0.13335181875275262,0.08015701896743682,0.053194799785315855,0.3391812865497076,86.55999999999767,1.0,1,100,70,1868,95,76,1.1021177923211452,1.0481818300955208,0.5739416873911094,0.26644743391169984
US30,swing,sneaky,session,208,208,PASS,85,123,1.3191515891867676,1.1713538984866985,0.308290176656098,6.4098209747609545,66.12558774573496,0.1782859430004283,0.18702583101556153,0.0777357257288147,0.10929010528674682,0.36538461538461536,81.5822500000013,1.0,1,116,91,1868,117,91,1.262237404005266,1.0492347601832903,1.370653910945731,0.27676768689974157
US30,swing,lod,c3,171,171,PASS,70,101,1.2158307041079914,1.0876025196854158,0.1537780900390902,5.841183565836246,58.48922002796039,0.16499000281052528,0.12050969643809166,0.06776315198516408,0.05274654445292755,0.38011695906432746,100.97400000000198,1.0,1,90,80,1868,95,76,1.0779293130269092,1.1007426033751078,0.45478632527834556,0.5735994998700017
US30,swing,lod,session,208,208,PASS,85,123,1.3055300070500098,1.1706137096622449,0.31500795819032307,5.450041937163213,49.30542647534314,0.15643249581669907,0.16413993971936844,0.06545355726717793,0.0986863824521905,0.39903846153846156,97.82700000000114,1.0,1,104,103,1868,117,91,1.2466110950569855,1.0707209429514069,1.312822401864017,0.41171739253364975
XAUUSD,range,sneaky,c3,159,159,PASS,71,88,1.4348272776773865,1.0957309769106491,0.18399713051966327,4.658769598556979,43.04958298965286,0.14442128033862203,0.23535543111438822,0.1732677024924962,0.062087728621891984,0.3836477987421384,4.063000000000102,1.0,14,82,63,1587,110,49,1.139584433530035,0.9853115637234717,0.8219240271046454,-0.09701507916171856
