instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,regimeA_trades,regimeB_trades,regimeA_pf,regimeB_pf,regimeA_sharpe,regimeB_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026,dsr,dsr_cumulative_pool,oos_holds,gross_edge,not_concentrated,regime_holds,beats_bh,SURVIVOR
BTCUSDT,M15,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.532752356675382,0.8120199929707641,29415,11438,PASS,6009,5429,1.0072260744692816,0.4720438143092344,-9.167199190379671,-0.21890709876753567,0.8384298297741726,1.0,0.00376022602979569,0.4265652423714926,-0.42280501634169704,43.0094653288031,-4836.043776916331,199.5094642857166,66.806041732188,0.3389578597656933,0.40312991781780033,2379,5554,3505,3164,0,2.1691891727257395e-22,3.6150442477876106,6585,4853,0.5496235339362661,0.3872313442067699,-7.650810950744853,-11.25628039702345,5241,6197,0.5686735327279488,0.40595901303035603,-7.184975347828094,-10.880327229222273,-318.0261932690705,,9,0,-364.15661525072017,-453.7368889178626,-468.7059488589059,-318.0261932690705,-549.9542524445684,-874.3606130505868,-544.5719396052509,-780.499358547594,-482.03196697177077,0.0,0.0,False,True,False,False,False,False
BTCUSDT,M15,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.532752356675382,0.8120199929707641,29415,8964,PASS,4638,4326,1.0067905145158857,0.5266372108823923,-7.51480003259353,-0.38595880591071735,1.6947269236179858,0.999999999999994,0.0036116426016986752,0.35856010283750733,-0.35494846023580867,32.37476428162692,-3181.7579975537888,242.76303571428434,80.12370738585594,0.39067380633645693,0.42057117358322177,2970,4600,1394,3164,0,6.215456273413351e-15,2.8331226295828067,5102,3862,0.6096627230792435,0.4347324816612699,-6.077772820390013,-9.433218831714226,4062,4902,0.6218093184259822,0.45942930445735264,-5.805629993101566,-8.956759027408355,-196.7215052453296,,9,0,-231.3391270920274,-289.2212797363632,-334.8535184377627,-196.7215052453296,-326.2987118824877,-578.7170372535774,-375.39600460986486,-538.6574157905344,-310.55339750584176,0.0,0.0,False,True,False,False,False,False
BTCUSDT,M15,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.532752356675382,0.8120199929707641,44319,8766,PASS,4595,4171,1.0091405571985053,0.6074534027056165,-5.32478687792984,0.04306075071943687,0.9845903685332824,0.9999999999997536,0.005292441924288849,0.3198971576073177,-0.3146047156830289,46.39354590831605,-2757.824937677431,273.33321428571526,87.77630070587846,0.30971937029431895,0.35341090577230205,1212,4835,2719,3165,0,3.1499938891760064e-13,2.7696682464454976,4983,3783,0.6554325222373442,0.5527652660585596,-4.527131062869476,-6.356080619105088,3956,4810,0.6778077886877067,0.5576017572407793,-4.251409261152582,-6.181644221319192,-186.09452022294374,,9,0,-186.09452022294374,-280.8819994486678,-266.81686522221815,-204.94322055262478,-350.7324719606894,-515.9124834972006,-287.61689523221503,-433.8695382487741,-230.9569432920975,5.62856584211082e-258,0.0,False,True,False,False,False,False
BTCUSDT,M15,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",0.532752356675382,0.8120199929707641,18407,13461,PASS,6986,6475,0.9184897092684803,0.39408012932823805,-11.782840457959884,-0.8596127535589468,3.446787372978757,1.0,-0.05033264644174998,0.5559134389015498,-0.6062460853432997,-677.5277537523965,-8160.678554806158,177.79357142857043,52.366715781900574,0.31357254290171604,0.34677958546913307,3469,8085,1907,3164,0,1.5768773149561127e-37,4.254424778761062,7397,6064,0.46271530113095843,0.32672394306734914,-10.851273789700175,-13.542761510469173,5919,7542,0.46084533549398404,0.35055487491035353,-10.978464475061502,-12.776438795642623,-640.0134475137439,,9,0,-667.3803926209001,-753.9339972836257,-804.3529453643747,-640.0134475137439,-718.4324964506933,-1423.9369679830331,-933.954302522207,-1338.2454670247907,-880.4285380427893,0.0,0.0,False,False,False,False,False,False
BTCUSDT,M15,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.532752356675382,0.8120199929707641,10072,7340,PASS,3848,3492,0.947211819644081,0.47432276880669105,-7.7985074006208475,-0.43654471673758893,2.552370378379381,1.0,-0.033484755790645325,0.4682392905725228,-0.501724046363168,-245.77810750333668,-3682.6545003056535,216.86535714285856,62.86894283113958,0.32615803814713895,0.3415531335149864,2083,4578,679,3164,0,3.2698546441496185e-17,2.319848293299621,3985,3355,0.5552191378832328,0.39605635861105204,-6.634405881636855,-9.800880155661034,3185,4155,0.5585027249785474,0.4197772388336926,-6.673565129201332,-9.113366817388851,-268.9848578864013,,9,0,-308.2509997163431,-281.55817523438503,-357.31565206392327,-268.9848578864013,-316.11269798327857,-525.1016001421979,-546.1267565700687,-687.7380346569445,-391.4657260521118,0.0,0.0,False,False,False,False,False,False
BTCUSDT,M15,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.532752356675382,0.8120199929707641,18407,12837,PASS,6638,6199,0.9241195333993557,0.4352923544341406,-10.873419560687116,-0.5404771948791833,2.086718078786962,1.0,-0.040449071322962736,0.40310183361090585,-0.4435509049338685,-519.2447285728726,-5693.86296663607,237.86678571428456,71.09807228102643,0.3609877697281296,0.40445586975149955,3823,6438,2576,3165,0,3.5446900253651767e-26,4.055924170616113,7077,5760,0.502651390702999,0.3663359531502247,-9.721645577867006,-12.656085098568486,5664,7173,0.5010907928711985,0.39084909808423773,-9.83283916559393,-11.898937624884843,-451.5890474723193,,9,0,-487.7407380260544,-524.8336624400245,-563.8220861775284,-451.5890474723193,-508.7418516291336,-989.2191190305734,-642.0315317555663,-878.4221212468349,-647.4628088580356,0.0,0.0,False,False,False,False,False,False
BTCUSDT,M15,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",0.532752356675382,0.8120199929707641,5051,4228,PASS,1908,2320,0.8840350385090382,0.38557955007133443,-5.908598027236478,-5.116285601099503,87.72721495685617,0.9999999998567557,-0.0639267360267385,0.4562444476434154,-0.5201711836701538,-270.28223992105035,-2199.2837645574104,225.99142857142579,68.49247793935285,0.36281929990539263,0.40610217596972564,1208,2278,742,3165,0,1.4161366724285283e-10,1.3358609794628753,2203,2025,0.483257088492228,0.3063664881821168,-6.6563834849477725,-8.27432963394598,1740,2488,0.48219021838034887,0.33347779644017295,-6.690133156903382,-7.915469071160422,-138.990319128465,,9,0,-172.03432131155554,-138.990319128465,-177.8342216169183,-160.50923860617948,-178.92144331180626,-283.83463665562545,-277.58099001019616,-509.6153020333626,-299.9632918833019,6.859632109024367e-145,0.0,False,False,False,False,False,False
BTCUSDT,M15,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",0.532752356675382,0.8120199929707641,2041,1849,PASS,781,1068,0.743711034959546,0.2607645047106056,-4.555511653268341,-11.748163790247354,331.9255003907062,0.9999682828843885,-0.12047848674588464,0.4271637037284937,-0.5476421904743783,-222.7647219931407,-1012.5904101871255,246.0667857142853,73.50100401216096,0.3634396971335857,0.4445646295294754,569,813,467,3163,0,3.156932939134861e-05,0.584571609231742,970,879,0.3123471364437674,0.21705083867898894,-8.865744967715782,-7.534686498407302,771,1078,0.31078904990710093,0.23261443523658587,-8.912281925934083,-7.58435437757454,-65.23531689570491,,9,0,-98.64043206440647,-65.23531689570491,-97.15875287512205,-78.91694101612596,-92.12586193106543,-146.86703432539022,-97.88875901248436,-209.9819103731211,-125.775401693705,1.807059005670706e-55,1.3077035105769789e-221,False,False,False,False,False,False
BTCUSDT,M15,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",0.532752356675382,0.8120199929707641,22062,9287,PASS,4320,4967,0.9542661367168457,0.46720132296006506,-7.471319733408486,-1.7386516383434532,10.451883130240386,0.9999999999999998,-0.022267601518924963,0.34995891069876844,-0.37222651221769343,-206.79921530625614,-3456.867618965719,283.6957142857136,84.10679658911471,0.39259179498223323,0.45127597717239154,2231,4325,2731,3165,0,3.2675215521779477e-16,2.9342812006319114,4913,4374,0.5863263548939565,0.3661245855335337,-5.909115890989362,-10.049109009761512,3907,5380,0.5901345319760604,0.3969263979028105,-5.8410928401836735,-9.257865731409339,-204.47943252843305,,9,0,-215.34902978093035,-256.1951921798922,-291.2200802012462,-204.47943252843305,-264.7482287005652,-532.2477970013032,-479.7393630194699,-756.158272420769,-456.73022313310975,0.0,0.0,False,False,False,False,False,False
BTCUSDT,M15,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.532752356675382,0.8120199929707641,32888,8890,PASS,4427,4463,0.9715629549494484,0.5215967840369935,-7.311514389917899,-1.0865497637676342,7.654059121619876,1.0,-0.017321867364150232,0.39928007850094505,-0.4166019458650952,-153.99140086729557,-3703.5912987406964,211.04785714285936,69.38115070002172,0.3325084364454443,0.3626546681664792,2376,5317,1197,3164,0,2.2699832505194514e-17,2.809734513274336,5006,3884,0.576040990401185,0.4612657379743404,-6.631986612413067,-8.242862953125455,3977,4913,0.5799465446068601,0.48030329397946153,-6.609345294794804,-7.9268443875126335,-279.5278808010622,,9,0,-279.5278808010622,-374.93793386549777,-389.14660380572883,-304.0069046985759,-377.6044440288457,-731.7585390276037,-441.5661115497011,-414.23177596350433,-390.8111050001771,0.0,0.0,False,False,False,False,False,False
