instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,bars_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025
XAUUSD,M1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",1.1939063464653195,0.2038764411892057,155543,65867,PASS,34008,31859,1.0072791311289129,0.28945629718949756,-24.05210593386191,-0.31459666739567316,-0.34476414721729975,1.0,0.003812963601852738,0.7161591785434638,-0.7123462149416112,251.14847356323432,-46920.1081395591,0.8868035714285725,5.014585034196794,0.307483261724384,0.40480058299300103,12674,31974,21219,1601,0,2.6993390377936593e-273,41.14116177389132,970.3382899628252,49755,16112,0.2615049492350477,0.39443839561410815,-23.23370142127814,-18.16961292207976,-2181.9367458490733,,8,0,-8693.465378112629,-10000.908463526897,-6722.893936030395,-6411.525394407291,-6683.269862387744,-3607.39469867423,-2181.9367458490733,-2618.7136605708406
XAUUSD,M1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",1.1939063464653195,0.2038764411892057,155543,53531,PASS,27483,26048,0.99960966736419,0.32317765171663465,-22.9696742350331,-0.3501767512280523,-0.286902798821953,1.0,-0.0002113560336565022,0.635407503757677,-0.6356188597913335,-11.31409983766622,-34025.313183489874,0.9950714285712365,5.643658877554148,0.36113653770712295,0.4200556686779623,17650,27916,7965,1601,0,1.63300453005384e-179,33.43597751405372,970.3382899628252,40509,13022,0.2912860636856244,0.44085930525026906,-22.750734826148964,-17.199636216320368,-1524.06301822898,,8,0,-6450.676295992667,-7369.026597628195,-4825.5505875507215,-4445.13211585744,-4941.56182993428,-2612.343992534682,-1524.06301822898,-1856.9587457629082
XAUUSD,M1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",1.1939063464653195,0.2038764411892057,234185,51940,PASS,26749,25191,0.9964441632094116,0.417218299912135,-20.845820581473223,-0.4740548495092988,-0.09698109701217339,1.0,-0.002093404423547362,0.5772173960531969,-0.5793108004767443,-108.73142575905,-30089.4029767621,1.0699642857142635,6.073669439087856,0.29485945321524837,0.3582210242587601,6237,29102,16601,1601,0,5.706318480397006e-157,32.442223610243595,970.3382899628252,39314,12626,0.3893297112513596,0.5205321499633961,-20.01999109031428,-14.843295600882362,-1427.1088326263425,,8,0,-5536.899921091083,-6616.760879806214,-4187.29713328521,-4153.822774468252,-4332.610858073419,-2198.824496617283,-1427.1088326263425,-1636.0780807942942
XAUUSD,M1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",1.1939063464653195,0.2038764411892057,147876,95846,PASS,48274,47572,0.9697751322779213,0.21479540301981181,-25.407132398203306,-0.4330035354194005,0.2673088079197732,1.0363334393205477,-0.018853627641586344,1.0370504446582596,-1.0559040722998458,-1807.0447949354848,-101204.18171365102,0.5949107142857883,3.3413861562780744,0.28381987772051,0.3526594745737955,26336,58503,11007,1602,258,0.0,59.82896379525593,970.3382899628252,72319,23527,0.18672591107884437,0.3209339073679609,-24.32424972684465,-20.989321685849486,-4909.326076972957,,8,0,-19242.474099601804,-21934.090955115727,-13419.731715306822,-13693.003185271273,-14609.287611116979,-8035.077163406614,-4909.326076972957,-5361.190906858853
XAUUSD,M1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",1.1939063464653195,0.2038764411892057,86952,56101,PASS,28671,27430,0.946341885193717,0.24116360523267086,-24.533521258424233,-0.46464720179123614,0.36720648212320084,1.0,-0.03529352537654298,0.9877638094690185,-1.0230573348455614,-1980.0020671494374,-57394.539542170845,0.6290714285712511,3.504578170915049,0.2916169052245058,0.3317944421668063,16882,36573,2646,1601,13,-0.0,35.04122423485322,970.3382899628252,42113,13988,0.2130396419861766,0.34409853890423875,-24.498502689962216,-21.255964602249378,-2731.4851547779117,,8,0,-10630.508392288877,-12102.820614583858,-7694.7925122412125,-7732.302990033573,-8588.493171320084,-4612.471507600233,-2731.4851547779117,-3301.665199325097
XAUUSD,M1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1.1939063464653195,0.2038764411892057,147876,89371,PASS,44947,44424,0.9661287164780176,0.24630585109836106,-24.821288799020405,-0.47225293015019676,0.2655167386946675,1.0,-0.018360338207329505,0.7566729543438717,-0.7750332925512011,-1640.8817859272451,-69265.5003885934,0.8075892857141298,4.538424639407824,0.3299056741000996,0.4145975763950275,28074,46240,15057,1602,46,0.0,55.78714107365793,970.3382899628252,67567,21804,0.2159511075599579,0.3599971813667531,-23.589229343639637,-19.844148156055663,-3383.476444342892,,8,0,-13139.42851668917,-15221.617781357752,-9187.79595043169,-9452.605379921899,-9869.55705195583,-5446.770869596652,-3383.476444342892,-3564.248394297522
XAUUSD,M1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",1.1939063464653195,0.2038764411892057,51123,43004,PASS,20607,22397,1.0712036348887017,0.1275392347405399,-19.00350197417289,-1.4753924128630571,2.977754415400481,1.1790196899848888,0.03983237873573642,1.3460913232024034,-1.306258944466667,1712.9516151516088,-56174.35964784455,0.49482142857152667,2.851885563788305,0.2840200911543112,0.4266347316528695,16480,23777,2747,1602,59,-0.0,26.84394506866417,970.3382899628252,32966,10038,0.10672820439657935,0.2203285112439351,-19.68267711759371,-19.45399759174615,-2313.3544174418334,,8,0,-12418.795058833683,-14745.91807114763,-6023.306330060683,-6864.359251290674,-6925.578755081476,-4484.798626309189,-2398.2491376793787,-2313.3544174418334
XAUUSD,M1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1.1939063464653195,0.2038764411892057,23136,20503,PASS,9772,10731,1.060963643216497,0.06201418925134296,-16.108641498584042,-1.929846575774089,4.796267304655108,1.0,0.0278454173665925,1.3990525237636344,-1.371207106397042,570.914592267246,-28113.85930245855,0.4853928571428696,2.835001176129249,0.23440472126030337,0.5152416719504462,9561,9090,1852,1602,4,2.3052949091660325e-161,12.798377028714107,970.3382899628252,15817,4686,0.049058914924938,0.126395166641043,-17.34002147032087,-17.345957679797245,-993.9835423393869,,8,0,-6674.530756714708,-7853.7852277601705,-2771.7437571695277,-3344.5554878943944,-3082.899743496896,-2300.9563109408027,-1091.4044761426633,-993.9835423393869
XAUUSD,M1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",1.1939063464653195,0.2038764411892057,168164,76842,PASS,37182,39660,1.0490599409363612,0.23740814852835485,-22.121822947852106,-0.8948653700590135,1.041780864644009,1.0,0.025569846338262762,0.8234480943049532,-0.7978782479666905,1964.8381323247872,-61310.56033025643,0.7712142857142226,4.381747582997884,0.33848676505036307,0.43938210874261474,24581,38518,13743,1602,49,-0.0,47.96629213483146,970.3382899628252,58143,18699,0.208095522489541,0.3510148487418261,-21.61438124383849,-19.027173272182235,-2811.6608016015653,,8,0,-12524.43693256041,-14682.316800358269,-6968.027447763683,-7842.2516923265475,-8592.101464637148,-4806.920601295009,-2811.6608016015653,-3082.844589713797
XAUUSD,M1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1.1939063464653195,0.2038764411892057,179363,56341,PASS,28397,27944,0.9983032654471881,0.332737739987052,-21.760705104636383,-0.7184914867610751,0.6327795268107721,1.0,-0.0010591702883295028,0.7528962058001273,-0.7539553760884568,-59.67471321477251,-42478.59984419974,0.8084999999998672,4.581220426001151,0.31628831579134203,0.35723540583234237,16075,34620,5646,1601,5,-2.9152121229818646e-248,35.19113054341037,970.3382899628252,42851,13490,0.30668387453491497,0.4299903981466194,-21.261523279189955,-17.383165100303124,-2012.5475588907668,,8,0,-8340.16181982409,-9353.55053012062,-5502.8724131978015,-5534.767766162384,-6079.956873491914,-3572.519840374078,-2012.5475588907668,-2082.22304213809
