instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,bars_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
NAS100,M1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",1.2072173790053602,0.16562549731079687,37935,15728,PASS,9195,6533,0.9940736841680397,0.3672673725938031,-18.35950065591853,-1.2765622131057603,6.893085005756859,1.0,-0.0031416226720501496,0.5753670810521875,-0.5785087037242376,-49.41144138600475,-9098.784892174808,3.453803571428807,7.674069856051402,0.3311291963377416,0.40837995930824006,2967,7849,4912,1030,0,6.857345148443157e-44,15.26990291262136,430.53300970873784,8421,7307,0.3252486418475459,0.42258074558772046,-18.37933851015277,-19.7557561920289,-620.9797591066697,,5,0,-620.9797591066697,-3337.644036526319,-1555.5565697824823,-1467.240562225391,-2117.363964533946
NAS100,M1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",1.2072173790053602,0.16562549731079687,37935,13061,PASS,7457,5604,0.9868614558906662,0.39476535966662063,-18.006584660932635,-0.7998471413508733,2.363105056158121,1.0,-0.007171929415625409,0.5206072050970129,-0.5277791345126382,-93.67257009748346,-6893.323275869568,3.854214285714079,8.507984918755986,0.37378454942194317,0.4207181685935227,4238,6906,1917,1030,0,1.1984528244693445e-32,12.680582524271845,430.53300970873784,6928,6133,0.3541010630707667,0.4464990721462229,-18.40244743813853,-18.214275302770222,-470.3291621980153,,5,0,-470.3291621980153,-2413.0085526730836,-1235.5549118650981,-1125.853327047194,-1648.5773220861763
NAS100,M1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",1.2072173790053602,0.16562549731079687,57571,12917,PASS,7165,5752,0.984666787485897,0.4793049246288571,-13.915340299405422,-0.36084968875227896,0.9729798545011756,1.0,-0.009089990447253862,0.4725793718815343,-0.48166936232878815,-117.41540660717813,-6221.723153200956,4.168178571427234,9.335295061241037,0.3106758535263606,0.3596810404892777,1450,7336,4131,1030,0,7.777294284894761e-30,12.540776699029125,430.53300970873784,6856,6061,0.4466312956304384,0.5197796947464661,-14.400283002231314,-13.444947827752282,-454.88328632369826,,5,0,-454.88328632369826,-2225.2110949548182,-978.5598817378499,-1125.1960000523695,-1437.8728901322206
NAS100,M1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",1.2072173790053602,0.16562549731079687,34848,22077,PASS,11227,10850,0.9711083344228647,0.3095528841146496,-21.61190053293899,-1.1298986599918355,2.4566148503504097,1.0,-0.017490257819786557,0.7733250061672642,-0.7908152639870506,-386.1324218874278,-17458.828583042115,2.6109999999998763,5.793064789861765,0.30538569552022465,0.3630928115233048,5689,12987,3401,1030,0,3.853483208513364e-90,21.43398058252427,430.53300970873784,11607,10470,0.2739467325170409,0.3556421048067085,-20.932130272668743,-24.35404678954646,-1111.7933959068123,,5,0,-1111.7933959068123,-6331.271305073554,-2914.4384470021814,-2941.3521097610105,-4159.973325298559
NAS100,M1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",1.2072173790053602,0.16562549731079687,21115,13075,PASS,6816,6259,0.9680694731060003,0.3508064543392261,-19.241166973676147,-0.8782927860836994,1.7132090464020537,1.0,-0.0205020251857729,0.7178843719970002,-0.7383863971827729,-268.06397930398066,-9654.402143164756,2.7576428571419456,6.13135770751591,0.31005736137667306,0.3437093690248566,3846,8296,933,1030,0,1.7057783058841562e-46,12.694174757281553,430.53300970873784,6869,6206,0.319505275741637,0.38961572701132285,-18.68071965732169,-20.86072590672176,-616.7927144946058,,5,0,-616.7927144946058,-3393.2924022068705,-1591.7290205754962,-1779.2145060147138,-2273.3734998730715
NAS100,M1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1.2072173790053602,0.16562549731079687,34848,20551,PASS,10431,10120,0.9793132526056323,0.3479419870990382,-20.693552975351334,-0.8918688820864316,1.3579205733722919,1.0,-0.010678512128686767,0.5622371103929028,-0.5729156225215896,-219.45410275664176,-11773.988958441187,3.5596607142861103,7.891920758241868,0.3517590384896112,0.42523478176244467,5991,9958,4602,1030,0,2.0985653245686406e-57,19.952427184466018,430.53300970873784,10823,9728,0.3053410222907192,0.4029697444285755,-20.64058382634445,-22.142722496967934,-769.0709383785345,,5,0,-769.0709383785345,-4290.257141936934,-2010.5715688227244,-1923.433035714701,-2780.6562735882935
NAS100,M1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",1.2072173790053602,0.16562549731079687,13998,10221,PASS,4846,5375,0.9686046934344668,0.20014461146205323,-15.496361120620936,-3.1267558579627424,19.761005268066263,1.000000000000162,-0.018127375638391254,1.0007751729067818,-1.018902548545173,-185.279906399997,-10414.202948680213,2.281232142857334,5.007419397955495,0.3116133450738675,0.40426572742393113,3599,5812,810,1030,1,-1.3430354992970207e-52,9.923300970873786,430.53300970873784,5478,4743,0.16022112251482465,0.2597384209549095,-16.578281315836985,-15.054072826412357,-884.3700872220351,,5,0,-884.3700872220351,-3971.552515977194,-1691.6764788467572,-1660.9991144383848,-2205.6047521958412
NAS100,M1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1.2072173790053602,0.16562549731079687,7599,5778,PASS,2682,3096,0.9237371561077937,0.09909224762330962,-13.353141531339736,-3.302974943827665,19.17255269008996,1.0,-0.036205863370233744,1.1369400442792972,-1.173145907649531,-209.19747855321057,-6778.43705439899,2.1431428571427205,4.747242907438618,0.2751817237798546,0.48494288681204567,2358,2627,793,1030,0,2.604588490106547e-33,5.609708737864078,430.53300970873784,3079,2699,0.08176775074445224,0.12498627210982564,-14.881451499700772,-12.616519042953575,-679.8858819064061,,5,0,-679.8858819064061,-2476.430485373583,-983.02682364754,-1091.8885288059619,-1547.2053346654984
NAS100,M1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",1.2072173790053602,0.16562549731079687,42003,17741,PASS,7996,9745,1.0006614691247575,0.32524461529803017,-17.730310477462258,-1.9602610273176442,10.084560384092773,1.0000000000000997,0.00034364969041995256,0.6216810932741589,-0.6213374435837389,6.096689157740379,-11023.147586619112,3.4090714285721333,7.541227836339218,0.3526295022828476,0.4348683839693366,5244,8812,3685,1030,1,-2.2559273125231663e-55,17.224271844660194,430.53300970873784,9445,8296,0.27555151756841595,0.39249970620293934,-18.52954170925077,-17.60013451743108,-778.386905527084,,5,0,-778.386905527084,-4061.020005190334,-1966.694794635074,-1735.5366214710398,-2481.509259795582
NAS100,M1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1.2072173790053602,0.16562549731079687,41583,12811,PASS,6343,6468,1.036414027030991,0.4419416387634298,-15.286476028632721,-0.9205543489809181,2.3648533525847046,1.0,0.021670562747592596,0.562557841359339,-0.5408872786117463,277.62157935940877,-6929.306926295082,3.4792142857145336,7.708905516413869,0.33799078916556086,0.3773319803294044,3445,7453,1913,1030,0,3.24289849941409e-33,12.437864077669904,430.53300970873784,6825,5986,0.4024296629330048,0.4924750515865995,-15.661270762070005,-15.277152111075656,-483.30655329587205,,5,0,-483.30655329587205,-2629.362881902075,-1051.384662455484,-1036.977314922602,-1728.2755137190486
