instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,bars_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025
NAS100,M1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.9347427706235681,0.3554812603204959,61835,26053,PASS,14625,11428,1.019170736577522,0.6800508827842358,-9.96245964067569,-0.21349009871348143,0.17958501783982328,1.0,0.01006048491977427,0.22275580865203934,-0.21269532373226507,262.1058136148791,-5541.351269196702,16.116410714286758,11.613190399855279,0.38640463670210723,0.41227497792960505,4781,12860,8412,1683,0,2.7582774566222344e-26,15.480095068330362,443.14260249554366,15375,10678,0.6594613063496512,0.7120294103265731,-10.606603753433925,-9.068171222503292,-442.95519728754283,,8,0,-442.95519728754283,-1109.9683204057915,-686.5036831643727,-811.6399847799777,-536.8084434277549,-662.2649537924889,-555.2755674047244,-735.9351189340492
NAS100,M1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.9347427706235681,0.3554812603204959,61835,21869,PASS,12111,9758,1.0166470720365406,0.7037486588525509,-8.883274611301355,-0.22982666447985026,0.43648956949932805,1.0,0.00899868955797166,0.20524430655110737,-0.19624561699313575,196.79234194328222,-4291.6953980228855,17.753999999998996,12.878395877340274,0.41149572454158856,0.42507659243678264,7205,11460,3204,1683,0,2.0518259176347164e-20,12.994058229352348,443.14260249554366,13032,8837,0.6836831480417908,0.7351301229103497,-9.515808093956208,-7.987135107957507,-380.0856212997401,,8,0,-381.5520324253759,-845.0110582055227,-551.7914876015783,-636.7042292262337,-380.0856212997401,-525.6207777036545,-403.18196804863607,-567.7482235121442
NAS100,M1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.9347427706235681,0.3554812603204959,95011,21500,PASS,11809,9691,1.0211198515629205,0.7473258798255713,-6.840938715735644,0.12196080065341587,0.022561131983122706,1.0,0.01239415527888242,0.19408043307694345,-0.181686277798061,266.474338495972,-3906.254972658312,19.111928571428507,13.868345110094774,0.34632558139534886,0.36511627906976746,2403,12100,6997,1683,0,5.307020007736226e-19,12.77480689245395,443.14260249554366,12835,8665,0.7138508566461487,0.8013832511491692,-8.010105917572593,-5.176222056615049,-332.33687413759264,,8,0,-355.0897581565526,-761.821571650309,-541.8000371003652,-650.3079040576382,-422.9662270704957,-441.8688189886785,-332.33687413759264,-400.06378149668035
NAS100,M1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",0.9347427706235681,0.3554812603204959,63547,38928,PASS,19971,18957,0.9810881913487264,0.6095023386435554,-15.438801353232169,-0.2988690873016936,0.3769036668695813,1.0,-0.011570409450574793,0.30647115042521794,-0.3180415598757927,-450.41289909197553,-12380.721842844858,11.250607142857916,8.204637722804373,0.34445643238799833,0.3626438553226469,10307,23292,5329,1683,0,4.428465948879514e-59,23.1301247771836,443.14260249554366,22895,16033,0.5835818179090869,0.6482424049160639,-16.224183499758446,-14.491457546426531,-1212.649819830008,,8,0,-1282.5081751455803,-1968.521507321017,-1447.839985312339,-1998.5068475512028,-1212.649819830008,-1521.4920416081284,-1380.233343032319,-1568.970123044265
NAS100,M1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.9347427706235681,0.3554812603204959,39325,23242,PASS,12336,10906,0.9799129594192649,0.6431745691139342,-11.571843461882157,-0.1613844527761524,0.5067356375114684,1.0,-0.012950387301913564,0.28541035870747006,-0.29836074600938367,-300.99290167107506,-6934.500458750095,11.862303571428129,8.674190119050595,0.33633078048360726,0.3433869718612856,6985,14829,1428,1683,0,9.125180883347567e-33,13.809863339275104,443.14260249554366,13626,9616,0.6251785257832667,0.6696725974530198,-12.06782452329257,-10.894279467599956,-608.6214552567768,,8,0,-700.6115173754965,-1048.3720626745019,-841.1219130491179,-1139.330080166353,-608.6214552567768,-870.0531708061824,-771.8578749745026,-954.5323844471636
NAS100,M1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.9347427706235681,0.3554812603204959,63547,36066,PASS,18503,17563,0.9844219558137527,0.6506912261313945,-13.599586664029337,-0.1705887589932658,0.22363073994017402,1.0,-0.008184906355508018,0.22195659793828756,-0.23014150429379565,-295.1968326177522,-8300.283493860034,15.451071428571595,11.247169845964109,0.40201297621028115,0.42599678367437477,10789,17974,7303,1683,0,4.745301061830762e-39,21.429590017825312,443.14260249554366,21262,14804,0.627469529271052,0.6853261028833417,-14.509479267141453,-12.397184727820287,-759.702129726998,,8,0,-843.022508004747,-1321.116019336707,-972.0288541265603,-1403.279952050427,-759.702129726998,-1035.1344953338287,-942.3284342185186,-1023.6711010622461
NAS100,M1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",0.9347427706235681,0.3554812603204959,24309,17645,PASS,7955,9690,0.9440057006638988,0.48240301030312455,-13.363429535316298,-1.1460346535294967,3.456331301405198,1.0,-0.03278558366168448,0.39998248900681443,-0.43276807266849887,-578.5016237104226,-7636.192642235663,9.87558928571434,7.34890593717746,0.37183338056106546,0.3964862567299518,6192,10169,1284,1683,0,6.779793566631718e-36,10.48425430778372,443.14260249554366,10786,6859,0.45853020452028515,0.522656466587586,-13.948903041369439,-12.813033268259488,-753.0259562429079,,8,0,-899.100662261564,-1314.1575188791096,-971.8089567679773,-1076.3951837110094,-753.0259562429079,-922.1838019234606,-879.1152311625813,-820.4053312870528
NAS100,M1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",0.9347427706235681,0.3554812603204959,12500,9256,PASS,4036,5220,0.9089132346390063,0.30077914021269164,-12.690827351943193,-1.7810028473898514,6.340826729393227,1.0,-0.043576551542755616,0.5064638293521947,-0.5500403808949503,-403.344561079746,-5091.173765563661,9.38583928571461,6.943822125438153,0.38807260155574763,0.47904062229904926,3786,4221,1249,1683,0,9.15034102300357e-24,5.499702911467617,443.14260249554366,5651,3605,0.2620207355707607,0.3734074836616066,-13.514058535294561,-12.484305257189769,-476.0489790728805,,8,0,-729.2221645754212,-906.4212780148588,-609.9125194228825,-782.0418436047017,-476.0489790728805,-583.7068652625045,-511.56215513401924,-492.25796047639284
NAS100,M1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",0.9347427706235681,0.3554812603204959,75905,31602,PASS,14029,17573,0.9749856040165293,0.6182574621896476,-12.811230069935505,-0.7622918054907999,1.517992007734489,1.0,-0.013353416987063329,0.24714321328909208,-0.2604966302761554,-421.9946836251753,-8232.214509987063,14.622428571428827,10.724380481128671,0.3961141699892412,0.42250490475286373,9610,16146,5846,1683,0,6.26209536812134e-39,18.777183600713013,443.14260249554366,18950,12652,0.5982942673078988,0.6498680392533877,-13.294635808290272,-12.283647594880895,-799.238523055208,,8,0,-945.4931197988435,-1393.4560797163315,-1019.125475160465,-1152.2363789617696,-799.238523055208,-1163.3168036090794,-932.8933325849094,-826.4547971004567
NAS100,M1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.9347427706235681,0.3554812603204959,66352,21509,PASS,10745,10764,0.991828439831567,0.7005488565237405,-8.83638167344122,-0.21282890647884506,0.1125158767788168,1.0,-0.005017561348851958,0.2220448130230363,-0.22706237437188828,-107.92272705245676,-4883.884610364945,15.90142857142746,11.319332987364353,0.3502719791715096,0.3618950206890139,5788,12944,2777,1683,0,2.569868583943377e-23,12.780154486036839,443.14260249554366,12664,8845,0.6833721442399892,0.726159098754701,-9.449730683737197,-7.978988789080419,-461.78613547790417,,8,0,-461.78613547790417,-845.0331270898408,-494.15674742038664,-803.2828346386976,-486.68310905402046,-624.8566587658594,-535.0453491366735,-633.0406487815616
