w_gold,w_us30,w_sleeve,sharpe,max_dd
0.0,0.0,1.0,0.38346330662003525,-0.15043489345706704
0.0,0.1,0.9,0.4280826331490462,-0.13291185502516667
0.0,0.2,0.8,0.4825500457098692,-0.11515744544963324
0.0,0.3,0.7,0.5498093657063685,-0.09729829308638549
0.0,0.4,0.6,0.6334465432337401,-0.08007449311010213
0.0,0.5,0.5,0.736878603772151,-0.06265886055541846
0.0,0.6,0.4,0.8601978456936669,-0.04867318164293919
0.0,0.7,0.3,0.991739766725056,-0.04970804339995038
0.0,0.8,0.2,1.0958413920515082,-0.05125053005354923
0.0,0.9,0.1,1.1216220671983697,-0.05284146053515986
0.0,1.0,0.0,1.0548173417324802,-0.05586662884185874
0.1,0.0,0.9,0.5226096389478732,-0.11879501398749548
0.1,0.1,0.8,0.5888055294143811,-0.10277434455110049
0.1,0.2,0.7,0.6709557110360607,-0.08735747529991073
0.1,0.3,0.6,0.7739853432614718,-0.07254437154794105
0.1,0.4,0.5,0.9033031440262315,-0.05753481431924672
0.1,0.5,0.4,1.0615570028372465,-0.045780802091051856
0.1,0.6,0.3,1.2382895266810887,-0.03798459972503495
0.1,0.7,0.2,1.3903507379907967,-0.0356301160858283
0.1,0.8,0.1,1.4428823764158138,-0.03737047051963082
0.1,0.9,0.0,1.3623750603671405,-0.03922422409592729
0.2,0.0,0.8,0.6825171664417234,-0.09848872348987896
0.2,0.1,0.7,0.7744899162924394,-0.08351372874839207
0.2,0.2,0.6,0.8889136713932281,-0.06911836667142622
0.2,0.3,0.5,1.0312346053328854,-0.05693609610311138
0.2,0.4,0.4,1.203974385762116,-0.045701921551958284
0.2,0.5,0.3,1.396788055864739,-0.03658512499039106
0.2,0.6,0.2,1.5677716190812137,-0.03424648473442085
0.2,0.7,0.1,1.6412366486687078,-0.03263706165630296
0.2,0.8,0.0,1.572811145023596,-0.03230396026905488
0.3,0.0,0.7,0.856907176319564,-0.08318695441645661
0.3,0.1,0.6,0.9738023595944035,-0.06803925003505265
0.3,0.2,0.5,1.1153061440406171,-0.05687541217182316
0.3,0.3,0.4,1.281434180960447,-0.045636528187869056
0.3,0.4,0.3,1.4606565335493948,-0.03654454953175747
0.3,0.5,0.2,1.6177837023584236,-0.034100612327329305
0.3,0.6,0.1,1.6948555954677016,-0.0323285648248232
0.3,0.7,0.0,1.653258569200578,-0.03183630639392831
0.4,0.0,0.6,1.0307560009707297,-0.07372497423440452
0.4,0.1,0.5,1.1618352626025958,-0.05847275674844148
0.4,0.2,0.4,1.3091229119740533,-0.04558462357788798
0.4,0.3,0.3,1.460894600231201,-0.04308086831287981
0.4,0.4,0.2,1.5904980615533482,-0.04065035583771496
0.4,0.5,0.1,1.6596064448494472,-0.038227115235868164
0.4,0.6,0.0,1.6413728498046456,-0.03581123381477894
0.5,0.0,0.5,1.1817203232357438,-0.07008250201042614
0.5,0.1,0.4,1.3068132655290041,-0.05662432459249179
0.5,0.2,0.3,1.4302554952596362,-0.04959910407635357
0.5,0.3,0.2,1.5331052162695817,-0.04718201538555678
0.5,0.4,0.1,1.5912969345832189,-0.04550402669873429
0.5,0.5,0.0,1.5876504765746169,-0.044934325263513236
0.6,0.0,0.4,1.2893467836102903,-0.07026410703826781
0.6,0.1,0.3,1.3888194622252097,-0.06365571504170885
0.6,0.2,0.2,1.4702429609670273,-0.061998157136787496
0.6,0.3,0.1,1.5185159302220876,-0.06036244482455698
0.6,0.4,0.0,1.5227527982888203,-0.05874870374694227
0.7,0.0,0.3,1.3462024253990437,-0.0795070891775716
0.7,0.1,0.2,1.4114965490270226,-0.07780680014442393
0.7,0.2,0.1,1.4517521138238956,-0.07619433740588653
0.7,0.3,0.0,1.459927710746581,-0.0746034720651637
0.8,0.0,0.2,1.3596040429435363,-0.0934394206133512
0.8,0.1,0.1,1.3935934174248927,-0.09180639955092586
0.8,0.2,0.0,1.4035745395423391,-0.09023817965646938
0.9,0.0,0.1,1.3437861549619146,-0.10722225584255658
0.9,0.1,0.0,1.3544490069774564,-0.1056549934759204
1.0,0.0,0.0,1.3120096507796122,-0.12093632885700137
