strategy,span,pct_pos_years,pos_years,avg_pos_year,avg_neg_year,best_year,worst_year,total_return,max_dd
VRP §21-A fixed 20% sizing (thr 1.2),2011-2026,81.25,13/16,,,23.765268600840052,-25.806379282117696,68.60478789162194,-29.02155141059396
VRP §21-A fixed 10% sizing (thr 1.2),2011-2026,81.25,13/16,,,11.37544199773159,-13.3964077936843,32.06733141624087,-15.32256916538973
"MomoRot US-sector §12 (N12/K5, headline)",2000-2026,74.07407407407408,20/27,15.265457768060084,-9.822342214556281,33.02589779742015,-18.91111668481139,687.6350276955429,-39.02938862524964
MomoRot crypto-sectors §17 (N12/K5),2020-2026,71.42857142857143,5/7,,,1695.6740276445241,-45.10184338344377,4100.956682919762,-57.04438536263522
MomoRot US-sector widened 27-univ §12.2 (N12/K5),2000-2026,70.37037037037037,19/27,,,38.77763310839264,-13.216601688922019,933.9118147580646,-37.50441273871103
VRP naked SVXY §20 (thr 1.2),2011-2026,68.75,11/16,44.08298372693133,-25.88980402943498,164.64539762160234,-91.5813901357089,98.06010694331856,-93.06851931239734
VRP §21-B vol-of-vol breaker +20% (thr 1.2),2011-2026,68.75,11/16,,,104.20253440603085,-18.57786962038281,563.3163268484478,-48.869414622830746
MomoRot country-ETFs §17 (N12/K5),2009-2026,61.11111111111112,11/18,,,26.33747670249793,-15.443933525431039,118.0724599541517,-24.7937614537689
VRP naked SVXY §20 (thr 1.5),2011-2026,50.0,8/16,25.515574882786495,-20.583339713651203,65.9323251608261,-87.20679396707528,-69.85737031771117,-91.84339210839708
VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),2011-2026,0.0,0/16,,,-0.25573451907433,-85.0653614715301,-98.93974661933868,-98.97730118188828
