strategy,first,last,n_years,pos_years,neg_years,pct_pos_years,worst_year,worst_year_label,best_year,best_year_label,total_return,max_dd
"MomoRot US-sector §12 (N12/K5, headline)",2000-01-03,2026-08-28,27,20,7,74.07407407407408,-0.1891111668481139,2022,0.33025897797420156,2013,6.87635027695543,-0.3902938862524964
MomoRot US-sector widened 27-univ §12.2 (N12/K5),2000-01-03,2026-08-28,27,19,8,70.37037037037037,-0.13216601688922025,2018,0.3877763310839264,2025,9.339118147580646,-0.37504412738711035
MomoRot crypto-sectors §17 (N12/K5),2020-02-01,2026-08-31,7,5,2,71.42857142857143,-0.45101843383443774,2025,16.95674027644524,2021,41.009566829197624,-0.5704438536263522
MomoRot country-ETFs §17 (N12/K5),2009-02-02,2026-08-28,18,11,7,61.111111111111114,-0.15443933525431042,2022,0.2633747670249793,2017,1.180724599541517,-0.24793761453768903
VRP naked SVXY §20 (thr 1.2),2011-10-04,2026-08-28,16,11,5,68.75,-0.915813901357089,2018,1.6464539762160237,2017,0.9806010694331857,-0.9306851931239734
VRP §21-A fixed 10% sizing (thr 1.2),2011-10-04,2026-08-28,16,13,3,81.25,-0.13396407793684306,2018,0.11375441997731595,2017,0.32067331416240874,-0.15322569165389732
VRP §21-A fixed 20% sizing (thr 1.2),2011-10-04,2026-08-28,16,13,3,81.25,-0.258063792821177,2018,0.2376526860084005,2017,0.6860478789162194,-0.2902155141059396
VRP §21-B vol-of-vol breaker +20% (thr 1.2),2011-10-04,2026-08-28,16,11,5,68.75,-0.18577869620382814,2018,1.0420253440603084,2012,5.633163268484478,-0.48869414622830754
VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),2011-10-04,2026-08-28,16,0,16,0.0,-0.850653614715301,2018,-0.002557345190743354,2026,-0.9893974661933869,-0.9897730118188829
VRP naked SVXY §20 (thr 1.5),2011-10-04,2026-08-28,16,8,8,50.0,-0.8720679396707529,2018,0.659323251608261,2017,-0.6985737031771118,-0.9184339210839708
Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),2018-03-12,2025-12-09,8,6,2,75.0,-0.06957979475304077,2024,0.29439476919291097,2025,0.4680566579998646,-0.14663188928455761
Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),2013-10-30,2017-10-16,5,2,3,40.0,-0.1109584752078483,2015,0.2538348238485,2017,0.012870605581752015,-0.27559647277928934
ORB §10 best cell 2018-2025 (NAS100 OR30 2R),2018-01-03,2025-12-31,8,4,4,50.0,-0.1380960107778363,2020,0.21966212447829792,2023,0.21458852443313337,-0.3346512885887676
ORB §10 same cell 2013-2017 (out-of-regime),2013-10-21,2017-12-29,5,0,5,0.0,-0.3641230906256552,2014,-0.02434525068026383,2013,-0.7691697120795576,-0.7904257315706652
