strategy,empty,first,last,n_months,pos_months,neg_months,pct_pos_months,worst_month,worst_month_label,best_month,best_month_label,total_return,max_dd,split_2021_2022_ret,split_2021_2022_posmo,split_2021_2022_negmo,split_2023_plus_ret,split_2023_plus_posmo,split_2023_plus_negmo
"MomoRot US-sector §12 (N12/K5, headline)",False,2021-01-04,2026-08-28,68,40,28,58.8235294117647,-0.06593118341029058,2022-04,0.0603715408625749,2021-10,0.5320443739846437,-0.26025064238830453,-0.06560930136168974,10,14,0.6396186051694452,30,14
MomoRot US-sector widened 27-univ §12.2 (N12/K5),False,2021-01-04,2026-08-28,68,46,22,67.6470588235294,-0.11159855277149155,2026-03,0.13933904812545483,2022-01,0.8163527433769342,-0.25257058998680404,0.15409999601070368,16,8,0.5738261412835926,30,14
MomoRot crypto-sectors §17 (N12/K5),False,2021-01-01,2026-08-31,68,22,46,32.35294117647059,-0.3821153553157127,2024-04,2.1971263739253364,2021-01,14.280061482476762,-0.5704438536263523,17.485132633685453,8,16,-0.17338642977156904,14,30
MomoRot country-ETFs §17 (N12/K5),False,2021-01-04,2026-08-28,68,41,27,60.294117647058826,-0.06602770962864424,2026-03,0.07720734431510556,2026-01,0.4220910991701241,-0.2247250033443443,-0.05065916096576606,12,12,0.49797737619380045,29,15
VRP naked SVXY §20 (thr 1.2),False,2021-01-04,2026-08-28,68,38,30,55.88235294117647,-0.13103283023943013,2021-01,0.13979449575502279,2021-12,1.2731181250124286,-0.26685941882946473,0.3663186136306833,14,10,0.6636808591607597,24,20
VRP §21-A fixed 10% sizing (thr 1.2),False,2021-01-04,2026-08-28,68,39,29,57.35294117647059,-0.013172252652853156,2021-01,0.013689210589294065,2021-12,0.11044613391446045,-0.027829803411864473,0.040384172963894516,14,10,0.06734239406099984,25,19
VRP §21-A fixed 20% sizing (thr 1.2),False,2021-01-04,2026-08-28,68,39,29,57.35294117647059,-0.026333684936071577,2021-01,0.027447944615388797,2021-12,0.2270238978539434,-0.05541235095343722,0.0804190524674635,14,10,0.13569257692342984,25,19
VRP §21-B vol-of-vol breaker +20% (thr 1.2),False,2021-01-04,2026-08-28,68,37,31,54.411764705882355,-0.1646521803586708,2026-03,0.18234766622732979,2021-12,0.41853115528840146,-0.30246156351152453,0.07855904983653073,13,11,0.3152095432358557,24,20
VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),False,2021-01-04,2026-08-28,68,26,42,38.23529411764706,-0.137338898190297,2021-12,0.1296500225694568,2021-01,-0.7720017862261976,-0.7994375303927671,-0.47145808661969335,8,16,-0.5686279403734849,18,26
VRP naked SVXY §20 (thr 1.5),False,2021-01-04,2026-08-28,68,31,37,45.588235294117645,-0.13103283023943013,2021-01,0.1122730412160966,2024-11,0.6196401942331586,-0.2200792868084781,-0.10562900338547465,8,16,0.8109265622029385,23,21
Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),False,2021-01-01,2025-12-09,60,27,33,45.0,-0.050671590522005316,2022-03,0.2122054597202112,2025-10,0.44176464452384434,-0.14663188928455773,0.1586857835742308,11,13,0.2443102909888062,16,20
ORB §10 best cell 2018-2025 (NAS100 OR30 2R),False,2021-01-01,2025-12-31,60,35,25,58.333333333333336,-0.07417638013937677,2025-06,0.09681011898927672,2022-07,0.6610156389676975,-0.18515423052990132,0.2194808976668794,12,12,0.362067779942735,23,13
